# Generated by hrc_import.py --multi-opener-8max from hrc_8max_chipev_020bb.zip
# HRC tree: 8-handed, effective 20.0bb
# Equity model: chipev, ante: BB_ANTE_ANTE_FIRST
# App slot (deferred integration): bb vsopen vs lj open @ 20bb
# HRC node: id=265, seat=7, sequence=FFRFFFF
# Actions: ['fold', 'call', 'jam']
# VPIP estimate: 99.94%
notation,action,freq
AA,jam,1.0
AKs,jam,1.0
AQs,call,0.2027
AQs,jam,0.7973
AJs,fold,0.0001
AJs,call,0.3137
AJs,jam,0.6862
ATs,call,0.9982
ATs,jam,0.0018
A9s,fold,0.0001
A9s,call,0.8859
A9s,jam,0.1139
A8s,call,0.404
A8s,jam,0.596
A7s,fold,0.0002
A7s,call,0.9977
A7s,jam,0.0021
A6s,fold,0.0003
A6s,call,0.5922
A6s,jam,0.4075
A5s,fold,0.0007
A5s,call,0.1891
A5s,jam,0.8102
A4s,call,0.3821
A4s,jam,0.6179
A3s,fold,0.0006
A3s,call,0.9921
A3s,jam,0.0073
A2s,fold,0.0002
A2s,call,0.9996
A2s,jam,0.0002
AKo,call,0.1378
AKo,jam,0.8622
KK,jam,0.9999
KQs,fold,0.0003
KQs,call,0.647
KQs,jam,0.3527
KJs,fold,0.0002
KJs,call,0.9216
KJs,jam,0.0782
KTs,fold,0.0001
KTs,call,0.6815
KTs,jam,0.3184
K9s,fold,0.0004
K9s,call,0.6512
K9s,jam,0.3484
K8s,fold,0.0006
K8s,call,0.7597
K8s,jam,0.2396
K7s,fold,0.0005
K7s,call,0.9481
K7s,jam,0.0514
K6s,fold,0.0008
K6s,call,0.7846
K6s,jam,0.2146
K5s,fold,0.0016
K5s,call,0.7792
K5s,jam,0.2192
K4s,fold,0.0008
K4s,call,0.9983
K4s,jam,0.0009
K3s,fold,0.0004
K3s,call,0.8469
K3s,jam,0.1527
K2s,fold,0.0008
K2s,call,0.9052
K2s,jam,0.094
AQo,call,0.0004
AQo,jam,0.9996
KQo,fold,0.0001
KQo,call,0.9993
KQo,jam,0.0007
QQ,call,0.0001
QQ,jam,0.9999
QJs,fold,0.0006
QJs,call,0.8225
QJs,jam,0.1768
QTs,fold,0.0005
QTs,call,0.4211
QTs,jam,0.5784
Q9s,fold,0.0007
Q9s,call,0.9614
Q9s,jam,0.0379
Q8s,fold,0.0002
Q8s,call,0.9924
Q8s,jam,0.0074
Q7s,fold,0.001
Q7s,call,0.388
Q7s,jam,0.611
Q6s,fold,0.0002
Q6s,call,0.9998
Q5s,fold,0.0022
Q5s,call,0.9975
Q5s,jam,0.0003
Q4s,fold,0.0002
Q4s,call,0.9998
Q4s,jam,0.0001
Q3s,fold,0.0021
Q3s,call,0.9978
Q3s,jam,0.0001
Q2s,fold,0.0003
Q2s,call,0.9993
Q2s,jam,0.0004
AJo,call,0.9584
AJo,jam,0.0416
KJo,call,0.9698
KJo,jam,0.0302
QJo,fold,0.0001
QJo,call,0.9997
QJo,jam,0.0002
JJ,call,0.0911
JJ,jam,0.9089
JTs,fold,0.0007
JTs,call,0.9971
JTs,jam,0.0022
J9s,fold,0.0006
J9s,call,0.4061
J9s,jam,0.5933
J8s,fold,0.0004
J8s,call,0.9995
J8s,jam,0.0001
J7s,fold,0.0002
J7s,call,0.9997
J7s,jam,0.0001
J6s,fold,0.0047
J6s,call,0.9952
J6s,jam,0.0001
J5s,fold,0.0004
J5s,call,0.9996
J4s,fold,0.0026
J4s,call,0.9948
J4s,jam,0.0026
J3s,fold,0.0003
J3s,call,0.9996
J2s,fold,0.006
J2s,call,0.9938
J2s,jam,0.0002
ATo,call,0.9967
ATo,jam,0.0033
KTo,fold,0.0001
KTo,call,0.9989
KTo,jam,0.001
QTo,call,1.0
JTo,fold,0.0001
JTo,call,0.9999
TT,call,0.8339
TT,jam,0.1661
T9s,fold,0.0004
T9s,call,0.9996
T8s,fold,0.0008
T8s,call,0.9992
T7s,fold,0.0002
T7s,call,0.9998
T6s,fold,0.0003
T6s,call,0.9995
T6s,jam,0.0002
T5s,fold,0.0039
T5s,call,0.9955
T5s,jam,0.0006
T4s,fold,0.0016
T4s,call,0.9969
T4s,jam,0.0015
T3s,fold,0.0018
T3s,call,0.9976
T3s,jam,0.0006
