# Generated by hrc_import.py --multi-opener-8max from hrc_8max_chipev_020bb.zip
# HRC tree: 8-handed, effective 20.0bb
# Equity model: chipev, ante: BB_ANTE_ANTE_FIRST
# App slot (deferred integration): bb vsopen vs utg open @ 20bb
# HRC node: id=1555, seat=7, sequence=RFFFFFF
# Actions: ['fold', 'call', 'jam']
# VPIP estimate: 99.94%
notation,action,freq
AA,jam,1.0
AKs,call,0.0001
AKs,jam,0.9999
AQs,fold,0.0001
AQs,call,0.4046
AQs,jam,0.5954
AJs,fold,0.0002
AJs,call,0.9141
AJs,jam,0.0857
ATs,fold,0.001
ATs,call,0.3542
ATs,jam,0.6448
A9s,fold,0.001
A9s,call,0.7776
A9s,jam,0.2214
A8s,fold,0.0004
A8s,call,0.8619
A8s,jam,0.1376
A7s,fold,0.0003
A7s,call,0.9318
A7s,jam,0.0679
A6s,fold,0.0005
A6s,call,0.9945
A6s,jam,0.0051
A5s,fold,0.0007
A5s,call,0.2786
A5s,jam,0.7208
A4s,fold,0.0005
A4s,call,0.6291
A4s,jam,0.3704
A3s,fold,0.0006
A3s,call,0.6645
A3s,jam,0.335
A2s,fold,0.0001
A2s,call,0.5948
A2s,jam,0.4051
AKo,jam,1.0
KK,jam,1.0
KQs,fold,0.0014
KQs,call,0.9986
KJs,fold,0.0001
KJs,call,0.6554
KJs,jam,0.3444
KTs,fold,0.0009
KTs,call,0.9989
KTs,jam,0.0003
K9s,fold,0.0002
K9s,call,0.9428
K9s,jam,0.057
K8s,fold,0.0005
K8s,call,0.9983
K8s,jam,0.0012
K7s,fold,0.0035
K7s,call,0.9958
K7s,jam,0.0007
K6s,fold,0.0017
K6s,call,0.9364
K6s,jam,0.0619
K5s,call,0.9114
K5s,jam,0.0886
K4s,fold,0.0007
K4s,call,0.8942
K4s,jam,0.1051
K3s,fold,0.0001
K3s,call,0.9999
K2s,fold,0.0001
K2s,call,0.9972
K2s,jam,0.0027
AQo,call,0.7547
AQo,jam,0.2453
KQo,call,0.9758
KQo,jam,0.0242
QQ,call,0.0079
QQ,jam,0.9921
QJs,fold,0.0001
QJs,call,0.8721
QJs,jam,0.1279
QTs,fold,0.0004
QTs,call,0.8478
QTs,jam,0.1518
Q9s,fold,0.0005
Q9s,call,0.9683
Q9s,jam,0.0312
Q8s,fold,0.0011
Q8s,call,0.9983
Q8s,jam,0.0006
Q7s,fold,0.0004
Q7s,call,0.9996
Q6s,fold,0.0015
Q6s,call,0.9984
Q6s,jam,0.0001
Q5s,fold,0.0032
Q5s,call,0.8772
Q5s,jam,0.1196
Q4s,fold,0.002
Q4s,call,0.998
Q3s,fold,0.0013
Q3s,call,0.9986
Q3s,jam,0.0001
Q2s,fold,0.0003
Q2s,call,0.9997
AJo,call,0.9633
AJo,jam,0.0367
KJo,fold,0.0001
KJo,call,0.9993
KJo,jam,0.0006
QJo,fold,0.0002
QJo,call,0.9998
JJ,jam,1.0
JTs,fold,0.0006
JTs,call,0.2786
JTs,jam,0.7208
J9s,fold,0.0003
J9s,call,0.9995
J9s,jam,0.0002
J8s,fold,0.0001
J8s,call,0.9999
J7s,fold,0.0051
J7s,call,0.9948
J7s,jam,0.0001
J6s,fold,0.0011
J6s,call,0.9985
J6s,jam,0.0004
J5s,fold,0.0005
J5s,call,0.9988
J5s,jam,0.0007
J4s,fold,0.0005
J4s,call,0.9992
J4s,jam,0.0002
J3s,fold,0.0015
J3s,call,0.9985
J2s,fold,0.0006
J2s,call,0.9913
J2s,jam,0.0081
ATo,call,0.9942
ATo,jam,0.0058
KTo,call,0.9372
KTo,jam,0.0628
QTo,fold,0.0001
QTo,call,0.9999
JTo,fold,0.0001
JTo,call,0.9999
TT,call,0.9755
TT,jam,0.0245
T9s,fold,0.0008
T9s,call,0.9977
T9s,jam,0.0015
T8s,fold,0.0014
T8s,call,0.9962
T8s,jam,0.0024
T7s,fold,0.0006
T7s,call,0.9416
T7s,jam,0.0578
T6s,fold,0.0016
T6s,call,0.9984
T6s,jam,0.0001
T5s,fold,0.0037
T5s,call,0.996
T5s,jam,0.0003
T4s,fold,0.0007
T4s,call,0.9992
T3s,fold,0.0009
T3s,call,0.9984
T3s,jam,0.0007
T2s,fold,0.0016
T2s,call,0.9984
A9o,call,0.9997
A9o,jam,0.0002
K9o,call,1.0
Q9o,fold,0.0016
Q9o,call,0.9984
J9o,fold,0.0008
J9o,call,0.9992
T9o,fold,0.0002
T9o,call,0.9998
99,fold,0.0001
99,call,0.8768
99,jam,0.123
98s,fold,0.0002
98s,call,0.8043
98s,jam,0.1956
97s,fold,0.0004
97s,call,0.9996
96s,fold,0.0009
96s,call,0.9967
96s,jam,0.0023
95s,fold,0.0014
95s,call,0.9981
95s,jam,0.0005
94s,fold,0.0002
94s,call,0.9998
93s,fold,0.0003
93s,call,0.997
93s,jam,0.0028
92s,fold,0.0005
92s,call,0.9994
92s,jam,0.0001
A8o,fold,0.0001
A8o,call,0.9998
A8o,jam,0.0001
K8o,fold,0.0001
K8o,call,0.9999
Q8o,call,0.9999
J8o,fold,0.0002
J8o,call,0.9998
T8o,call,0.9999
98o,fold,0.0001
98o,call,0.9999
88,fold,0.0003
88,call,0.9988
88,jam,0.0009
87s,fold,0.0007
87s,call,0.9747
87s,jam,0.0246
86s,fold,0.0011
