# poker.academy CE-Symmetric — 20bb vsopen | hero BB vs MP
# Scraped 2026-06-01 via scrape_all_ranges.py
# TreeParams: poker.academy CE-Symmetric Regular @ 20bb (GTO ChipEV, 1bb ante)
notation,action,freq
22,call,1.0
33,call,1.0
44,call,0.6752
44,jam,0.255
44,threeBet,0.0698
55,jam,0.8251
55,threeBet,0.1749
66,call,0.695
66,threeBet,0.305
77,jam,0.905
77,threeBet,0.095
88,jam,1.0
99,jam,1.0
AA,threeBet,1.0
AKs,jam,0.705
AKs,threeBet,0.295
AQs,jam,0.1398
AQs,threeBet,0.8602
AJs,call,1.0
ATs,call,1.0
A9s,call,1.0
A8s,call,1.0
A7s,call,1.0
A6s,call,1.0
A5s,jam,1.0
A4s,jam,1.0
A3s,jam,1.0
A2s,call,1.0
AKo,jam,1.0
KK,threeBet,1.0
KQs,call,1.0
KJs,call,1.0
KTs,call,0.295
KTs,jam,0.69
KTs,threeBet,0.015
K9s,call,1.0
K8s,call,1.0
K7s,call,1.0
K6s,call,1.0
K5s,call,1.0
K4s,call,1.0
K3s,call,1.0
K2s,call,1.0
AQo,jam,1.0
KQo,call,1.0
QQ,jam,0.6
QQ,threeBet,0.4
QJs,call,1.0
QTs,call,1.0
Q9s,call,1.0
Q8s,call,1.0
Q7s,call,1.0
Q6s,call,1.0
Q5s,call,1.0
Q4s,call,1.0
Q3s,call,1.0
Q2s,call,1.0
AJo,call,0.9751
AJo,threeBet,0.0249
KJo,call,1.0
QJo,call,0.9801
QJo,threeBet,0.0199
JJ,jam,0.8602
JJ,threeBet,0.1398
JTs,call,0.0299
JTs,jam,0.7051
JTs,threeBet,0.265
J9s,call,1.0
J8s,call,1.0
J7s,call,1.0
J6s,call,1.0
J5s,call,1.0
J4s,call,1.0
J3s,call,1.0
J2s,call,1.0
ATo,call,0.8701
ATo,threeBet,0.1299
KTo,call,0.8951
KTo,threeBet,0.1049
QTo,call,1.0
JTo,call,1.0
TT,jam,1.0
T9s,call,0.9302
T9s,threeBet,0.0698
T8s,call,1.0
T7s,call,1.0
T6s,call,1.0
T5s,call,1.0
T4s,call,1.0
T3s,call,1.0
T2s,call,1.0
A9o,call,0.9751
A9o,threeBet,0.0249
K9o,call,0.9402
K9o,threeBet,0.0598
Q9o,call,0.9701
Q9o,threeBet,0.0299
J9o,call,1.0
T9o,call,1.0
98s,call,1.0
97s,call,1.0
96s,call,1.0
95s,call,1.0
94s,call,1.0
93s,call,1.0
92s,call,1.0
A8o,call,0.8652
A8o,threeBet,0.1348
K8o,call,1.0
Q8o,call,0.925
Q8o,threeBet,0.075
J8o,call,1.0
T8o,call,1.0
98o,call,1.0
87s,call,1.0
86s,call,1.0
85s,call,1.0
84s,call,1.0
83s,call,1.0
82s,call,1.0
A7o,call,0.835
A7o,threeBet,0.165
K7o,call,0.985
K7o,threeBet,0.015
Q7o,call,0.9352
Q7o,threeBet,0.0648
J7o,call,1.0
T7o,call,1.0
97o,call,1.0
87o,call,1.0
76s,call,1.0
75s,call,1.0
74s,call,1.0
73s,call,1.0
72s,call,1.0
A6o,call,1.0
K6o,call,0.9402
K6o,threeBet,0.0598
Q6o,call,1.0
T6o,call,0.6701
T6o,fold,0.3299
96o,call,1.0
86o,call,1.0
76o,call,1.0
65s,call,1.0
64s,call,1.0
63s,call,1.0
62s,call,1.0
A5o,call,0.9551
A5o,threeBet,0.0449
K5o,call,0.9701
K5o,threeBet,0.0299
Q5o,call,1.0
85o,call,1.0
75o,call,1.0
65o,call,1.0
54s,call,1.0
53s,call,1.0
52s,call,1.0
A4o,call,0.8252
A4o,jam,0.1349
A4o,threeBet,0.0399
K4o,call,0.9801
K4o,threeBet,0.0199
Q4o,call,1.0
64o,call,1.0
54o,call,1.0
43s,call,1.0
42s,call,1.0
A3o,call,1.0
K3o,call,0.9651
K3o,threeBet,0.0349
53o,call,1.0
43o,call,1.0
32s,call,1.0
A2o,call,0.92
A2o,threeBet,0.08
K2o,call,0.9352
K2o,threeBet,0.0648
Q2o,call,0.1099
Q2o,fold,0.8901
