# Generated by hrc_import.py --multi-opener-8max from hrc_8max_chipev_020bb.zip
# HRC tree: 8-handed, effective 20.0bb
# Equity model: chipev, ante: BB_ANTE_ANTE_FIRST
# App slot (deferred integration): btn vsopen vs co open @ 20bb
# HRC node: id=29, seat=5, sequence=FFFFR
# Actions: ['fold', 'call', 'jam']
# VPIP estimate: 23.67%
notation,action,freq
AA,call,0.0857
AA,jam,0.9143
AKs,call,0.0007
AKs,jam,0.9993
AQs,jam,1.0
AJs,jam,1.0
ATs,call,0.312
ATs,jam,0.688
A9s,fold,0.0175
A9s,call,0.9512
A9s,jam,0.0313
A8s,fold,0.2647
A8s,call,0.2305
A8s,jam,0.5049
A7s,fold,0.0643
A7s,call,0.103
A7s,jam,0.8327
A6s,fold,0.2796
A6s,call,0.1385
A6s,jam,0.5819
A5s,fold,0.2544
A5s,call,0.5052
A5s,jam,0.2405
A4s,fold,0.1438
A4s,call,0.0274
A4s,jam,0.8289
A3s,fold,0.3914
A3s,call,0.0277
A3s,jam,0.5809
A2s,fold,0.0087
A2s,call,0.0176
A2s,jam,0.9737
AKo,jam,1.0
KK,call,0.3014
KK,jam,0.6986
KQs,fold,0.0001
KQs,call,0.002
KQs,jam,0.9978
KJs,fold,0.0925
KJs,call,0.437
KJs,jam,0.4705
KTs,fold,0.0003
KTs,call,0.3158
KTs,jam,0.6839
K9s,fold,0.3697
K9s,call,0.0482
K9s,jam,0.5821
K8s,fold,0.4137
K8s,call,0.023
K8s,jam,0.5634
K7s,fold,0.7964
K7s,call,0.0067
K7s,jam,0.1969
K6s,fold,0.6132
K6s,call,0.0128
K6s,jam,0.374
K5s,fold,0.9696
K5s,call,0.0193
K5s,jam,0.0111
K4s,fold,0.2525
K4s,call,0.0475
K4s,jam,0.7
K3s,fold,0.9987
K3s,call,0.0008
K3s,jam,0.0005
K2s,fold,0.4525
K2s,call,0.0079
K2s,jam,0.5396
AQo,call,0.0049
AQo,jam,0.9951
KQo,fold,0.0003
KQo,call,0.441
KQo,jam,0.5587
QQ,call,0.0001
QQ,jam,0.9999
QJs,fold,0.3847
QJs,call,0.059
QJs,jam,0.5563
QTs,fold,0.2962
QTs,call,0.2355
QTs,jam,0.4683
Q9s,fold,0.4939
Q9s,call,0.4531
Q9s,jam,0.053
Q8s,fold,0.601
Q8s,call,0.013
Q8s,jam,0.386
Q7s,fold,0.9633
Q7s,call,0.0055
Q7s,jam,0.0313
Q6s,fold,0.8828
Q6s,call,0.1041
Q6s,jam,0.0131
Q5s,fold,0.9738
Q5s,call,0.0011
Q5s,jam,0.0251
Q4s,fold,0.951
Q4s,call,0.0459
Q4s,jam,0.0031
Q3s,fold,0.9987
Q3s,call,0.0003
Q3s,jam,0.001
Q2s,fold,0.9991
Q2s,call,0.0006
Q2s,jam,0.0003
AJo,call,0.0003
AJo,jam,0.9997
KJo,fold,0.002
KJo,call,0.9942
KJo,jam,0.0038
QJo,fold,0.9546
QJo,call,0.0103
QJo,jam,0.0351
JJ,call,0.8237
JJ,jam,0.1763
JTs,fold,0.9941
JTs,call,0.0041
JTs,jam,0.0018
J9s,fold,0.191
J9s,call,0.6685
J9s,jam,0.1404
J8s,fold,0.8706
J8s,call,0.1245
J8s,jam,0.005
J7s,fold,0.9922
J7s,call,0.0066
J7s,jam,0.0012
J6s,fold,0.9994
J6s,jam,0.0006
J5s,fold,0.9996
J5s,call,0.0003
J5s,jam,0.0001
J4s,fold,0.6227
J4s,call,0.1873
J4s,jam,0.1901
J3s,fold,0.9942
J3s,call,0.0024
J3s,jam,0.0034
J2s,fold,0.9941
J2s,call,0.0001
J2s,jam,0.0059
ATo,fold,0.0001
ATo,call,0.6817
ATo,jam,0.3182
KTo,fold,0.7333
KTo,call,0.0105
KTo,jam,0.2562
QTo,fold,0.9409
QTo,call,0.059
QTo,jam,0.0001
JTo,fold,0.9982
JTo,call,0.0002
JTo,jam,0.0016
TT,call,0.5505
TT,jam,0.4495
T9s,fold,0.6561
T9s,call,0.0256
T9s,jam,0.3184
T8s,fold,1.0
T7s,fold,0.9963
T7s,call,0.0028
T7s,jam,0.0009
T6s,fold,0.9984
T6s,call,0.0002
T6s,jam,0.0014
T5s,fold,0.9997
T5s,call,0.0002
T5s,jam,0.0001
T4s,fold,0.9997
T4s,call,0.0001
T4s,jam,0.0002
T3s,fold,0.9954
T3s,call,0.0043
T3s,jam,0.0003
T2s,fold,0.9977
T2s,call,0.0018
T2s,jam,0.0005
A9o,fold,0.2405
A9o,call,0.5224
A9o,jam,0.2371
K9o,fold,0.9988
K9o,call,0.0005
K9o,jam,0.0008
Q9o,fold,0.9983
Q9o,call,0.0012
Q9o,jam,0.0005
J9o,fold,0.9993
J9o,jam,0.0007
T9o,fold,0.9995
T9o,call,0.0005
99,fold,0.0001
99,call,0.6142
99,jam,0.3857
98s,fold,0.7427
98s,call,0.2151
98s,jam,0.0422
97s,fold,0.9944
97s,call,0.0055
96s,fold,0.9959
96s,call,0.0005
96s,jam,0.0036
95s,fold,1.0
94s,fold,0.9957
94s,call,0.0043
93s,fold,0.9911
93s,call,0.0085
93s,jam,0.0004
92s,fold,0.9999
92s,call,0.0001
A8o,fold,0.9691
A8o,call,0.0046
A8o,jam,0.0263
K8o,fold,0.9988
K8o,call,0.0002
K8o,jam,0.001
Q8o,fold,1.0
J8o,fold,0.9978
J8o,call,0.0014
J8o,jam,0.0008
T8o,fold,0.9998
T8o,jam,0.0002
98o,fold,0.9995
98o,call,0.0005
88,call,0.9778
88,jam,0.0222
87s,fold,0.55
87s,call,0.1656
87s,jam,0.2844
86s,fold,0.9893
86s,call,0.0106
86s,jam,0.0001
85s,fold,0.9858
85s,call,0.0142
84s,fold,0.9861
84s,call,0.0139
83s,fold,0.9965
83s,call,0.0034
83s,jam,0.0001
82s,fold,1.0
A7o,fold,0.9847
A7o,call,0.0003
A7o,jam,0.015
K7o,fold,0.9996
K7o,call,0.0004
K7o,jam,0.0001
Q7o,fold,0.9994
Q7o,call,0.0005
J7o,fold,0.9988
J7o,call,0.0008
J7o,jam,0.0004
T7o,fold,0.996
T7o,call,0.004
97o,fold,0.9999
97o,call,0.0001
87o,fold,0.9999
87o,call,0.0001
87o,jam,0.0001
77,fold,0.1729
77,call,0.1964
77,jam,0.6307
76s,fold,0.7617
76s,call,0.0963
76s,jam,0.1421
75s,fold,0.9809
75s,call,0.0169
75s,jam,0.0022
74s,fold,0.9825
74s,call,0.0044
74s,jam,0.0131
73s,fold,0.9802
73s,call,0.0062
73s,jam,0.0136
72s,fold,0.9994
72s,call,0.0006
A6o,fold,0.7342
A6o,call,0.2445
A6o,jam,0.0214
K6o,fold,0.9994
K6o,call,0.0004
K6o,jam,0.0002
Q6o,fold,0.9997
Q6o,call,0.0003
Q6o,jam,0.0001
J6o,fold,0.9998
J6o,jam,0.0001
T6o,fold,1.0
96o,fold,0.9957
96o,call,0.0043
86o,fold,0.9999
76o,fold,0.9995
76o,call,0.0004
76o,jam,0.0001
66,fold,0.0452
66,call,0.3515
66,jam,0.6033
65s,fold,0.6846
65s,call,0.0511
65s,jam,0.2643
64s,fold,0.9119
64s,call,0.0823
64s,jam,0.0058
63s,fold,0.9997
63s,call,0.0003
63s,jam,0.0001
62s,fold,0.9967
62s,call,0.0032
62s,jam,0.0002
A5o,fold,0.9972
A5o,call,0.0024
A5o,jam,0.0004
K5o,fold,0.9997
K5o,call,0.0002
Q5o,fold,0.9999
Q5o,jam,0.0001
J5o,fold,0.9994
J5o,call,0.0005
J5o,jam,0.0001
T5o,fold,0.9999
T5o,call,0.0001
95o,fold,1.0
85o,fold,0.9999
75o,fold,0.9992
75o,call,0.0004
75o,jam,0.0004
65o,fold,0.9993
65o,call,0.0002
65o,jam,0.0005
55,fold,0.1156
55,call,0.4797
55,jam,0.4047
54s,fold,0.968
54s,call,0.0244
54s,jam,0.0076
53s,fold,0.9997
53s,call,0.0002
53s,jam,0.0001
52s,fold,1.0
A4o,fold,0.9928
A4o,call,0.0062
A4o,jam,0.001
K4o,fold,0.9989
K4o,call,0.0009
K4o,jam,0.0002
Q4o,fold,0.9998
Q4o,call,0.0002
J4o,fold,0.9998
J4o,call,0.0001
T4o,fold,0.9996
T4o,call,0.0002
T4o,jam,0.0002
94o,fold,0.9989
94o,call,0.001
94o,jam,0.0001
84o,fold,0.9999
84o,jam,0.0001
74o,fold,0.9989
74o,call,0.001
74o,jam,0.0001
64o,fold,0.9999
64o,call,0.0001
54o,fold,1.0
44,fold,0.9768
44,call,0.0003
44,jam,0.0229
43s,fold,0.9993
43s,call,0.0006
43s,jam,0.0001
42s,fold,0.9998
42s,call,0.0002
A3o,fold,0.977
A3o,call,0.0195
A3o,jam,0.0035
K3o,fold,0.9959
K3o,call,0.0031
K3o,jam,0.001
Q3o,fold,1.0
J3o,fold,1.0
T3o,fold,1.0
93o,fold,1.0
83o,fold,0.9999
73o,fold,0.9999
63o,fold,0.9999
63o,call,0.0001
53o,fold,0.9999
53o,call,0.0001
43o,fold,1.0
33,fold,0.5251
33,call,0.007
33,jam,0.4679
32s,fold,0.9998
32s,call,0.0001
A2o,fold,0.9728
A2o,call,0.0269
A2o,jam,0.0003
K2o,fold,0.9998
K2o,call,0.0001
K2o,jam,0.0001
Q2o,fold,0.999
Q2o,call,0.0009
Q2o,jam,0.0001
J2o,fold,0.9996
J2o,call,0.0003
T2o,fold,1.0
92o,fold,1.0
82o,fold,1.0
72o,fold,0.9999
62o,fold,0.9999
62o,call,0.0001
52o,fold,1.0
42o,fold,1.0
32o,fold,0.9999
32o,call,0.0001
22,fold,0.975
22,call,0.001
22,jam,0.0239
