# Generated by hrc_import.py --multi-opener-8max from hrc_8max_chipev_020bb.zip
# HRC tree: 8-handed, effective 20.0bb
# Equity model: chipev, ante: BB_ANTE_ANTE_FIRST
# App slot (deferred integration): co vsopen vs utg open @ 20bb
# HRC node: id=1552, seat=4, sequence=RFFF
# Actions: ['fold', 'call', 'jam']
# VPIP estimate: 12.87%
notation,action,freq
AA,call,0.0564
AA,jam,0.9436
AKs,call,0.2757
AKs,jam,0.7243
AQs,call,0.7313
AQs,jam,0.2687
AJs,fold,0.0001
AJs,call,0.5944
AJs,jam,0.4055
ATs,fold,0.1462
ATs,call,0.2374
ATs,jam,0.6164
A9s,fold,0.637
A9s,call,0.3265
A9s,jam,0.0364
A8s,fold,0.5291
A8s,call,0.2805
A8s,jam,0.1904
A7s,fold,0.8329
A7s,call,0.0915
A7s,jam,0.0756
A6s,fold,0.8521
A6s,call,0.1323
A6s,jam,0.0156
A5s,fold,0.9905
A5s,call,0.0069
A5s,jam,0.0026
A4s,fold,0.797
A4s,call,0.1067
A4s,jam,0.0963
A3s,fold,0.5426
A3s,call,0.4383
A3s,jam,0.019
A2s,fold,0.9639
A2s,call,0.0226
A2s,jam,0.0135
AKo,call,0.0104
AKo,jam,0.9896
KK,call,0.0573
KK,jam,0.9427
KQs,fold,0.0253
KQs,call,0.0407
KQs,jam,0.934
KJs,fold,0.1071
KJs,call,0.6101
KJs,jam,0.2828
KTs,fold,0.5396
KTs,call,0.0839
KTs,jam,0.3765
K9s,fold,0.1705
K9s,call,0.0504
K9s,jam,0.7791
K8s,fold,0.8929
K8s,call,0.1067
K8s,jam,0.0004
K7s,fold,0.9773
K7s,call,0.0193
K7s,jam,0.0033
K6s,fold,0.999
K6s,call,0.0001
K6s,jam,0.001
K5s,fold,0.977
K5s,call,0.0228
K5s,jam,0.0002
K4s,fold,0.952
K4s,call,0.0143
K4s,jam,0.0337
K3s,fold,0.9903
K3s,call,0.0059
K3s,jam,0.0038
K2s,fold,0.9738
K2s,call,0.025
K2s,jam,0.0012
AQo,call,0.8352
AQo,jam,0.1648
KQo,fold,0.4911
KQo,call,0.2128
KQo,jam,0.2961
QQ,call,0.0483
QQ,jam,0.9517
QJs,fold,0.8723
QJs,call,0.0466
QJs,jam,0.081
QTs,fold,0.1014
QTs,call,0.8018
QTs,jam,0.0968
Q9s,fold,0.9995
Q9s,call,0.0003
Q9s,jam,0.0002
Q8s,fold,0.9998
Q8s,call,0.0001
Q8s,jam,0.0001
Q7s,fold,0.9994
Q7s,call,0.0003
Q7s,jam,0.0003
Q6s,fold,0.9965
Q6s,call,0.003
Q6s,jam,0.0005
Q5s,fold,0.9943
Q5s,call,0.0054
Q5s,jam,0.0003
Q4s,fold,0.9995
Q4s,call,0.0004
Q4s,jam,0.0001
Q3s,fold,0.9997
Q3s,call,0.0001
Q3s,jam,0.0002
Q2s,fold,0.9996
Q2s,call,0.0003
Q2s,jam,0.0001
AJo,fold,0.0001
AJo,call,0.9441
AJo,jam,0.0558
KJo,fold,0.9953
KJo,call,0.0022
KJo,jam,0.0025
QJo,fold,0.9917
QJo,call,0.0081
QJo,jam,0.0002
JJ,call,0.2017
JJ,jam,0.7983
JTs,fold,0.9562
JTs,call,0.0434
JTs,jam,0.0004
J9s,fold,0.9996
J9s,call,0.0002
J9s,jam,0.0002
J8s,fold,0.9822
J8s,call,0.0129
J8s,jam,0.005
J7s,fold,1.0
J6s,fold,0.9982
J6s,call,0.0011
J6s,jam,0.0007
J5s,fold,0.9986
J5s,call,0.0014
J4s,fold,0.9948
J4s,jam,0.0051
J3s,fold,0.9994
J3s,call,0.0004
J3s,jam,0.0002
J2s,fold,0.9977
J2s,call,0.0019
J2s,jam,0.0003
ATo,fold,0.8646
ATo,call,0.1013
ATo,jam,0.0341
KTo,fold,0.9962
KTo,call,0.0035
KTo,jam,0.0003
QTo,fold,0.9925
QTo,call,0.0069
QTo,jam,0.0005
JTo,fold,0.9973
JTo,call,0.0026
JTo,jam,0.0001
TT,call,0.723
TT,jam,0.277
T9s,fold,0.9683
T9s,call,0.0027
T9s,jam,0.029
T8s,fold,0.9999
T8s,jam,0.0001
T7s,fold,0.9891
T7s,call,0.0107
T7s,jam,0.0002
T6s,fold,0.9995
T6s,call,0.0003
T6s,jam,0.0002
T5s,fold,1.0
T4s,fold,0.9999
T4s,call,0.0001
T3s,fold,0.9989
T3s,call,0.0011
T2s,fold,1.0
A9o,fold,0.9981
A9o,call,0.0002
A9o,jam,0.0017
K9o,fold,0.9999
K9o,jam,0.0001
Q9o,fold,0.9998
Q9o,call,0.0002
J9o,fold,0.9998
J9o,jam,0.0002
T9o,fold,0.9989
T9o,call,0.0009
T9o,jam,0.0002
99,fold,0.0071
99,call,0.8309
99,jam,0.162
98s,fold,0.9997
98s,jam,0.0003
97s,fold,0.9779
97s,call,0.021
97s,jam,0.0011
96s,fold,0.9919
96s,call,0.0069
96s,jam,0.0012
95s,fold,0.9957
95s,call,0.0037
95s,jam,0.0006
94s,fold,0.9963
94s,call,0.0035
94s,jam,0.0002
93s,fold,0.9992
93s,call,0.0004
93s,jam,0.0004
92s,fold,0.997
92s,call,0.0028
92s,jam,0.0002
A8o,fold,0.9974
A8o,call,0.0023
A8o,jam,0.0003
K8o,fold,0.9998
K8o,call,0.0002
K8o,jam,0.0001
Q8o,fold,0.9954
Q8o,call,0.0046
J8o,fold,0.9967
J8o,call,0.003
J8o,jam,0.0002
T8o,fold,0.9998
T8o,jam,0.0001
98o,fold,0.9981
98o,call,0.0015
98o,jam,0.0004
88,fold,0.2152
88,call,0.7003
88,jam,0.0845
87s,fold,0.786
87s,call,0.2103
87s,jam,0.0036
86s,fold,0.999
86s,call,0.0007
86s,jam,0.0003
85s,fold,0.9999
85s,jam,0.0001
84s,fold,0.9997
84s,call,0.0002
84s,jam,0.0001
83s,fold,0.9999
82s,fold,1.0
A7o,fold,0.9987
A7o,call,0.0001
A7o,jam,0.0012
K7o,fold,0.9996
K7o,call,0.0001
K7o,jam,0.0003
Q7o,fold,1.0
J7o,fold,0.9996
J7o,call,0.0003
J7o,jam,0.0002
T7o,fold,1.0
97o,fold,0.9995
97o,call,0.0005
87o,fold,1.0
77,fold,0.4183
77,call,0.3941
77,jam,0.1876
76s,fold,0.9191
76s,jam,0.0809
