# Generated by hrc_import.py --multi-opener-8max from hrc_8max_chipev_020bb.zip
# HRC tree: 8-handed, effective 20.0bb
# Equity model: chipev, ante: BB_ANTE_ANTE_FIRST
# App slot (deferred integration): hj vsopen vs lj open @ 20bb
# HRC node: id=261, seat=3, sequence=FFR
# Actions: ['fold', 'call', 'jam']
# VPIP estimate: 14.51%
notation,action,freq
AA,call,0.5702
AA,jam,0.4298
AKs,jam,1.0
AQs,call,0.0003
AQs,jam,0.9997
AJs,call,0.4933
AJs,jam,0.5067
ATs,fold,0.0043
ATs,call,0.8765
ATs,jam,0.1192
A9s,fold,0.0277
A9s,call,0.9476
A9s,jam,0.0248
A8s,fold,0.2474
A8s,call,0.2308
A8s,jam,0.5217
A7s,fold,0.7134
A7s,call,0.0514
A7s,jam,0.2352
A6s,fold,0.9558
A6s,call,0.0418
A6s,jam,0.0024
A5s,fold,0.7681
A5s,call,0.2057
A5s,jam,0.0262
A4s,fold,0.8827
A4s,call,0.0319
A4s,jam,0.0854
A3s,fold,0.9157
A3s,call,0.0829
A3s,jam,0.0015
A2s,fold,0.8054
A2s,call,0.1944
A2s,jam,0.0002
AKo,call,0.0422
AKo,jam,0.9578
KK,call,0.1973
KK,jam,0.8027
KQs,fold,0.0042
KQs,call,0.0532
KQs,jam,0.9426
KJs,fold,0.2619
KJs,call,0.462
KJs,jam,0.2761
KTs,fold,0.3609
KTs,call,0.0949
KTs,jam,0.5442
K9s,fold,0.9884
K9s,call,0.0052
K9s,jam,0.0063
K8s,fold,0.9734
K8s,call,0.0115
K8s,jam,0.0151
K7s,fold,0.9713
K7s,call,0.0239
K7s,jam,0.0048
K6s,fold,0.9905
K6s,call,0.0079
K6s,jam,0.0017
K5s,fold,0.9969
K5s,call,0.0029
K5s,jam,0.0001
K4s,fold,0.9997
K4s,call,0.0002
K4s,jam,0.0001
K3s,fold,0.9978
K3s,call,0.0009
K3s,jam,0.0013
K2s,fold,0.9972
K2s,jam,0.0028
AQo,call,0.1658
AQo,jam,0.8342
KQo,fold,0.5475
KQo,call,0.3474
KQo,jam,0.1051
