# Generated by hrc_import.py --multi-opener-8max from hrc_8max_chipev_020bb.zip
# HRC tree: 8-handed, effective 20.0bb
# Equity model: chipev, ante: BB_ANTE_ANTE_FIRST
# App slot (deferred integration): hj vsopen vs utg open @ 20bb
# HRC node: id=1551, seat=3, sequence=RFF
# Actions: ['fold', 'call', 'jam']
# VPIP estimate: 12.56%
notation,action,freq
AA,call,0.5366
AA,jam,0.4634
AKs,call,0.3857
AKs,jam,0.6143
AQs,fold,0.0002
AQs,call,0.2976
AQs,jam,0.7022
AJs,call,0.9103
AJs,jam,0.0897
ATs,fold,0.0725
ATs,call,0.1009
ATs,jam,0.8266
A9s,fold,0.5495
A9s,call,0.3732
A9s,jam,0.0773
A8s,fold,0.8497
A8s,call,0.0618
A8s,jam,0.0885
A7s,fold,0.997
A7s,call,0.0003
A7s,jam,0.0027
A6s,fold,0.9498
A6s,call,0.0333
A6s,jam,0.0169
A5s,fold,0.7718
A5s,call,0.0296
A5s,jam,0.1986
A4s,fold,0.6145
A4s,call,0.0685
A4s,jam,0.317
A3s,fold,0.7722
A3s,call,0.1667
A3s,jam,0.061
A2s,fold,0.9882
A2s,call,0.0096
A2s,jam,0.0023
AKo,call,0.3356
AKo,jam,0.6644
KK,call,0.0628
KK,jam,0.9372
KQs,fold,0.0063
KQs,call,0.7737
KQs,jam,0.2201
KJs,fold,0.2056
KJs,call,0.0725
KJs,jam,0.7219
KTs,fold,0.515
KTs,call,0.3259
KTs,jam,0.159
K9s,fold,0.9997
K9s,call,0.0001
K9s,jam,0.0002
K8s,fold,0.6657
K8s,call,0.1099
K8s,jam,0.2244
K7s,fold,0.7578
K7s,call,0.2351
K7s,jam,0.0071
K6s,fold,0.9945
K6s,call,0.0053
K6s,jam,0.0002
K5s,fold,0.9975
K5s,call,0.0003
K5s,jam,0.0021
K4s,fold,0.9586
K4s,call,0.0411
K4s,jam,0.0003
K3s,fold,0.9977
K3s,call,0.0023
K2s,fold,0.9992
K2s,call,0.0001
K2s,jam,0.0007
AQo,jam,1.0
KQo,fold,0.7671
KQo,call,0.2288
KQo,jam,0.0041
QQ,call,0.9213
QQ,jam,0.0787
QJs,fold,0.4359
QJs,call,0.232
QJs,jam,0.332
QTs,fold,0.9251
QTs,call,0.0725
QTs,jam,0.0024
Q9s,fold,0.9858
Q9s,call,0.0017
Q9s,jam,0.0125
Q8s,fold,0.9891
Q8s,call,0.0109
Q7s,fold,0.9991
Q7s,call,0.0003
Q7s,jam,0.0006
Q6s,fold,0.995
Q6s,call,0.0008
Q6s,jam,0.0042
Q5s,fold,0.9866
Q5s,call,0.0134
Q4s,fold,0.9988
Q4s,jam,0.0012
Q3s,fold,0.9764
Q3s,call,0.0235
Q2s,fold,0.9971
Q2s,call,0.0009
Q2s,jam,0.002
AJo,fold,0.0044
AJo,call,0.9611
AJo,jam,0.0346
KJo,fold,0.9834
KJo,call,0.0099
KJo,jam,0.0067
QJo,fold,0.9943
QJo,call,0.0035
QJo,jam,0.0021
JJ,call,0.0217
JJ,jam,0.9783
JTs,fold,0.8272
JTs,call,0.0823
JTs,jam,0.0905
J9s,fold,0.9342
J9s,call,0.0001
J9s,jam,0.0657
J8s,fold,0.9727
J8s,call,0.0002
J8s,jam,0.0271
J7s,fold,0.9794
J7s,call,0.0205
J7s,jam,0.0001
J6s,fold,0.9999
J6s,call,0.0001
J6s,jam,0.0001
J5s,fold,0.9996
J5s,call,0.0001
J5s,jam,0.0003
J4s,fold,0.9939
J4s,call,0.0059
J4s,jam,0.0002
J3s,fold,0.9999
J3s,jam,0.0001
J2s,fold,0.9991
J2s,call,0.0009
ATo,fold,0.9135
ATo,call,0.0571
ATo,jam,0.0294
KTo,fold,0.9986
KTo,call,0.0002
KTo,jam,0.0012
QTo,fold,0.9974
QTo,call,0.0014
QTo,jam,0.0012
JTo,fold,0.9962
JTo,call,0.0022
JTo,jam,0.0015
TT,fold,0.0001
TT,call,0.312
TT,jam,0.6879
