# Generated by hrc_import.py --multi-opener-8max from hrc_8max_chipev_020bb.zip
# HRC tree: 8-handed, effective 20.0bb
# Equity model: chipev, ante: BB_ANTE_ANTE_FIRST
# App slot (deferred integration): sb vsopen vs btn open @ 20bb
# HRC node: id=14, seat=6, sequence=FFFFFR
# Actions: ['fold', 'call', 'jam']
# VPIP estimate: 42.70%
notation,action,freq
AA,call,0.0001
AA,jam,0.9999
AKs,call,0.0539
AKs,jam,0.946
AQs,call,0.2493
AQs,jam,0.7507
AJs,fold,0.0003
AJs,call,0.0004
AJs,jam,0.9994
ATs,call,0.0009
ATs,jam,0.999
A9s,fold,0.0001
A9s,call,0.0587
A9s,jam,0.9412
A8s,fold,0.0002
A8s,call,0.2457
A8s,jam,0.7541
A7s,fold,0.0015
A7s,call,0.0073
A7s,jam,0.9913
A6s,fold,0.002
A6s,call,0.126
A6s,jam,0.8721
A5s,fold,0.0148
A5s,call,0.7989
A5s,jam,0.1863
A4s,call,0.2958
A4s,jam,0.7042
A3s,fold,0.0052
A3s,call,0.1442
A3s,jam,0.8507
A2s,fold,0.0408
A2s,call,0.4174
A2s,jam,0.5417
AKo,jam,1.0
KK,jam,1.0
KQs,call,0.6993
KQs,jam,0.3006
KJs,fold,0.0004
KJs,call,0.0145
KJs,jam,0.9851
KTs,fold,0.0084
KTs,call,0.8914
KTs,jam,0.1002
K9s,fold,0.011
K9s,call,0.9889
K9s,jam,0.0001
K8s,fold,0.0749
K8s,call,0.2705
K8s,jam,0.6546
K7s,fold,0.3457
K7s,call,0.4231
K7s,jam,0.2312
K6s,fold,0.0969
K6s,call,0.9002
K6s,jam,0.0029
K5s,fold,0.4431
K5s,call,0.3001
K5s,jam,0.2567
K4s,fold,0.5429
K4s,call,0.4543
K4s,jam,0.0028
K3s,fold,0.1493
K3s,call,0.8494
K3s,jam,0.0013
K2s,fold,0.6683
K2s,call,0.0943
K2s,jam,0.2374
AQo,call,0.0722
AQo,jam,0.9278
KQo,fold,0.0007
KQo,call,0.3833
KQo,jam,0.616
QQ,call,0.0109
QQ,jam,0.9891
QJs,fold,0.0593
QJs,call,0.3561
QJs,jam,0.5846
QTs,fold,0.0146
QTs,call,0.1034
QTs,jam,0.882
Q9s,fold,0.1291
Q9s,call,0.8613
Q9s,jam,0.0097
Q8s,fold,0.4307
Q8s,call,0.5585
Q8s,jam,0.0108
Q7s,fold,0.6387
Q7s,call,0.2185
Q7s,jam,0.1428
Q6s,fold,0.4531
Q6s,call,0.4248
Q6s,jam,0.1221
Q5s,fold,0.722
Q5s,call,0.0373
Q5s,jam,0.2407
Q4s,fold,0.4059
Q4s,call,0.3103
Q4s,jam,0.2839
Q3s,fold,0.9581
Q3s,call,0.0298
Q3s,jam,0.0121
Q2s,fold,0.6565
Q2s,call,0.0115
Q2s,jam,0.332
AJo,call,0.0045
AJo,jam,0.9955
KJo,fold,0.0248
KJo,call,0.7287
KJo,jam,0.2465
QJo,call,0.9165
QJo,jam,0.0835
JJ,call,0.0391
JJ,jam,0.9609
JTs,fold,0.0047
JTs,call,0.6152
JTs,jam,0.38
J9s,fold,0.2218
J9s,call,0.2015
J9s,jam,0.5767
J8s,fold,0.4095
J8s,call,0.1763
J8s,jam,0.4142
J7s,fold,0.5864
J7s,call,0.4129
J7s,jam,0.0006
J6s,fold,0.3828
J6s,call,0.4171
J6s,jam,0.2001
J5s,fold,0.2787
J5s,call,0.7201
J5s,jam,0.0013
J4s,fold,0.3129
J4s,call,0.6867
J4s,jam,0.0004
J3s,fold,0.4608
J3s,call,0.5385
J3s,jam,0.0007
J2s,fold,0.9941
J2s,call,0.0059
ATo,call,0.0009
ATo,jam,0.9991
KTo,fold,0.0281
KTo,call,0.8691
KTo,jam,0.1028
QTo,fold,0.0575
QTo,call,0.9406
QTo,jam,0.0019
JTo,fold,0.0983
JTo,call,0.8989
JTo,jam,0.0027
TT,call,0.752
TT,jam,0.248
T9s,fold,0.1274
T9s,call,0.8709
T9s,jam,0.0016
T8s,fold,0.2485
T8s,call,0.194
T8s,jam,0.5575
T7s,fold,0.9923
T7s,call,0.0063
T7s,jam,0.0014
T6s,fold,0.5503
T6s,call,0.3942
T6s,jam,0.0554
T5s,fold,0.9812
T5s,call,0.018
T5s,jam,0.0008
T4s,fold,0.9643
T4s,call,0.0355
T4s,jam,0.0001
T3s,fold,0.88
T3s,call,0.1198
T3s,jam,0.0003
T2s,fold,0.8699
T2s,call,0.1266
T2s,jam,0.0035
A9o,fold,0.0005
A9o,call,0.1477
A9o,jam,0.8518
K9o,fold,0.0656
K9o,call,0.9332
K9o,jam,0.0011
Q9o,fold,0.9994
Q9o,call,0.0005
J9o,fold,0.4828
J9o,call,0.5129
J9o,jam,0.0044
T9o,fold,0.9869
T9o,call,0.0126
T9o,jam,0.0005
99,fold,0.0002
99,call,0.7538
99,jam,0.2461
98s,fold,0.8514
98s,call,0.1458
98s,jam,0.0029
97s,fold,0.5358
97s,call,0.3276
97s,jam,0.1366
96s,fold,0.5121
96s,call,0.4874
96s,jam,0.0005
95s,fold,0.9258
95s,call,0.0742
94s,fold,0.5409
94s,call,0.4408
94s,jam,0.0183
93s,fold,0.9269
93s,call,0.0275
93s,jam,0.0456
92s,fold,0.9968
92s,call,0.0014
92s,jam,0.0018
A8o,fold,0.0018
A8o,call,0.1278
A8o,jam,0.8704
K8o,fold,0.6639
K8o,call,0.3352
K8o,jam,0.001
Q8o,fold,0.9343
Q8o,call,0.065
Q8o,jam,0.0007
J8o,fold,0.9857
J8o,call,0.0143
T8o,fold,0.9998
T8o,call,0.0002
T8o,jam,0.0001
98o,fold,0.9863
98o,call,0.0137
98o,jam,0.0001
88,call,0.7138
88,jam,0.2862
87s,fold,0.6651
87s,call,0.2466
87s,jam,0.0883
86s,fold,0.6483
86s,call,0.3517
85s,fold,0.986
85s,call,0.0134
85s,jam,0.0006
84s,fold,0.9931
84s,call,0.0064
84s,jam,0.0005
83s,fold,0.9887
83s,call,0.0111
83s,jam,0.0002
82s,fold,0.9982
82s,call,0.0018
A7o,fold,0.0046
A7o,call,0.9172
A7o,jam,0.0782
K7o,fold,0.927
K7o,call,0.0684
K7o,jam,0.0046
Q7o,fold,1.0
J7o,fold,0.9991
J7o,call,0.0009
J7o,jam,0.0001
T7o,fold,0.9999
97o,fold,0.9944
97o,call,0.0056
87o,fold,0.6495
87o,call,0.3504
77,fold,0.0007
77,call,0.1246
77,jam,0.8747
76s,fold,0.3375
76s,call,0.4206
76s,jam,0.2418
75s,fold,0.2478
75s,call,0.7404
75s,jam,0.0118
74s,fold,0.2607
74s,call,0.1714
74s,jam,0.568
73s,fold,0.9113
73s,call,0.0885
73s,jam,0.0003
72s,fold,0.9965
72s,call,0.0021
72s,jam,0.0014
A6o,fold,0.0045
A6o,call,0.9147
A6o,jam,0.0808
K6o,fold,0.8383
K6o,call,0.1613
K6o,jam,0.0004
Q6o,fold,0.9989
Q6o,call,0.0003
Q6o,jam,0.0008
J6o,fold,1.0
T6o,fold,0.9961
T6o,call,0.0038
T6o,jam,0.0001
96o,fold,0.9999
96o,jam,0.0001
86o,fold,0.9645
86o,call,0.0354
86o,jam,0.0001
76o,fold,0.9535
76o,call,0.0464
76o,jam,0.0001
66,fold,0.01
66,call,0.9663
66,jam,0.0238
65s,fold,0.9281
65s,call,0.0719
64s,fold,0.7177
64s,call,0.0473
64s,jam,0.235
63s,fold,0.9961
63s,call,0.0039
62s,fold,0.9892
62s,call,0.0053
62s,jam,0.0055
A5o,fold,0.0066
A5o,call,0.0595
A5o,jam,0.9339
K5o,fold,0.9971
K5o,call,0.0028
K5o,jam,0.0001
Q5o,fold,0.9985
Q5o,call,0.0015
J5o,fold,0.9964
J5o,call,0.0031
J5o,jam,0.0005
T5o,fold,0.9994
T5o,call,0.0006
95o,fold,1.0
85o,fold,0.9999
85o,call,0.0001
75o,fold,1.0
65o,fold,0.9994
65o,call,0.0005
65o,jam,0.0001
55,fold,0.0629
55,call,0.9232
55,jam,0.0139
54s,fold,0.9046
54s,call,0.009
54s,jam,0.0864
53s,fold,0.9672
53s,call,0.029
53s,jam,0.0038
52s,fold,0.974
52s,call,0.0217
52s,jam,0.0043
A4o,fold,0.043
A4o,call,0.0512
A4o,jam,0.9058
K4o,fold,0.9804
K4o,call,0.0001
K4o,jam,0.0195
Q4o,fold,0.977
Q4o,call,0.0221
Q4o,jam,0.0009
J4o,fold,0.9997
J4o,call,0.0002
