# Generated by hrc_import.py --multi-opener-8max from hrc_8max_chipev_020bb.zip
# HRC tree: 8-handed, effective 20.0bb
# Equity model: chipev, ante: BB_ANTE_ANTE_FIRST
# App slot (deferred integration): sb vsopen vs hj open @ 20bb
# HRC node: id=92, seat=6, sequence=FFFRFF
# Actions: ['fold', 'call', 'jam']
# VPIP estimate: 47.21%
notation,action,freq
AA,jam,1.0
AKs,call,0.0103
AKs,jam,0.9897
AQs,call,0.0006
AQs,jam,0.9994
AJs,jam,1.0
ATs,fold,0.0056
ATs,call,0.5398
ATs,jam,0.4546
A9s,fold,0.0083
A9s,call,0.7616
A9s,jam,0.2301
A8s,fold,0.0898
A8s,call,0.8129
A8s,jam,0.0972
A7s,fold,0.0003
A7s,call,0.75
A7s,jam,0.2498
A6s,fold,0.004
A6s,call,0.5882
A6s,jam,0.4078
A5s,fold,0.0035
A5s,call,0.1285
A5s,jam,0.868
A4s,fold,0.1617
A4s,call,0.323
A4s,jam,0.5152
A3s,fold,0.1285
A3s,call,0.6358
A3s,jam,0.2357
A2s,fold,0.0002
A2s,call,0.2057
A2s,jam,0.7941
AKo,call,0.0005
AKo,jam,0.9995
KK,call,0.0003
KK,jam,0.9997
KQs,fold,0.0006
KQs,call,0.0407
KQs,jam,0.9587
KJs,fold,0.0017
KJs,call,0.9953
KJs,jam,0.0031
KTs,fold,0.0071
KTs,call,0.8281
KTs,jam,0.1648
K9s,fold,0.0641
K9s,call,0.9078
K9s,jam,0.0281
K8s,fold,0.0123
K8s,call,0.9867
K8s,jam,0.001
K7s,fold,0.0005
K7s,call,0.8227
K7s,jam,0.1768
K6s,fold,0.1006
K6s,call,0.8182
K6s,jam,0.0812
K5s,fold,0.1359
K5s,call,0.4961
K5s,jam,0.368
K4s,fold,0.3004
K4s,call,0.3748
K4s,jam,0.3248
K3s,fold,0.2558
K3s,call,0.7424
K3s,jam,0.0018
K2s,fold,0.1592
K2s,call,0.5185
K2s,jam,0.3223
AQo,call,0.0001
AQo,jam,0.9999
KQo,fold,0.0006
KQo,call,0.2697
KQo,jam,0.7297
QQ,jam,1.0
QJs,fold,0.0023
QJs,call,0.0476
QJs,jam,0.9501
QTs,fold,0.001
QTs,call,0.9084
QTs,jam,0.0906
Q9s,fold,0.0221
Q9s,call,0.9339
Q9s,jam,0.0441
Q8s,fold,0.116
Q8s,call,0.8472
Q8s,jam,0.0368
Q7s,fold,0.64
Q7s,call,0.2833
Q7s,jam,0.0767
Q6s,fold,0.0815
Q6s,call,0.917
Q6s,jam,0.0015
Q5s,fold,0.4997
Q5s,call,0.4997
Q5s,jam,0.0006
Q4s,fold,0.7125
Q4s,call,0.2867
Q4s,jam,0.0007
Q3s,fold,0.4791
Q3s,call,0.4197
Q3s,jam,0.1012
Q2s,fold,0.7376
Q2s,call,0.2624
AJo,call,0.0127
AJo,jam,0.9873
KJo,fold,0.0038
KJo,call,0.9272
KJo,jam,0.069
QJo,fold,0.0042
QJo,call,0.9954
QJo,jam,0.0004
JJ,call,0.004
JJ,jam,0.996
JTs,fold,0.0094
JTs,call,0.6493
JTs,jam,0.3413
J9s,fold,0.1989
J9s,call,0.6261
J9s,jam,0.175
J8s,fold,0.5267
J8s,call,0.4328
J8s,jam,0.0405
J7s,fold,0.9755
J7s,call,0.0244
J7s,jam,0.0001
J6s,fold,0.9979
J6s,call,0.0017
J6s,jam,0.0004
J5s,fold,0.7669
J5s,call,0.1628
J5s,jam,0.0702
J4s,fold,0.7388
J4s,call,0.2421
J4s,jam,0.0191
J3s,fold,0.9523
J3s,call,0.0472
J3s,jam,0.0004
J2s,fold,0.9751
J2s,call,0.0248
J2s,jam,0.0001
ATo,call,0.9149
ATo,jam,0.085
KTo,fold,0.0702
KTo,call,0.9282
KTo,jam,0.0016
QTo,fold,0.005
QTo,call,0.995
JTo,fold,0.1233
JTo,call,0.8766
JTo,jam,0.0001
TT,call,0.0765
TT,jam,0.9235
T9s,fold,0.0867
T9s,call,0.9129
T9s,jam,0.0003
T8s,fold,0.2814
T8s,call,0.7181
T8s,jam,0.0005
T7s,fold,0.2193
T7s,call,0.2297
T7s,jam,0.551
T6s,fold,0.583
T6s,call,0.3702
T6s,jam,0.0468
T5s,fold,0.7204
T5s,call,0.2796
T4s,fold,0.8842
T4s,call,0.1102
T4s,jam,0.0056
T3s,fold,0.9195
T3s,call,0.0785
T3s,jam,0.002
T2s,fold,0.7907
T2s,call,0.2092
A9o,fold,0.0024
A9o,call,0.9912
A9o,jam,0.0064
K9o,fold,0.3869
K9o,call,0.613
K9o,jam,0.0001
Q9o,fold,0.1515
Q9o,call,0.8485
J9o,fold,0.5324
J9o,call,0.4675
T9o,fold,0.4541
T9o,call,0.5459
99,call,0.1485
99,jam,0.8514
98s,fold,0.0683
98s,call,0.7875
98s,jam,0.1443
97s,fold,0.4329
97s,call,0.5671
96s,fold,0.5486
96s,call,0.3743
96s,jam,0.0771
95s,fold,0.75
95s,call,0.2498
95s,jam,0.0001
94s,fold,0.9994
94s,call,0.0006
94s,jam,0.0001
93s,fold,0.9994
93s,call,0.0006
92s,fold,0.9628
92s,call,0.0371
A8o,fold,0.0077
A8o,call,0.9917
A8o,jam,0.0007
K8o,fold,0.8645
K8o,call,0.1353
K8o,jam,0.0002
Q8o,fold,0.1474
Q8o,call,0.8525
Q8o,jam,0.0002
J8o,fold,0.1826
J8o,call,0.8174
T8o,fold,0.6203
T8o,call,0.3797
98o,fold,0.6364
98o,call,0.3635
88,call,0.9505
88,jam,0.0495
87s,fold,0.9145
87s,call,0.0716
87s,jam,0.0139
86s,fold,0.289
86s,call,0.7109
86s,jam,0.0001
85s,fold,0.5929
85s,call,0.4071
84s,fold,0.8433
84s,call,0.1441
84s,jam,0.0126
83s,fold,0.9963
83s,call,0.0036
82s,fold,0.9999
A7o,call,0.9999
A7o,jam,0.0001
K7o,fold,0.8665
K7o,call,0.1332
K7o,jam,0.0003
Q7o,fold,0.9983
Q7o,call,0.0017
J7o,fold,0.9748
J7o,call,0.0251
J7o,jam,0.0001
T7o,fold,0.9995
T7o,call,0.0005
97o,fold,0.992
97o,call,0.0077
97o,jam,0.0003
87o,fold,0.97
87o,call,0.03
77,fold,0.0052
77,call,0.8967
77,jam,0.0981
76s,fold,0.1429
76s,call,0.778
76s,jam,0.0791
75s,fold,0.4925
75s,call,0.4846
75s,jam,0.0229
74s,fold,0.8419
74s,call,0.158
74s,jam,0.0001
73s,fold,0.9314
73s,call,0.0686
72s,fold,0.999
72s,call,0.001
A6o,fold,0.1396
A6o,call,0.7979
A6o,jam,0.0625
K6o,fold,0.9999
K6o,call,0.0001
Q6o,fold,0.9878
Q6o,call,0.0122
J6o,fold,0.9841
J6o,call,0.0158
J6o,jam,0.0001
T6o,fold,0.9999
96o,fold,0.9997
96o,call,0.0003
86o,fold,0.9933
86o,call,0.0066
86o,jam,0.0001
76o,fold,0.6211
76o,call,0.3789
66,fold,0.0063
66,call,0.7659
66,jam,0.2278
65s,fold,0.1341
65s,call,0.4336
65s,jam,0.4323
64s,fold,0.0717
64s,call,0.9166
64s,jam,0.0117
63s,fold,0.838
63s,call,0.1615
63s,jam,0.0005
62s,fold,0.9687
62s,call,0.0311
62s,jam,0.0001
A5o,fold,0.0023
A5o,call,0.9973
A5o,jam,0.0003
K5o,fold,0.8613
K5o,call,0.1387
Q5o,fold,0.9998
Q5o,call,0.0002
J5o,fold,0.9999
J5o,call,0.0001
T5o,fold,0.9999
95o,fold,0.9995
95o,call,0.0005
95o,jam,0.0001
85o,fold,0.998
85o,call,0.002
75o,fold,0.9751
75o,call,0.0249
65o,fold,0.998
65o,call,0.0019
55,fold,0.0001
55,call,0.7926
55,jam,0.2073
54s,fold,0.1976
54s,call,0.6011
54s,jam,0.2014
53s,fold,0.4731
53s,call,0.5261
53s,jam,0.0008
52s,fold,0.9999
A4o,fold,0.0036
A4o,call,0.9946
A4o,jam,0.0018
K4o,fold,0.7336
K4o,call,0.2663
K4o,jam,0.0001
Q4o,fold,0.9996
Q4o,call,0.0004
J4o,fold,0.9955
J4o,call,0.0044
T4o,fold,0.9979
T4o,call,0.002
T4o,jam,0.0001
94o,fold,1.0
84o,fold,0.9995
84o,call,0.0004
84o,jam,0.0001
74o,fold,0.9945
74o,call,0.0055
64o,fold,0.9959
64o,call,0.004
54o,fold,1.0
44,fold,0.0625
44,call,0.8033
44,jam,0.1342
43s,fold,0.3868
43s,call,0.4158
43s,jam,0.1974
42s,fold,0.9877
42s,call,0.0103
42s,jam,0.002
A3o,fold,0.1634
A3o,call,0.7157
A3o,jam,0.121
K3o,fold,0.9997
K3o,call,0.0001
K3o,jam,0.0001
Q3o,fold,1.0
J3o,fold,0.9968
J3o,call,0.0032
T3o,fold,1.0
93o,fold,1.0
83o,fold,0.9999
73o,fold,0.9996
73o,call,0.0004
63o,fold,1.0
53o,fold,0.9999
53o,call,0.0001
43o,fold,0.9981
43o,call,0.0018
43o,jam,0.0001
33,fold,0.1149
33,call,0.7073
33,jam,0.1778
32s,fold,0.8362
32s,call,0.0702
32s,jam,0.0936
A2o,fold,0.0983
A2o,call,0.8816
A2o,jam,0.0201
K2o,fold,0.9999
Q2o,fold,0.9996
Q2o,call,0.0004
J2o,fold,0.9987
J2o,call,0.0013
T2o,fold,1.0
92o,fold,0.9997
92o,call,0.0003
82o,fold,0.9999
82o,call,0.0001
72o,fold,1.0
62o,fold,0.9993
62o,call,0.0007
52o,fold,1.0
42o,fold,0.9999
42o,call,0.0001
32o,fold,0.9999
32o,call,0.0001
22,fold,0.4363
22,call,0.5602
22,jam,0.0035
