# poker.academy CE-Symmetric — 20bb vs3bet | hero MP vs BB
# Scraped 2026-06-01 via scrape_all_ranges.py
# TreeParams: poker.academy CE-Symmetric Regular @ 20bb (GTO ChipEV, 1bb ante)
notation,action,freq
66,call,0.77
66,fold,0.23
77,call,0.6399
77,jam,0.3601
88,call,0.4301
88,jam,0.5699
99,call,0.9801
99,jam,0.0199
AA,call,1.0
AKs,jam,1.0
AQs,call,1.0
AJs,call,1.0
ATs,call,1.0
A9s,call,1.0
A8s,call,1.0
A7s,call,1.0
A6s,call,0.245
A6s,jam,0.755
A5s,call,0.76
A5s,jam,0.24
A4s,call,1.0
A3s,call,1.0
AKo,jam,1.0
KK,call,0.5901
KK,jam,0.4099
KQs,call,1.0
KJs,call,1.0
KTs,call,1.0
K9s,call,1.0
K8s,call,0.3601
K8s,fold,0.6399
AQo,call,0.165
AQo,jam,0.835
KQo,call,0.0698
KQo,fold,0.9302
QQ,call,0.38
QQ,jam,0.62
QJs,call,1.0
QTs,call,1.0
AJo,call,1.0
JJ,call,1.0
JTs,call,0.5901
JTs,fold,0.4099
ATo,call,0.5801
ATo,fold,0.4199
TT,call,1.0
T9s,call,0.54
T9s,fold,0.46
98s,call,0.705
98s,fold,0.295
87s,call,0.234
87s,fold,0.766
