# poker.academy CE-Symmetric — 20bb vsopen | hero MP vs EP
# Scraped 2026-06-01 via scrape_all_ranges.py
# TreeParams: poker.academy CE-Symmetric Regular @ 20bb (GTO ChipEV, 1bb ante)
notation,action,freq
66,call,0.0399
66,fold,0.9601
77,call,0.0549
77,fold,0.9451
88,call,0.1591
88,fold,0.7167
88,threeBet,0.1242
99,call,0.3101
99,jam,0.1249
99,threeBet,0.565
AA,call,0.1749
AA,threeBet,0.8251
AKs,jam,0.31
AKs,threeBet,0.69
AQs,call,0.155
AQs,jam,0.845
AJs,call,1.0
ATs,call,0.0549
ATs,threeBet,0.9451
A9s,call,0.0499
A9s,fold,0.56
A9s,threeBet,0.3901
AKo,jam,1.0
KK,call,0.08
KK,threeBet,0.92
KQs,call,0.2499
KQs,jam,0.7501
KJs,call,0.085
KJs,jam,0.915
KTs,call,0.305
KTs,threeBet,0.695
AQo,call,0.1249
AQo,jam,0.5251
AQo,threeBet,0.35
KQo,call,0.0349
KQo,fold,0.8201
KQo,threeBet,0.145
QQ,call,0.085
QQ,jam,0.245
QQ,threeBet,0.67
QTs,call,0.235
QTs,fold,0.765
AJo,fold,0.625
AJo,threeBet,0.375
JJ,jam,1.0
TT,call,0.0447
TT,jam,0.9206
TT,threeBet,0.0347
