# poker.academy CE-Symmetric — 25bb vsopen | hero BB vs CO
# Scraped 2026-06-01 via scrape_all_ranges.py
# TreeParams: poker.academy CE-Symmetric Regular @ 25bb (GTO ChipEV, 1bb ante)
notation,action,freq
22,jam,1.0
33,jam,1.0
44,jam,0.705
44,threeBet,0.295
55,jam,0.8751
55,threeBet,0.1249
66,jam,1.0
77,jam,1.0
88,jam,1.0
99,jam,1.0
AA,threeBet,1.0
AKs,threeBet,1.0
AQs,jam,0.5051
AQs,threeBet,0.4949
AJs,jam,0.085
AJs,threeBet,0.915
ATs,call,0.5151
ATs,threeBet,0.4849
A9s,call,1.0
A8s,call,1.0
A7s,call,1.0
A6s,call,1.0
A5s,call,1.0
A4s,call,1.0
A3s,call,1.0
A2s,call,1.0
AKo,jam,1.0
KK,threeBet,1.0
KQs,call,1.0
KJs,call,1.0
KTs,call,1.0
K9s,call,1.0
K8s,call,0.2749
K8s,jam,0.7251
K7s,call,1.0
K6s,call,1.0
K5s,call,1.0
K4s,call,1.0
K3s,call,1.0
K2s,call,1.0
AQo,jam,1.0
KQo,call,0.3482
KQo,jam,0.6271
KQo,threeBet,0.0247
QQ,threeBet,1.0
QJs,call,1.0
QTs,call,1.0
Q9s,call,1.0
Q8s,call,0.0349
Q8s,jam,0.9651
Q7s,call,1.0
Q6s,call,1.0
Q5s,call,1.0
Q4s,call,1.0
Q3s,call,1.0
Q2s,call,1.0
AJo,jam,1.0
KJo,call,0.595
KJo,jam,0.32
KJo,threeBet,0.085
QJo,call,1.0
JJ,jam,0.9501
JJ,threeBet,0.0499
JTs,call,0.6131
JTs,threeBet,0.3869
J9s,call,0.535
J9s,jam,0.465
J8s,call,1.0
J7s,call,1.0
J6s,call,1.0
J5s,call,1.0
J4s,call,1.0
J3s,call,1.0
J2s,call,1.0
ATo,call,0.7453
ATo,jam,0.0648
ATo,threeBet,0.1899
KTo,call,1.0
QTo,call,1.0
JTo,call,1.0
TT,jam,0.91
TT,threeBet,0.09
T9s,call,0.4249
T9s,threeBet,0.5751
T8s,call,1.0
T7s,call,1.0
T6s,call,1.0
T5s,call,1.0
T4s,call,1.0
T3s,call,1.0
T2s,call,1.0
A9o,call,0.91
A9o,threeBet,0.09
K9o,call,0.9402
K9o,threeBet,0.0598
Q9o,call,1.0
J9o,call,0.9352
J9o,threeBet,0.0648
T9o,call,1.0
98s,call,0.9551
98s,threeBet,0.0449
97s,call,1.0
96s,call,1.0
95s,call,1.0
94s,call,1.0
93s,call,1.0
92s,call,1.0
A8o,call,0.78
A8o,threeBet,0.22
K8o,call,0.8951
K8o,threeBet,0.1049
Q8o,call,0.9352
Q8o,threeBet,0.0648
J8o,call,0.9501
J8o,threeBet,0.0499
T8o,call,0.9601
T8o,threeBet,0.0399
98o,call,1.0
87s,call,0.9302
87s,threeBet,0.0698
86s,call,1.0
85s,call,1.0
84s,call,1.0
83s,call,1.0
82s,call,1.0
A7o,call,0.92
A7o,threeBet,0.08
K7o,call,0.9001
K7o,threeBet,0.0999
Q7o,call,1.0
J7o,call,0.8652
J7o,threeBet,0.1348
T7o,call,0.9601
T7o,threeBet,0.0399
97o,call,1.0
87o,call,1.0
76s,call,1.0
75s,call,1.0
74s,call,1.0
73s,call,1.0
72s,call,1.0
A6o,call,0.91
A6o,threeBet,0.09
K6o,call,0.845
K6o,threeBet,0.155
Q6o,call,0.9302
Q6o,threeBet,0.0698
J6o,call,1.0
T6o,call,1.0
96o,call,1.0
86o,call,1.0
76o,call,1.0
65s,call,1.0
64s,call,1.0
63s,call,1.0
62s,call,1.0
A5o,call,0.235
A5o,jam,0.53
A5o,threeBet,0.235
K5o,call,0.9302
K5o,threeBet,0.0698
Q5o,call,0.915
Q5o,threeBet,0.085
J5o,call,0.9751
J5o,threeBet,0.0249
85o,call,1.0
75o,call,1.0
65o,call,1.0
54s,call,1.0
53s,call,1.0
52s,call,1.0
A4o,call,0.925
A4o,threeBet,0.075
K4o,call,1.0
Q4o,call,0.8801
Q4o,threeBet,0.1199
J4o,call,1.0
74o,call,0.5151
74o,fold,0.4849
64o,call,1.0
54o,call,1.0
43s,call,1.0
42s,call,1.0
A3o,call,0.5952
A3o,jam,0.3549
A3o,threeBet,0.0499
K3o,call,0.99
K3o,threeBet,0.01
Q3o,call,0.905
Q3o,threeBet,0.095
J3o,call,0.2049
J3o,fold,0.7951
53o,call,1.0
43o,call,1.0
32s,call,1.0
A2o,call,0.8558
A2o,jam,0.0447
A2o,threeBet,0.0995
K2o,call,1.0
Q2o,call,0.9601
Q2o,threeBet,0.0399
52o,call,0.1249
52o,fold,0.8751
