# poker.academy CE-Symmetric — 25bb vsopen | hero BB vs HJ
# Scraped 2026-06-01 via scrape_all_ranges.py
# TreeParams: poker.academy CE-Symmetric Regular @ 25bb (GTO ChipEV, 1bb ante)
notation,action,freq
22,call,1.0
33,jam,1.0
44,jam,0.9402
44,threeBet,0.0598
55,jam,0.6501
55,threeBet,0.3499
66,jam,0.7501
66,threeBet,0.2499
77,jam,1.0
88,jam,1.0
99,jam,1.0
AA,threeBet,1.0
AKs,threeBet,1.0
AQs,jam,0.0249
AQs,threeBet,0.9751
AJs,call,0.45
AJs,threeBet,0.55
ATs,call,1.0
A9s,call,1.0
A8s,call,1.0
A7s,call,1.0
A6s,call,1.0
A5s,call,1.0
A4s,call,1.0
A3s,call,1.0
A2s,call,1.0
AKo,jam,1.0
KK,threeBet,1.0
KQs,call,1.0
KJs,call,1.0
KTs,call,1.0
K9s,call,0.5951
K9s,jam,0.4049
K8s,call,1.0
K7s,call,1.0
K6s,call,1.0
K5s,call,1.0
K4s,call,1.0
K3s,call,1.0
K2s,call,1.0
AQo,jam,1.0
KQo,call,0.593
KQo,jam,0.3216
KQo,threeBet,0.0854
QQ,jam,0.2098
QQ,threeBet,0.7902
QJs,call,1.0
QTs,call,1.0
Q9s,call,0.3601
Q9s,jam,0.6399
Q8s,call,1.0
Q7s,call,1.0
Q6s,call,1.0
Q5s,call,1.0
Q4s,call,1.0
Q3s,call,1.0
Q2s,call,1.0
AJo,call,0.25
AJo,jam,0.6301
AJo,threeBet,0.1199
KJo,call,1.0
QJo,call,1.0
JJ,jam,0.7501
JJ,threeBet,0.2499
JTs,call,0.225
JTs,jam,0.225
JTs,threeBet,0.55
J9s,call,1.0
J8s,call,1.0
J7s,call,1.0
J6s,call,1.0
J5s,call,1.0
J4s,call,1.0
J3s,call,1.0
J2s,call,1.0
ATo,call,0.905
ATo,threeBet,0.095
KTo,call,0.9751
KTo,threeBet,0.0249
QTo,call,0.9801
QTo,threeBet,0.0199
JTo,call,1.0
TT,jam,0.855
TT,threeBet,0.145
T9s,call,0.7351
T9s,threeBet,0.2649
T8s,call,1.0
T7s,call,1.0
T6s,call,1.0
T5s,call,1.0
T4s,call,1.0
T3s,call,1.0
T2s,call,1.0
A9o,call,0.8901
A9o,threeBet,0.1099
K9o,call,0.705
K9o,threeBet,0.295
Q9o,call,0.9601
Q9o,threeBet,0.0399
J9o,call,1.0
T9o,call,1.0
98s,call,1.0
97s,call,1.0
96s,call,1.0
95s,call,1.0
94s,call,1.0
93s,call,1.0
92s,call,1.0
A8o,call,0.8751
A8o,threeBet,0.1249
K8o,call,0.9701
K8o,threeBet,0.0299
Q8o,call,0.8901
Q8o,threeBet,0.1099
J8o,call,0.925
J8o,threeBet,0.075
T8o,call,0.9801
T8o,threeBet,0.0199
98o,call,1.0
87s,call,1.0
86s,call,1.0
85s,call,1.0
84s,call,1.0
83s,call,1.0
82s,call,1.0
A7o,call,0.6201
A7o,jam,0.095
A7o,threeBet,0.2849
K7o,call,0.925
K7o,threeBet,0.075
Q7o,call,1.0
J7o,call,0.9751
J7o,threeBet,0.0249
T7o,call,0.9751
T7o,threeBet,0.0249
97o,call,1.0
87o,call,1.0
76s,call,1.0
75s,call,1.0
74s,call,1.0
73s,call,1.0
72s,call,1.0
A6o,call,0.8652
A6o,threeBet,0.1348
K6o,call,0.915
K6o,threeBet,0.085
Q6o,call,0.9352
Q6o,threeBet,0.0648
J6o,call,1.0
T6o,call,0.8701
T6o,fold,0.1299
96o,call,1.0
86o,call,1.0
76o,call,1.0
65s,call,1.0
64s,call,1.0
63s,call,1.0
62s,call,1.0
A5o,call,0.7801
A5o,jam,0.095
A5o,threeBet,0.1249
K5o,call,1.0
Q5o,call,0.9402
Q5o,threeBet,0.0598
J5o,call,0.2098
J5o,fold,0.7902
85o,call,1.0
75o,call,1.0
65o,call,1.0
54s,call,1.0
53s,call,1.0
52s,call,1.0
A4o,call,0.6283
A4o,jam,0.3216
A4o,threeBet,0.0501
K4o,call,1.0
Q4o,call,1.0
64o,call,1.0
54o,call,1.0
43s,call,1.0
42s,call,1.0
A3o,call,0.5451
A3o,jam,0.42
A3o,threeBet,0.0349
K3o,call,0.9402
K3o,threeBet,0.0598
Q3o,call,0.9651
Q3o,threeBet,0.0349
53o,call,1.0
43o,call,1.0
32s,call,1.0
A2o,call,0.9601
A2o,threeBet,0.0399
K2o,call,1.0
Q2o,call,0.6401
Q2o,fold,0.335
Q2o,threeBet,0.0249
