# poker.academy CE-Symmetric — 25bb vsopen | hero CO vs EP
# Scraped 2026-06-01 via scrape_all_ranges.py
# TreeParams: poker.academy CE-Symmetric Regular @ 25bb (GTO ChipEV, 1bb ante)
notation,action,freq
22,call,0.0449
22,fold,0.9551
33,call,0.1249
33,fold,0.8751
44,call,0.2699
44,fold,0.7301
55,call,0.4199
55,fold,0.5801
66,call,0.7351
66,fold,0.2649
77,call,0.9601
77,threeBet,0.0399
88,call,0.6349
88,threeBet,0.3651
99,call,0.69
99,threeBet,0.31
AA,call,0.1398
AA,threeBet,0.8602
AKs,threeBet,1.0
AQs,call,0.7451
AQs,threeBet,0.2549
AJs,call,1.0
ATs,call,1.0
A9s,call,0.4149
A9s,threeBet,0.5851
A8s,call,0.445
A8s,threeBet,0.555
A5s,call,0.465
A5s,fold,0.535
AKo,jam,0.8951
AKo,threeBet,0.1049
KK,call,0.015
KK,threeBet,0.985
KQs,call,0.475
KQs,jam,0.525
KJs,call,0.6349
KJs,jam,0.3651
KTs,call,0.3651
KTs,threeBet,0.6349
K9s,call,0.5124
K9s,fold,0.2437
K9s,threeBet,0.2439
AQo,call,0.48
AQo,jam,0.225
AQo,threeBet,0.295
KQo,call,0.68
KQo,threeBet,0.32
QQ,call,0.1849
QQ,threeBet,0.8151
QJs,jam,1.0
QTs,call,1.0
AJo,call,0.4301
AJo,threeBet,0.5699
JJ,call,0.155
JJ,jam,0.4149
JJ,threeBet,0.4301
JTs,call,0.905
JTs,threeBet,0.095
ATo,fold,0.675
ATo,threeBet,0.325
TT,call,0.0648
TT,jam,0.8502
TT,threeBet,0.085
T9s,call,0.7201
T9s,threeBet,0.2799
