# poker.academy CE-Symmetric — 25bb vsopen | hero HJ vs EP
# Scraped 2026-06-01 via scrape_all_ranges.py
# TreeParams: poker.academy CE-Symmetric Regular @ 25bb (GTO ChipEV, 1bb ante)
notation,action,freq
44,call,0.0549
44,fold,0.9451
55,call,0.155
55,fold,0.845
66,call,0.3499
66,fold,0.6501
77,call,0.5701
77,fold,0.405
77,threeBet,0.0249
88,call,0.62
88,threeBet,0.38
99,call,0.615
99,threeBet,0.385
AA,call,0.09
AA,threeBet,0.91
AKs,threeBet,1.0
AQs,call,1.0
AJs,call,1.0
ATs,call,0.4849
ATs,threeBet,0.5151
A9s,call,0.3349
A9s,threeBet,0.6651
A8s,call,0.0397
A8s,fold,0.5623
A8s,threeBet,0.398
A5s,call,0.1999
A5s,fold,0.8001
AKo,jam,0.7451
AKo,threeBet,0.2549
KK,call,0.0199
KK,threeBet,0.9801
KQs,call,0.4351
KQs,jam,0.5649
KJs,call,0.8851
KJs,threeBet,0.1149
KTs,call,0.2849
KTs,threeBet,0.7151
AQo,call,0.4121
AQo,jam,0.1155
AQo,threeBet,0.4724
KQo,call,0.3499
KQo,fold,0.3051
KQo,threeBet,0.345
QQ,call,0.1199
QQ,threeBet,0.8801
QJs,jam,1.0
QTs,call,0.78
QTs,threeBet,0.22
AJo,call,0.1249
AJo,fold,0.26
AJo,threeBet,0.6151
JJ,call,0.1349
JJ,jam,0.4401
JJ,threeBet,0.425
JTs,call,0.6701
JTs,threeBet,0.3299
ATo,fold,0.8701
ATo,threeBet,0.1299
TT,call,0.2009
TT,jam,0.5529
TT,threeBet,0.2462
T9s,call,0.1658
T9s,fold,0.8342
