# poker.academy CE-Symmetric — 25bb vsopen | hero LJ vs EP
# Scraped 2026-06-01 via scrape_all_ranges.py
# TreeParams: poker.academy CE-Symmetric Regular @ 25bb (GTO ChipEV, 1bb ante)
notation,action,freq
55,call,0.0449
55,fold,0.9551
66,call,0.1299
66,fold,0.8701
77,call,0.1849
77,fold,0.8151
88,call,0.525
88,threeBet,0.475
99,call,0.395
99,threeBet,0.605
AA,call,0.085
AA,threeBet,0.915
AKs,threeBet,1.0
AQs,call,1.0
AJs,call,1.0
ATs,call,0.17
ATs,threeBet,0.83
A9s,call,0.095
A9s,threeBet,0.905
A5s,call,0.01
A5s,fold,0.99
AKo,call,0.01
AKo,jam,0.375
AKo,threeBet,0.615
KK,call,0.0249
KK,threeBet,0.9751
KQs,call,0.2049
KQs,jam,0.7951
KJs,call,0.4149
KJs,threeBet,0.5851
KTs,call,0.2599
KTs,threeBet,0.7401
AQo,call,0.24
AQo,threeBet,0.76
KQo,call,0.155
KQo,fold,0.6701
KQo,threeBet,0.1749
QQ,call,0.0549
QQ,threeBet,0.9451
QJs,call,0.1494
QJs,fold,0.2586
QJs,jam,0.0297
QJs,threeBet,0.5623
QTs,call,0.37
QTs,fold,0.63
AJo,fold,0.6349
AJo,threeBet,0.3651
JJ,call,0.0549
JJ,jam,0.235
JJ,threeBet,0.7101
JTs,call,0.2489
JTs,fold,0.7264
JTs,threeBet,0.0247
ATo,fold,0.985
ATo,threeBet,0.015
TT,call,0.2499
TT,jam,0.23
TT,threeBet,0.5201
T9s,call,0.0499
T9s,fold,0.9501
