# Generated by hrc_import.py --multi-opener-8max from hrc_8max_chipev_030bb.zip
# HRC tree: 8-handed, effective 30.0bb
# Equity model: chipev, ante: BB_ANTE_ANTE_FIRST
# App slot (deferred integration): bb vsopen vs btn open @ 30bb
# HRC node: id=17, seat=7, sequence=FFFFFRF
# Actions: ['fold', 'call', 'jam']
# VPIP estimate: 99.98%
notation,action,freq
AA,jam,1.0
AKs,jam,1.0
AQs,fold,0.0001
AQs,call,0.0003
AQs,jam,0.9997
AJs,call,0.0064
AJs,jam,0.9936
ATs,call,0.9242
ATs,jam,0.0758
A9s,fold,0.0001
A9s,call,0.9504
A9s,jam,0.0495
A8s,fold,0.0002
A8s,call,0.9189
A8s,jam,0.081
A7s,call,0.9541
A7s,jam,0.0459
A6s,call,0.3519
A6s,jam,0.648
A5s,fold,0.0001
A5s,call,0.8131
A5s,jam,0.1868
A4s,fold,0.0003
A4s,call,0.4825
A4s,jam,0.5172
A3s,call,0.9961
A3s,jam,0.0039
A2s,fold,0.0001
A2s,call,0.9463
A2s,jam,0.0537
AKo,jam,1.0
KK,jam,1.0
KQs,call,0.3076
KQs,jam,0.6924
KJs,fold,0.0001
KJs,call,0.9212
KJs,jam,0.0788
KTs,fold,0.0003
KTs,call,0.1546
KTs,jam,0.8452
K9s,fold,0.0002
K9s,call,0.6147
K9s,jam,0.3851
K8s,fold,0.0003
K8s,call,0.7815
K8s,jam,0.2182
K7s,fold,0.0001
K7s,call,0.989
K7s,jam,0.011
K6s,fold,0.0003
K6s,call,0.5516
K6s,jam,0.4482
K5s,fold,0.0004
K5s,call,0.9993
K5s,jam,0.0003
K4s,fold,0.0007
K4s,call,0.7577
K4s,jam,0.2415
K3s,call,0.9982
K3s,jam,0.0017
K2s,fold,0.0001
K2s,call,0.9998
K2s,jam,0.0001
AQo,call,0.0002
AQo,jam,0.9998
KQo,call,0.0739
KQo,jam,0.9261
QQ,jam,0.9999
QJs,call,0.2577
QJs,jam,0.7422
QTs,fold,0.0001
QTs,call,0.8641
QTs,jam,0.1358
Q9s,call,0.9263
Q9s,jam,0.0736
Q8s,fold,0.0001
Q8s,call,0.8921
Q8s,jam,0.1078
Q7s,fold,0.0002
Q7s,call,0.9998
Q6s,fold,0.0004
Q6s,call,0.9994
Q6s,jam,0.0001
Q5s,call,0.9994
Q5s,jam,0.0006
Q4s,fold,0.0002
Q4s,call,0.9998
Q3s,fold,0.0004
Q3s,call,0.4144
Q3s,jam,0.5852
Q2s,fold,0.0001
Q2s,call,0.7832
Q2s,jam,0.2167
AJo,jam,1.0
KJo,call,0.9855
KJo,jam,0.0145
QJo,call,0.9721
QJo,jam,0.0279
JJ,call,0.0001
JJ,jam,0.9998
JTs,fold,0.0002
JTs,call,0.6528
JTs,jam,0.347
J9s,fold,0.0001
J9s,call,0.5174
J9s,jam,0.4825
J8s,call,0.9613
J8s,jam,0.0387
J7s,fold,0.0013
J7s,call,0.3455
J7s,jam,0.6532
J6s,fold,0.0002
J6s,call,0.9998
J5s,fold,0.0004
J5s,call,0.9151
J5s,jam,0.0845
J4s,call,0.958
J4s,jam,0.0419
J3s,fold,0.0003
J3s,call,0.9997
J2s,call,0.997
J2s,jam,0.0029
ATo,call,0.7864
ATo,jam,0.2136
KTo,call,0.9861
KTo,jam,0.0139
QTo,call,0.9757
QTo,jam,0.0243
JTo,call,0.9951
JTo,jam,0.0049
TT,call,0.0001
TT,jam,0.9999
T9s,call,0.1524
T9s,jam,0.8476
T8s,fold,0.0001
T8s,call,0.6418
T8s,jam,0.3581
T7s,fold,0.0005
T7s,call,0.7728
T7s,jam,0.2267
T6s,fold,0.0004
T6s,call,0.9996
T5s,fold,0.0007
T5s,call,0.9987
T5s,jam,0.0007
T4s,call,0.9995
T4s,jam,0.0004
T3s,fold,0.0001
T3s,call,0.9999
T2s,fold,0.0016
T2s,call,0.9984
A9o,call,0.9998
A9o,jam,0.0002
K9o,call,1.0
Q9o,call,0.9999
J9o,call,0.9883
J9o,jam,0.0117
T9o,call,0.8962
T9o,jam,0.1038
99,call,0.0002
99,jam,0.9998
98s,fold,0.0001
98s,call,0.2299
98s,jam,0.7699
97s,fold,0.0002
97s,call,0.7889
