# poker.academy CE-Symmetric — 30bb vsopen | hero BB vs LJ
# Scraped 2026-06-01 via scrape_all_ranges.py
# TreeParams: poker.academy CE-Symmetric Regular @ 30bb (GTO ChipEV, 1bb ante)
notation,action,freq
22,call,1.0
33,call,1.0
44,call,0.855
44,jam,0.145
55,call,0.69
55,jam,0.31
66,call,0.9352
66,threeBet,0.0648
77,call,0.5901
77,threeBet,0.4099
88,jam,0.31
88,threeBet,0.69
99,jam,0.8951
99,threeBet,0.1049
AA,threeBet,1.0
AKs,threeBet,1.0
AQs,threeBet,1.0
AJs,call,1.0
ATs,call,1.0
A9s,call,1.0
A8s,call,1.0
A7s,call,1.0
A6s,call,1.0
A5s,call,1.0
A4s,call,1.0
A3s,call,1.0
A2s,call,1.0
AKo,jam,0.615
AKo,threeBet,0.385
KK,threeBet,1.0
KQs,call,1.0
KJs,call,1.0
KTs,call,1.0
K9s,call,0.6399
K9s,jam,0.3601
K8s,call,1.0
K7s,call,1.0
K6s,call,1.0
K5s,call,1.0
K4s,call,1.0
K3s,call,1.0
K2s,call,1.0
AQo,jam,0.407
AQo,threeBet,0.593
KQo,call,0.85
KQo,threeBet,0.15
QQ,threeBet,1.0
QJs,call,1.0
QTs,call,1.0
Q9s,call,1.0
Q8s,call,0.8701
Q8s,threeBet,0.1299
Q7s,call,1.0
Q6s,call,1.0
Q5s,call,1.0
Q4s,call,1.0
Q3s,call,1.0
Q2s,call,1.0
AJo,call,0.5851
AJo,threeBet,0.4149
KJo,call,1.0
QJo,call,1.0
JJ,threeBet,1.0
JTs,call,0.45
JTs,jam,0.55
J9s,call,1.0
J8s,call,1.0
J7s,call,1.0
J6s,call,1.0
J5s,call,1.0
J4s,call,1.0
J3s,call,1.0
J2s,call,1.0
ATo,call,0.99
ATo,threeBet,0.01
KTo,call,0.71
KTo,threeBet,0.29
QTo,call,0.905
QTo,threeBet,0.095
JTo,call,0.8751
JTo,threeBet,0.1249
TT,jam,0.69
TT,threeBet,0.31
T9s,call,1.0
T8s,call,1.0
T7s,call,1.0
T6s,call,1.0
T5s,call,1.0
T4s,call,1.0
T3s,call,1.0
T2s,call,1.0
A9o,call,0.685
A9o,threeBet,0.315
K9o,call,0.605
K9o,threeBet,0.395
Q9o,call,0.91
Q9o,threeBet,0.09
J9o,call,0.91
J9o,threeBet,0.09
T9o,call,0.9501
T9o,threeBet,0.0499
98s,call,1.0
97s,call,1.0
96s,call,1.0
95s,call,1.0
94s,call,1.0
93s,call,1.0
92s,call,1.0
A8o,call,0.675
A8o,threeBet,0.325
K8o,call,1.0
Q8o,call,0.9551
Q8o,threeBet,0.0449
J8o,call,0.9001
J8o,threeBet,0.0999
T8o,call,1.0
98o,call,1.0
87s,call,1.0
86s,call,1.0
85s,call,1.0
84s,call,1.0
83s,call,1.0
82s,call,1.0
A7o,call,0.615
A7o,threeBet,0.385
K7o,call,1.0
Q7o,call,1.0
J7o,call,0.9651
J7o,threeBet,0.0349
T7o,call,1.0
97o,call,1.0
87o,call,1.0
76s,call,1.0
75s,call,1.0
74s,call,1.0
73s,call,1.0
72s,call,1.0
A6o,call,1.0
K6o,call,0.845
K6o,threeBet,0.155
Q6o,call,0.9751
Q6o,threeBet,0.0249
J6o,call,0.2499
J6o,fold,0.7501
96o,call,1.0
86o,call,1.0
76o,call,1.0
65s,call,1.0
64s,call,1.0
63s,call,1.0
62s,call,1.0
A5o,call,0.77
A5o,threeBet,0.23
K5o,call,1.0
Q5o,call,1.0
85o,call,0.615
85o,fold,0.385
75o,call,1.0
65o,call,1.0
54s,call,1.0
53s,call,1.0
52s,call,1.0
A4o,call,0.5801
A4o,jam,0.3399
A4o,threeBet,0.08
K4o,call,1.0
Q4o,call,1.0
64o,call,1.0
54o,call,1.0
43s,call,1.0
42s,call,1.0
A3o,call,0.8602
A3o,jam,0.1398
K3o,call,0.8851
K3o,threeBet,0.1149
53o,call,1.0
43o,call,1.0
32s,call,1.0
A2o,call,1.0
K2o,call,1.0
