# poker.academy CE-Symmetric — 30bb vsopen | hero BB vs SB
# Scraped 2026-06-01 via scrape_all_ranges.py
# TreeParams: poker.academy CE-Symmetric Regular @ 30bb (GTO ChipEV, 1bb ante)
notation,action,freq
22,jam,1.0
33,jam,1.0
44,call,0.1199
44,jam,0.8801
55,call,0.2599
55,jam,0.7401
66,call,0.7401
66,jam,0.2599
77,call,0.925
77,threeBet,0.075
88,call,1.0
99,call,0.7351
99,threeBet,0.2649
AA,call,0.6601
AA,threeBet,0.3399
AKs,threeBet,1.0
AQs,call,0.2699
AQs,threeBet,0.7301
AJs,call,0.91
AJs,threeBet,0.09
ATs,call,1.0
A9s,call,1.0
A8s,call,1.0
A7s,call,1.0
A6s,call,1.0
A5s,call,1.0
A4s,call,1.0
A3s,call,1.0
A2s,call,1.0
AKo,jam,0.155
AKo,threeBet,0.845
KK,call,0.5599
KK,threeBet,0.4401
KQs,call,1.0
KJs,call,1.0
KTs,call,1.0
K9s,call,1.0
K8s,call,1.0
K7s,call,1.0
K6s,call,1.0
K5s,call,1.0
K4s,call,1.0
K3s,call,1.0
K2s,call,1.0
AQo,jam,0.605
AQo,threeBet,0.395
KQo,call,1.0
QQ,threeBet,1.0
QJs,call,1.0
QTs,call,1.0
Q9s,call,1.0
Q8s,call,1.0
Q7s,call,1.0
Q6s,call,1.0
Q5s,call,1.0
Q4s,call,1.0
Q3s,call,1.0
Q2s,call,1.0
AJo,jam,0.845
AJo,threeBet,0.155
KJo,call,1.0
QJo,call,1.0
JJ,call,0.145
JJ,threeBet,0.855
JTs,call,1.0
J9s,call,1.0
J8s,call,1.0
J7s,call,1.0
J6s,call,1.0
J5s,call,1.0
J4s,call,1.0
J3s,call,1.0
J2s,call,1.0
ATo,call,0.255
ATo,jam,0.6951
ATo,threeBet,0.0499
KTo,call,1.0
QTo,call,1.0
JTo,call,1.0
TT,call,0.3549
TT,threeBet,0.6451
T9s,call,1.0
T8s,call,1.0
T7s,call,1.0
T6s,call,1.0
T5s,call,1.0
T4s,call,1.0
T3s,call,1.0
T2s,call,1.0
A9o,call,0.7451
A9o,jam,0.1049
A9o,threeBet,0.15
K9o,call,0.925
K9o,threeBet,0.075
Q9o,call,1.0
J9o,call,1.0
T9o,call,1.0
98s,call,1.0
97s,call,1.0
96s,call,1.0
95s,call,1.0
94s,call,0.8751
94s,threeBet,0.1249
93s,call,0.765
93s,threeBet,0.235
92s,call,0.9601
92s,threeBet,0.0399
A8o,call,0.91
A8o,threeBet,0.09
K8o,call,0.91
K8o,threeBet,0.09
Q8o,call,1.0
J8o,call,0.785
J8o,threeBet,0.215
T8o,call,0.9601
T8o,threeBet,0.0399
98o,call,0.92
98o,threeBet,0.08
87s,call,1.0
86s,call,1.0
85s,call,1.0
84s,call,1.0
83s,call,1.0
82s,call,1.0
A7o,call,1.0
K7o,call,1.0
Q7o,call,1.0
J7o,call,0.76
J7o,threeBet,0.24
T7o,call,0.9001
T7o,threeBet,0.0999
97o,call,0.7451
97o,threeBet,0.2549
87o,call,0.9601
87o,threeBet,0.0399
76s,call,1.0
75s,call,1.0
74s,call,1.0
73s,call,1.0
A6o,call,0.83
A6o,threeBet,0.17
K6o,call,0.835
K6o,jam,0.165
Q6o,call,0.8701
Q6o,threeBet,0.1299
J6o,fold,0.99
J6o,threeBet,0.01
T6o,fold,0.705
T6o,threeBet,0.295
86o,call,0.1
86o,fold,0.8352
86o,threeBet,0.0648
76o,call,1.0
65s,call,1.0
64s,call,1.0
63s,call,1.0
62s,call,1.0
A5o,call,1.0
K5o,call,0.9701
K5o,threeBet,0.0299
Q5o,call,0.6651
Q5o,threeBet,0.3349
J5o,fold,0.8151
J5o,threeBet,0.1849
65o,call,0.625
65o,fold,0.375
54s,call,1.0
53s,call,1.0
52s,call,1.0
A4o,call,0.9751
A4o,threeBet,0.0249
K4o,call,0.775
K4o,threeBet,0.225
Q4o,call,0.2099
Q4o,fold,0.6802
Q4o,threeBet,0.1099
54o,call,1.0
43s,call,1.0
42s,call,1.0
A3o,call,0.53
A3o,jam,0.46
A3o,threeBet,0.01
K3o,call,0.705
K3o,threeBet,0.295
32s,call,1.0
A2o,jam,0.9302
A2o,threeBet,0.0698
K2o,call,0.1909
K2o,fold,0.6282
K2o,threeBet,0.1809
