# Generated by hrc_import.py --multi-opener-8max from hrc_8max_chipev_030bb.zip
# HRC tree: 8-handed, effective 30.0bb
# Equity model: chipev, ante: BB_ANTE_ANTE_FIRST
# App slot (deferred integration): co vsopen vs lj open @ 30bb
# HRC node: id=731, seat=4, sequence=FFRF
# Actions: ['fold', 'call', 'raise', 'jam']
# VPIP estimate: 13.73%
notation,action,freq
AA,raise,0.9036
AA,jam,0.0964
AKs,raise,0.017
AKs,jam,0.983
AQs,call,0.6405
AQs,raise,0.1871
AQs,jam,0.1725
AJs,call,0.1453
AJs,raise,0.13
AJs,jam,0.7247
ATs,fold,0.0121
ATs,call,0.9786
ATs,raise,0.0013
ATs,jam,0.008
A9s,fold,0.0168
A9s,call,0.9736
A9s,raise,0.0072
A9s,jam,0.0024
A8s,fold,0.5704
A8s,call,0.2692
A8s,raise,0.0083
A8s,jam,0.1521
A7s,fold,0.8493
A7s,call,0.0837
A7s,raise,0.0102
A7s,jam,0.0568
A6s,fold,0.9594
A6s,call,0.0355
A6s,raise,0.0051
A5s,fold,0.4722
A5s,call,0.464
A5s,raise,0.0002
A5s,jam,0.0637
A4s,fold,0.9452
A4s,call,0.0524
A4s,raise,0.0008
A4s,jam,0.0016
A3s,fold,0.9999
A3s,call,0.0001
A2s,fold,0.997
A2s,call,0.0003
A2s,raise,0.0019
A2s,jam,0.0008
AKo,raise,0.7171
AKo,jam,0.2829
KK,raise,0.2389
KK,jam,0.7611
KQs,fold,0.0699
KQs,call,0.6998
KQs,raise,0.0037
KQs,jam,0.2266
KJs,call,0.3612
KJs,jam,0.6387
KTs,fold,0.4679
KTs,call,0.5261
KTs,jam,0.0061
K9s,fold,0.926
K9s,call,0.0679
K9s,raise,0.0051
K9s,jam,0.001
K8s,fold,0.7772
K8s,call,0.0407
K8s,raise,0.0005
K8s,jam,0.1817
K7s,fold,0.7439
K7s,call,0.256
K7s,raise,0.0001
K6s,fold,0.9857
K6s,call,0.0005
K6s,raise,0.0003
K6s,jam,0.0136
K5s,fold,0.9852
K5s,call,0.0134
K5s,raise,0.0003
K5s,jam,0.0011
K4s,fold,0.9988
K4s,raise,0.0004
K4s,jam,0.0007
K3s,fold,0.9944
K3s,call,0.0022
K3s,raise,0.0019
K3s,jam,0.0015
K2s,fold,0.9976
K2s,call,0.0023
K2s,jam,0.0001
AQo,call,0.9133
AQo,raise,0.0154
AQo,jam,0.0714
KQo,fold,0.3398
KQo,call,0.6249
KQo,raise,0.0351
