# Generated by hrc_import.py --multi-opener-8max from hrc_8max_chipev_030bb.zip
# HRC tree: 8-handed, effective 30.0bb
# Equity model: chipev, ante: BB_ANTE_ANTE_FIRST
# App slot (deferred integration): hj vsopen vs lj open @ 30bb
# HRC node: id=730, seat=3, sequence=FFR
# Actions: ['fold', 'call', 'raise', 'jam']
# VPIP estimate: 13.10%
notation,action,freq
AA,raise,0.9847
AA,jam,0.0153
AKs,call,0.0809
AKs,raise,0.0001
AKs,jam,0.919
AQs,call,0.9193
AQs,raise,0.0706
AQs,jam,0.01
AJs,fold,0.0005
AJs,call,0.9557
AJs,raise,0.0036
AJs,jam,0.0401
ATs,fold,0.02
ATs,call,0.8178
ATs,raise,0.0182
ATs,jam,0.1441
A9s,fold,0.3107
A9s,call,0.4073
A9s,raise,0.1076
A9s,jam,0.1744
A8s,fold,0.2924
A8s,call,0.7051
A8s,raise,0.0003
A8s,jam,0.0022
A7s,fold,0.9271
A7s,call,0.0648
A7s,raise,0.0013
A7s,jam,0.0067
A6s,fold,0.9516
A6s,call,0.0395
A6s,raise,0.0009
A6s,jam,0.008
A5s,fold,0.8502
A5s,call,0.1427
A5s,raise,0.0002
A5s,jam,0.0069
A4s,fold,0.7574
A4s,call,0.0247
A4s,raise,0.0101
A4s,jam,0.2078
A3s,fold,0.9582
A3s,call,0.0414
A3s,raise,0.0004
A2s,fold,0.9687
A2s,call,0.0024
A2s,raise,0.027
A2s,jam,0.0019
AKo,call,0.0001
AKo,raise,0.3484
AKo,jam,0.6516
KK,call,0.682
KK,raise,0.1355
KK,jam,0.1825
KQs,fold,0.0004
KQs,call,0.3513
KQs,raise,0.2328
KQs,jam,0.4156
KJs,fold,0.3054
KJs,call,0.5469
KJs,raise,0.0006
KJs,jam,0.147
KTs,fold,0.3439
KTs,call,0.44
KTs,raise,0.0083
KTs,jam,0.2077
K9s,fold,0.9578
K9s,call,0.017
K9s,raise,0.0153
K9s,jam,0.01
K8s,fold,0.9339
K8s,call,0.0644
K8s,raise,0.0008
K8s,jam,0.0009
K7s,fold,0.9986
K7s,call,0.0013
K7s,jam,0.0001
K6s,fold,0.9785
K6s,call,0.0188
K6s,raise,0.0021
K6s,jam,0.0006
K5s,fold,0.998
K5s,call,0.0015
K5s,raise,0.0002
K5s,jam,0.0003
K4s,fold,0.9875
K4s,call,0.0125
K3s,fold,0.9959
K3s,call,0.0021
K3s,raise,0.0014
K3s,jam,0.0006
K2s,fold,0.9971
K2s,raise,0.0022
K2s,jam,0.0007
AQo,call,0.5083
AQo,raise,0.4835
AQo,jam,0.0082
KQo,fold,0.5266
KQo,call,0.4438
KQo,raise,0.0136
KQo,jam,0.0159
QQ,call,0.6443
QQ,raise,0.1474
QQ,jam,0.2082
QJs,fold,0.6355
QJs,call,0.3392
QJs,raise,0.0155
QJs,jam,0.0098
QTs,fold,0.9924
QTs,call,0.0026
QTs,raise,0.0007
QTs,jam,0.0042
Q9s,fold,0.9744
Q9s,call,0.0034
Q9s,raise,0.0018
Q9s,jam,0.0204
Q8s,fold,0.9991
Q8s,call,0.0003
Q8s,raise,0.0005
Q8s,jam,0.0002
Q7s,fold,0.9948
Q7s,call,0.0031
Q7s,raise,0.0005
Q7s,jam,0.0017
Q6s,fold,0.9734
Q6s,call,0.0227
Q6s,raise,0.0006
Q6s,jam,0.0034
Q5s,fold,0.9928
Q5s,raise,0.0039
Q5s,jam,0.0033
Q4s,fold,0.9994
Q4s,call,0.0003
Q4s,raise,0.0001
Q4s,jam,0.0003
Q3s,fold,0.9996
Q3s,raise,0.0003
Q3s,jam,0.0001
Q2s,fold,0.999
Q2s,call,0.001
AJo,fold,0.2985
AJo,call,0.2098
AJo,raise,0.4802
AJo,jam,0.0116
KJo,fold,0.9086
KJo,call,0.0895
KJo,raise,0.0003
KJo,jam,0.0015
QJo,fold,0.9906
QJo,call,0.0017
QJo,raise,0.0072
QJo,jam,0.0004
JJ,call,0.3902
JJ,raise,0.3295
JJ,jam,0.2803
JTs,fold,0.7146
JTs,call,0.2738
JTs,raise,0.0013
JTs,jam,0.0103
J9s,fold,0.9349
J9s,call,0.0584
J9s,raise,0.0044
J9s,jam,0.0022
J8s,fold,0.9913
J8s,call,0.0031
J8s,raise,0.0045
J8s,jam,0.0011
J7s,fold,0.9929
J7s,call,0.0019
J7s,raise,0.0023
J7s,jam,0.0029
J6s,fold,0.9982
J6s,call,0.0009
J6s,raise,0.0005
J6s,jam,0.0004
J5s,fold,0.9959
J5s,call,0.0036
J5s,raise,0.0003
J5s,jam,0.0001
J4s,fold,0.9995
J4s,call,0.0001
J4s,raise,0.0001
J4s,jam,0.0002
J3s,fold,0.9995
J3s,call,0.0002
J3s,jam,0.0003
J2s,fold,0.9984
J2s,call,0.0016
ATo,fold,0.3946
ATo,call,0.6029
ATo,raise,0.0002
ATo,jam,0.0022
KTo,fold,0.9788
KTo,call,0.0194
KTo,raise,0.0002
KTo,jam,0.0015
QTo,fold,0.9963
QTo,call,0.0029
QTo,raise,0.0002
QTo,jam,0.0005
JTo,fold,0.9997
JTo,call,0.0001
JTo,raise,0.0002
TT,call,0.227
TT,raise,0.1694
TT,jam,0.6035
T9s,fold,0.9799
T9s,call,0.0076
T9s,raise,0.0093
T9s,jam,0.0033
T8s,fold,0.9958
T8s,call,0.0003
T8s,jam,0.004
T7s,fold,0.987
T7s,call,0.012
T7s,raise,0.0004
T7s,jam,0.0007
T6s,fold,0.994
T6s,call,0.0056
T6s,raise,0.0004
T5s,fold,0.9994
T5s,call,0.0005
T5s,jam,0.0001
T4s,fold,0.9974
T4s,call,0.002
T4s,jam,0.0006
T3s,fold,0.9988
T3s,call,0.0009
T3s,raise,0.0002
T3s,jam,0.0001
T2s,fold,0.9992
T2s,call,0.0003
T2s,raise,0.0002
T2s,jam,0.0003
A9o,fold,0.9965
A9o,call,0.0031
A9o,jam,0.0004
K9o,fold,0.9944
K9o,call,0.0024
K9o,jam,0.0032
Q9o,fold,0.9998
Q9o,call,0.0001
Q9o,raise,0.0001
J9o,fold,0.9947
J9o,call,0.0042
J9o,raise,0.0011
T9o,fold,0.9991
T9o,call,0.0002
T9o,raise,0.0007
99,call,0.5205
99,raise,0.0319
99,jam,0.4476
98s,fold,0.9955
98s,call,0.0032
98s,raise,0.0009
98s,jam,0.0004
97s,fold,0.9735
97s,call,0.0263
97s,jam,0.0002
96s,fold,0.9997
96s,call,0.0002
95s,fold,0.9975
95s,call,0.0015
95s,raise,0.0011
94s,fold,0.9993
94s,call,0.0006
94s,raise,0.0001
93s,fold,0.9999
93s,raise,0.0001
92s,fold,0.9983
92s,call,0.0006
92s,raise,0.001
92s,jam,0.0001
A8o,fold,0.9941
A8o,call,0.0021
A8o,raise,0.0037
A8o,jam,0.0001
K8o,fold,0.9967
K8o,call,0.0017
K8o,raise,0.0011
K8o,jam,0.0006
Q8o,fold,0.9988
Q8o,call,0.0008
Q8o,raise,0.0003
Q8o,jam,0.0001
J8o,fold,0.9972
J8o,call,0.0021
J8o,jam,0.0006
T8o,fold,0.9995
T8o,call,0.0002
T8o,raise,0.0003
98o,fold,0.9999
98o,jam,0.0001
88,fold,0.0039
88,call,0.7649
88,raise,0.1069
88,jam,0.1243
87s,fold,0.9889
87s,call,0.0013
87s,raise,0.0077
87s,jam,0.0021
86s,fold,0.9938
86s,call,0.0051
86s,raise,0.0001
86s,jam,0.001
85s,fold,0.9994
85s,call,0.0002
85s,raise,0.0001
85s,jam,0.0003
84s,fold,0.9966
84s,call,0.0024
84s,raise,0.001
83s,fold,0.9994
83s,call,0.0003
83s,raise,0.0003
82s,fold,0.9989
82s,call,0.0006
82s,jam,0.0006
A7o,fold,0.9969
A7o,call,0.0016
A7o,jam,0.0015
K7o,fold,0.9994
K7o,call,0.0006
Q7o,fold,0.9999
Q7o,call,0.0001
Q7o,raise,0.0001
J7o,fold,1.0
T7o,fold,0.9989
T7o,call,0.001
97o,fold,1.0
87o,fold,0.9995
87o,call,0.0004
87o,raise,0.0001
77,fold,0.0041
77,call,0.4042
77,raise,0.5876
77,jam,0.0042
76s,fold,0.9954
76s,call,0.0046
75s,fold,0.9985
75s,call,0.001
75s,raise,0.0003
75s,jam,0.0002
74s,fold,0.998
74s,call,0.0013
74s,raise,0.0005
74s,jam,0.0002
73s,fold,0.9995
73s,call,0.0003
73s,jam,0.0002
72s,fold,0.9997
72s,call,0.0003
A6o,fold,0.9999
K6o,fold,0.9993
K6o,call,0.0004
K6o,raise,0.0002
K6o,jam,0.0001
Q6o,fold,0.9998
Q6o,call,0.0001
J6o,fold,1.0
T6o,fold,0.9995
T6o,call,0.0004
96o,fold,1.0
86o,fold,1.0
76o,fold,1.0
66,fold,0.356
66,call,0.5427
66,raise,0.0096
66,jam,0.0917
65s,fold,0.9737
65s,call,0.0261
65s,jam,0.0001
64s,fold,0.9999
64s,call,0.0001
63s,fold,0.9967
63s,call,0.0005
63s,raise,0.0028
62s,fold,0.9972
62s,call,0.0024
62s,raise,0.0002
62s,jam,0.0001
A5o,fold,0.9974
A5o,call,0.0025
K5o,fold,0.9988
K5o,call,0.001
K5o,raise,0.0001
K5o,jam,0.0001
Q5o,fold,0.9995
Q5o,call,0.0005
J5o,fold,0.9999
J5o,call,0.0001
T5o,fold,0.9999
T5o,jam,0.0001
95o,fold,0.9999
95o,call,0.0001
85o,fold,0.9998
85o,call,0.0001
75o,fold,1.0
65o,fold,0.9999
55,fold,0.9162
55,call,0.0671
55,raise,0.0026
55,jam,0.014
54s,fold,0.999
54s,call,0.0009
53s,fold,0.9919
53s,call,0.008
53s,raise,0.0001
52s,fold,0.9998
52s,call,0.0001
A4o,fold,0.9971
A4o,call,0.0026
A4o,jam,0.0002
K4o,fold,0.9998
K4o,call,0.0001
K4o,jam,0.0001
Q4o,fold,0.9994
Q4o,call,0.0006
J4o,fold,1.0
T4o,fold,0.9999
T4o,jam,0.0001
94o,fold,0.9999
94o,call,0.0001
84o,fold,1.0
74o,fold,1.0
64o,fold,1.0
54o,fold,1.0
44,fold,0.985
44,call,0.013
44,raise,0.0011
44,jam,0.0009
43s,fold,0.9973
43s,call,0.0002
43s,raise,0.0003
43s,jam,0.0021
42s,fold,0.9999
A3o,fold,0.9984
A3o,call,0.0001
A3o,jam,0.0015
K3o,fold,0.9999
K3o,call,0.0001
Q3o,fold,0.9999
Q3o,call,0.0001
Q3o,jam,0.0001
J3o,fold,0.9998
J3o,call,0.0002
T3o,fold,0.9999
T3o,jam,0.0001
93o,fold,1.0
83o,fold,1.0
73o,fold,1.0
63o,fold,1.0
53o,fold,1.0
43o,fold,1.0
33,fold,0.9933
33,call,0.0064
33,raise,0.0001
33,jam,0.0002
32s,fold,0.9998
