# Generated by hrc_import.py --multi-opener-8max from hrc_8max_chipev_030bb.zip
# HRC tree: 8-handed, effective 30.0bb
# Equity model: chipev, ante: BB_ANTE_ANTE_FIRST
# App slot (deferred integration): sb vsopen vs co open @ 30bb
# HRC node: id=29, seat=6, sequence=FFFFRF
# Actions: ['fold', 'call', 'jam']
# VPIP estimate: 52.10%
notation,action,freq
AA,jam,1.0
AKs,jam,1.0
AQs,call,0.0003
AQs,jam,0.9997
AJs,call,0.1377
AJs,jam,0.8623
ATs,fold,0.0005
ATs,call,0.0402
ATs,jam,0.9593
A9s,fold,0.0087
A9s,call,0.9837
A9s,jam,0.0076
A8s,fold,0.0017
A8s,call,0.9934
A8s,jam,0.0049
A7s,fold,0.0018
A7s,call,0.9981
A7s,jam,0.0001
A6s,fold,0.0343
A6s,call,0.8942
A6s,jam,0.0716
A5s,fold,0.0078
A5s,call,0.8513
A5s,jam,0.1409
A4s,fold,0.0234
A4s,call,0.2271
A4s,jam,0.7495
A3s,fold,0.0238
A3s,call,0.9651
A3s,jam,0.0112
A2s,fold,0.122
A2s,call,0.878
AKo,jam,1.0
KK,jam,1.0
KQs,fold,0.0003
KQs,call,0.1176
KQs,jam,0.8821
KJs,fold,0.0003
KJs,call,0.2306
KJs,jam,0.7691
KTs,fold,0.0032
KTs,call,0.1638
KTs,jam,0.833
K9s,fold,0.0033
K9s,call,0.1133
K9s,jam,0.8834
K8s,fold,0.0223
K8s,call,0.1828
K8s,jam,0.7949
K7s,fold,0.1366
K7s,call,0.7141
K7s,jam,0.1493
K6s,fold,0.3099
K6s,call,0.2285
K6s,jam,0.4616
K5s,fold,0.0197
K5s,call,0.8319
K5s,jam,0.1484
K4s,fold,0.6347
K4s,call,0.3394
K4s,jam,0.0259
K3s,fold,0.0799
K3s,call,0.6479
K3s,jam,0.2722
K2s,fold,0.1108
K2s,call,0.8869
K2s,jam,0.0023
AQo,jam,1.0
KQo,fold,0.0006
KQo,call,0.8893
KQo,jam,0.1101
QQ,jam,1.0
QJs,fold,0.0249
QJs,call,0.7998
QJs,jam,0.1752
QTs,fold,0.0027
QTs,call,0.2031
QTs,jam,0.7942
Q9s,fold,0.0232
Q9s,call,0.0492
Q9s,jam,0.9276
Q8s,fold,0.0012
Q8s,call,0.9985
Q8s,jam,0.0003
Q7s,fold,0.4265
Q7s,call,0.5735
Q6s,fold,0.8758
Q6s,call,0.1207
Q6s,jam,0.0035
Q5s,fold,0.3396
Q5s,call,0.5464
Q5s,jam,0.114
Q4s,fold,0.7538
Q4s,call,0.2376
Q4s,jam,0.0086
Q3s,fold,0.6919
Q3s,call,0.135
Q3s,jam,0.1731
Q2s,fold,0.4961
Q2s,call,0.4955
Q2s,jam,0.0084
AJo,call,0.9773
AJo,jam,0.0227
KJo,fold,0.0011
KJo,call,0.9952
KJo,jam,0.0037
QJo,fold,0.0437
QJo,call,0.8217
QJo,jam,0.1347
JJ,jam,1.0
JTs,fold,0.0145
JTs,call,0.5492
JTs,jam,0.4363
J9s,fold,0.0014
J9s,call,0.8812
J9s,jam,0.1174
J8s,fold,0.1966
J8s,call,0.3407
J8s,jam,0.4628
J7s,fold,0.2375
J7s,call,0.7625
J6s,fold,0.4865
J6s,call,0.4905
J6s,jam,0.023
J5s,fold,0.5207
J5s,call,0.4739
J5s,jam,0.0053
J4s,fold,0.5023
J4s,call,0.4972
J4s,jam,0.0005
J3s,fold,0.9932
J3s,call,0.0067
J2s,fold,0.2266
J2s,call,0.7734
ATo,call,0.9271
ATo,jam,0.0729
KTo,fold,0.0072
KTo,call,0.9926
KTo,jam,0.0002
QTo,fold,0.0079
QTo,call,0.9906
QTo,jam,0.0015
JTo,fold,0.0129
JTo,call,0.9871
TT,jam,1.0
T9s,fold,0.0729
T9s,call,0.914
T9s,jam,0.0131
T8s,fold,0.1258
T8s,call,0.8488
T8s,jam,0.0253
T7s,fold,0.1084
T7s,call,0.8915
T7s,jam,0.0001
T6s,fold,0.5113
T6s,call,0.46
T6s,jam,0.0287
T5s,fold,0.9967
T5s,call,0.0032
T4s,fold,0.6832
T4s,call,0.3035
T4s,jam,0.0133
T3s,fold,0.1353
T3s,call,0.8646
T3s,jam,0.0001
