# poker.academy CE-Symmetric — 30bb vs3bet | hero EP vs HJ
# Scraped 2026-06-01 via scrape_all_ranges.py
# TreeParams: poker.academy CE-Symmetric Regular @ 30bb (GTO ChipEV, 1bb ante)
notation,action,freq
55,call,1.0
66,call,0.6551
66,jam,0.3449
77,call,0.5649
77,fold,0.4351
88,call,1.0
99,call,1.0
AA,call,0.545
AA,jam,0.455
AKs,jam,1.0
AQs,call,1.0
AJs,call,1.0
ATs,call,0.8251
ATs,jam,0.1749
A9s,call,0.1199
A9s,fold,0.8801
A6s,call,0.01
A6s,fold,0.99
A5s,jam,1.0
A4s,call,0.385
A4s,jam,0.615
A3s,call,1.0
AKo,jam,1.0
KK,jam,1.0
KQs,call,0.8602
KQs,jam,0.1398
KJs,call,1.0
KTs,call,1.0
K9s,call,0.1348
K9s,fold,0.8652
AQo,call,1.0
QQ,jam,1.0
QJs,call,0.685
QJs,jam,0.315
QTs,call,1.0
JJ,jam,1.0
JTs,call,0.4351
JTs,fold,0.5649
TT,jam,1.0
T9s,call,0.8001
T9s,fold,0.1999
T8s,call,0.0549
T8s,fold,0.9451
98s,call,1.0
87s,call,1.0
76s,call,1.0
65s,call,1.0
54s,call,1.0
