# poker.academy CE-Symmetric — 35bb vs3bet | hero BTN vs BB
# Scraped 2026-06-01 via scrape_all_ranges.py
# TreeParams: poker.academy CE-Symmetric Regular @ 35bb (GTO ChipEV, 1bb ante)
notation,action,freq
33,fold,0.15
33,jam,0.85
44,call,0.55
44,jam,0.45
55,call,0.4301
55,jam,0.5699
66,call,0.9601
66,jam,0.0399
77,call,1.0
88,call,1.0
99,call,1.0
AA,call,1.0
AKs,jam,1.0
AQs,call,0.3
AQs,jam,0.7
AJs,call,1.0
ATs,call,1.0
A9s,call,1.0
A8s,call,1.0
A7s,call,1.0
A6s,call,1.0
A5s,call,0.765
A5s,jam,0.235
A4s,call,1.0
A3s,call,1.0
A2s,call,0.575
A2s,jam,0.425
AKo,jam,1.0
KK,call,1.0
KQs,jam,1.0
KJs,call,1.0
KTs,call,1.0
K9s,call,1.0
K8s,call,1.0
K7s,call,1.0
K6s,call,1.0
K5s,call,1.0
K4s,call,0.2699
K4s,fold,0.7301
AQo,jam,1.0
KQo,call,0.8801
KQo,jam,0.1199
QQ,call,1.0
QJs,call,0.2098
QJs,jam,0.7902
QTs,call,1.0
Q9s,call,1.0
Q8s,call,1.0
AJo,call,0.1299
AJo,jam,0.8701
KJo,call,1.0
QJo,call,1.0
JJ,call,0.1099
JJ,jam,0.8901
JTs,call,1.0
J9s,call,1.0
J8s,call,1.0
ATo,call,0.375
ATo,jam,0.625
KTo,call,0.83
KTo,fold,0.17
QTo,call,0.7401
QTo,fold,0.2599
TT,call,1.0
T9s,call,1.0
T8s,call,1.0
A9o,call,1.0
98s,call,1.0
A8o,call,0.6399
A8o,fold,0.3601
87s,call,0.9701
87s,fold,0.0299
A7o,call,0.295
A7o,fold,0.705
76s,call,1.0
65s,call,0.8251
65s,fold,0.1749
A5o,call,0.545
A5o,fold,0.455
54s,call,0.625
54s,fold,0.375
