# poker.academy CE-Symmetric — 35bb vs3bet | hero BTN vs SB
# Scraped 2026-06-01 via scrape_all_ranges.py
# TreeParams: poker.academy CE-Symmetric Regular @ 35bb (GTO ChipEV, 1bb ante)
notation,action,freq
33,jam,1.0
44,call,0.7501
44,jam,0.2499
55,call,0.395
55,jam,0.605
66,call,0.1299
66,jam,0.8701
77,call,0.4199
77,jam,0.5801
88,call,1.0
99,call,0.6551
99,jam,0.3449
AA,call,1.0
AKs,jam,1.0
AQs,jam,1.0
AJs,call,1.0
ATs,call,1.0
A9s,call,1.0
A8s,call,1.0
A7s,call,1.0
A6s,call,1.0
A5s,call,0.235
A5s,jam,0.765
A4s,jam,1.0
A3s,call,0.7501
A3s,jam,0.2499
A2s,call,0.765
A2s,jam,0.235
AKo,jam,1.0
KK,call,1.0
KQs,jam,1.0
KJs,call,1.0
KTs,call,1.0
K9s,call,1.0
K8s,call,1.0
K7s,call,1.0
K6s,call,1.0
K5s,call,0.1398
K5s,fold,0.8602
K4s,call,0.835
K4s,fold,0.165
AQo,jam,1.0
KQo,call,0.38
KQo,jam,0.62
QQ,call,0.1299
QQ,jam,0.8701
QJs,call,0.62
QJs,jam,0.38
QTs,call,1.0
Q9s,call,1.0
Q8s,call,1.0
Q6s,call,0.0549
Q6s,fold,0.9451
AJo,call,0.0698
AJo,jam,0.9302
KJo,call,1.0
QJo,call,1.0
JJ,jam,1.0
JTs,call,1.0
J9s,call,1.0
ATo,call,0.69
ATo,jam,0.31
KTo,call,0.4
KTo,fold,0.6
QTo,call,0.31
QTo,fold,0.69
TT,jam,1.0
T9s,call,1.0
T8s,call,1.0
A9o,call,1.0
98s,call,1.0
A8o,call,0.225
A8o,fold,0.775
87s,call,0.46
87s,fold,0.54
76s,call,1.0
65s,call,1.0
54s,call,1.0
