# poker.academy CE-Symmetric — 35bb vsopen | hero BTN vs HJ
# Scraped 2026-06-01 via scrape_all_ranges.py
# TreeParams: poker.academy CE-Symmetric Regular @ 35bb (GTO ChipEV, 1bb ante)
notation,action,freq
22,call,1.0
33,call,1.0
44,call,1.0
55,call,1.0
66,call,1.0
77,call,0.8151
77,threeBet,0.1849
88,call,0.7251
88,threeBet,0.2749
99,call,0.47
99,threeBet,0.53
AA,call,0.0449
AA,threeBet,0.9551
AKs,threeBet,1.0
AQs,threeBet,1.0
AJs,call,1.0
ATs,call,1.0
A9s,call,1.0
A8s,call,0.9001
A8s,threeBet,0.0999
A7s,call,0.705
A7s,threeBet,0.295
A6s,call,0.385
A6s,threeBet,0.615
A5s,call,0.7151
A5s,threeBet,0.2849
A4s,call,0.77
A4s,threeBet,0.23
A3s,call,0.8751
A3s,threeBet,0.1249
A2s,call,0.235
A2s,fold,0.29
A2s,threeBet,0.475
AKo,threeBet,1.0
KK,threeBet,1.0
KQs,call,1.0
KJs,call,1.0
KTs,call,1.0
K9s,call,0.6451
K9s,threeBet,0.3549
K8s,call,0.4949
K8s,threeBet,0.5051
K5s,fold,0.9352
K5s,threeBet,0.0648
AQo,call,0.8801
AQo,threeBet,0.1199
KQo,call,0.8151
KQo,threeBet,0.1849
QQ,call,0.08
QQ,threeBet,0.92
QJs,call,1.0
QTs,call,1.0
Q9s,call,0.5851
Q9s,threeBet,0.4149
Q8s,fold,0.1858
Q8s,threeBet,0.8142
AJo,call,0.48
AJo,threeBet,0.52
KJo,call,0.845
KJo,threeBet,0.155
QJo,call,0.1749
QJo,fold,0.32
QJo,threeBet,0.5051
JJ,call,0.235
JJ,threeBet,0.765
JTs,call,1.0
J9s,call,0.8151
J9s,threeBet,0.1849
ATo,call,0.5751
ATo,threeBet,0.4249
KTo,call,0.0299
KTo,fold,0.6152
KTo,threeBet,0.3549
TT,call,0.0648
TT,threeBet,0.9352
T9s,call,0.845
T9s,threeBet,0.155
T8s,call,0.705
T8s,threeBet,0.295
A9o,fold,0.375
A9o,threeBet,0.625
98s,call,0.9402
98s,threeBet,0.0598
87s,call,0.7501
87s,threeBet,0.2499
76s,call,0.675
76s,fold,0.325
65s,call,0.1398
65s,fold,0.8602
