# poker.academy CE-Symmetric — 35bb vs3bet | hero CO vs BB
# Scraped 2026-06-01 via scrape_all_ranges.py
# TreeParams: poker.academy CE-Symmetric Regular @ 35bb (GTO ChipEV, 1bb ante)
notation,action,freq
55,call,0.155
55,fold,0.845
66,call,1.0
77,call,1.0
88,call,1.0
99,call,1.0
AA,call,1.0
AKs,call,1.0
AQs,call,1.0
AJs,call,1.0
ATs,call,1.0
AKo,call,1.0
KK,call,1.0
KQs,call,1.0
KJs,call,0.695
KJs,fold,0.305
KTs,call,1.0
AQo,call,1.0
QQ,call,1.0
AJo,call,1.0
JJ,call,1.0
JTs,call,0.4099
JTs,fold,0.5901
ATo,call,0.2849
ATo,fold,0.7151
TT,call,1.0
