# poker.academy CE-Symmetric — 35bb vsopen | hero CO vs LJ
# Scraped 2026-06-01 via scrape_all_ranges.py
# TreeParams: poker.academy CE-Symmetric Regular @ 35bb (GTO ChipEV, 1bb ante)
notation,action,freq
22,call,0.1449
22,fold,0.8551
33,call,0.23
33,fold,0.77
44,call,0.48
44,fold,0.52
55,call,0.7588
55,fold,0.2412
66,call,1.0
77,call,0.78
77,threeBet,0.22
88,call,0.7
88,threeBet,0.3
99,call,0.5599
99,threeBet,0.4401
AA,call,0.095
AA,threeBet,0.905
AKs,call,0.15
AKs,threeBet,0.85
AQs,call,0.5901
AQs,threeBet,0.4099
AJs,call,1.0
ATs,call,1.0
A9s,call,0.76
A9s,threeBet,0.24
A8s,call,0.61
A8s,threeBet,0.39
A7s,call,0.5
A7s,threeBet,0.5
A6s,fold,0.5151
A6s,threeBet,0.4849
A5s,call,0.6399
A5s,threeBet,0.3601
A4s,call,0.4049
A4s,fold,0.5951
AKo,threeBet,1.0
KK,threeBet,1.0
KQs,call,1.0
KJs,call,1.0
KTs,call,1.0
K9s,call,0.0349
K9s,threeBet,0.9651
AQo,call,0.615
AQo,threeBet,0.385
KQo,call,0.525
KQo,threeBet,0.475
QQ,threeBet,1.0
QJs,call,0.9701
QJs,threeBet,0.0299
QTs,call,0.69
QTs,threeBet,0.31
Q9s,call,0.1799
Q9s,threeBet,0.8201
AJo,call,0.46
AJo,threeBet,0.54
KJo,call,0.075
KJo,fold,0.62
KJo,threeBet,0.305
JJ,call,0.09
JJ,threeBet,0.91
JTs,call,0.6349
JTs,threeBet,0.3651
J9s,call,0.1899
J9s,fold,0.7453
J9s,threeBet,0.0648
ATo,call,0.17
ATo,threeBet,0.83
TT,call,0.2699
TT,threeBet,0.7301
T9s,call,0.7
T9s,threeBet,0.3
T8s,call,0.01
T8s,fold,0.7301
T8s,threeBet,0.2599
98s,call,0.615
98s,fold,0.385
87s,call,0.0249
87s,fold,0.9751
76s,call,0.015
76s,fold,0.985
