# poker.academy CE-Symmetric — 35bb vsopen | hero SB vs HJ
# Scraped 2026-06-01 via scrape_all_ranges.py
# TreeParams: poker.academy CE-Symmetric Regular @ 35bb (GTO ChipEV, 1bb ante)
notation,action,freq
22,call,1.0
33,call,1.0
44,call,1.0
55,call,1.0
66,call,0.775
66,threeBet,0.225
77,call,0.7501
77,threeBet,0.2499
88,call,0.1849
88,jam,0.305
88,threeBet,0.5101
99,jam,0.605
99,threeBet,0.395
AA,threeBet,1.0
AKs,threeBet,1.0
AQs,threeBet,1.0
AJs,call,0.605
AJs,threeBet,0.395
ATs,call,1.0
A9s,call,1.0
A8s,call,1.0
A7s,call,0.8201
A7s,threeBet,0.1799
A6s,call,0.5901
A6s,threeBet,0.4099
A5s,call,0.7401
A5s,threeBet,0.2599
A4s,call,1.0
A3s,call,0.555
A3s,jam,0.445
A2s,call,0.6049
A2s,threeBet,0.3951
AKo,jam,0.2699
AKo,threeBet,0.7301
KK,threeBet,1.0
KQs,call,0.7001
KQs,jam,0.1399
KQs,threeBet,0.16
KJs,jam,1.0
KTs,call,0.915
KTs,jam,0.085
K9s,call,0.615
K9s,threeBet,0.385
K8s,call,0.8101
K8s,threeBet,0.1899
K7s,call,0.7251
K7s,threeBet,0.2749
K6s,call,1.0
AQo,jam,0.7351
AQo,threeBet,0.2649
KQo,call,0.55
KQo,threeBet,0.45
QQ,threeBet,1.0
QJs,call,0.315
QJs,jam,0.685
QTs,call,1.0
Q9s,call,0.9551
Q9s,threeBet,0.0449
Q8s,call,0.5951
Q8s,threeBet,0.4049
AJo,call,0.4
AJo,jam,0.075
AJo,threeBet,0.525
KJo,call,0.8701
KJo,threeBet,0.1299
QJo,call,0.5951
QJo,threeBet,0.4049
JJ,threeBet,1.0
JTs,call,0.8001
JTs,jam,0.1999
J9s,call,0.915
J9s,threeBet,0.085
J8s,call,0.45
J8s,threeBet,0.55
ATo,call,0.385
ATo,threeBet,0.615
KTo,call,0.403
KTo,fold,0.194
KTo,threeBet,0.403
QTo,call,0.175
QTo,fold,0.7101
QTo,threeBet,0.1149
TT,threeBet,1.0
T9s,call,1.0
T8s,call,0.9302
T8s,threeBet,0.0698
A9o,call,0.1398
A9o,threeBet,0.8602
98s,call,0.8851
98s,threeBet,0.1149
97s,call,0.09
97s,fold,0.91
A8o,fold,0.84
A8o,threeBet,0.16
87s,call,1.0
76s,call,1.0
65s,call,0.7451
65s,fold,0.2549
54s,call,0.91
54s,fold,0.09
