# Generated by hrc_import.py --multi-opener-8max from hrc_8max_chipev_040bb.zip
# HRC tree: 8-handed, effective 40.0bb
# Equity model: chipev, ante: BB_ANTE_ANTE_FIRST
# App slot (deferred integration): bb vsopen vs co open @ 40bb
# HRC node: id=54, seat=7, sequence=FFFFRFF
# Actions: ['fold', 'call', 'raise', 'jam']
# VPIP estimate: 99.97%
notation,action,freq
AA,raise,0.686
AA,jam,0.314
AKs,raise,0.0341
AKs,jam,0.9659
AQs,raise,0.9657
AQs,jam,0.0343
AJs,fold,0.0002
AJs,call,0.4224
AJs,raise,0.4939
AJs,jam,0.0835
ATs,fold,0.0005
ATs,call,0.9357
ATs,raise,0.0357
ATs,jam,0.0281
A9s,fold,0.0004
A9s,call,0.8754
A9s,raise,0.0024
A9s,jam,0.1218
A8s,fold,0.0001
A8s,call,0.9717
A8s,raise,0.0118
A8s,jam,0.0165
A7s,fold,0.0006
A7s,call,0.9278
A7s,raise,0.0174
A7s,jam,0.0542
A6s,call,0.9943
A6s,jam,0.0057
A5s,fold,0.0006
A5s,call,0.6067
A5s,raise,0.1028
A5s,jam,0.2899
A4s,fold,0.0009
A4s,call,0.9901
A4s,raise,0.0075
A4s,jam,0.0015
A3s,fold,0.0004
A3s,call,0.862
A3s,raise,0.0455
A3s,jam,0.0921
A2s,fold,0.0008
A2s,call,0.8947
A2s,raise,0.002
A2s,jam,0.1025
AKo,raise,0.0157
AKo,jam,0.9843
KK,raise,0.0163
KK,jam,0.9837
KQs,call,0.5632
KQs,raise,0.0017
KQs,jam,0.435
KJs,fold,0.0008
KJs,call,0.9674
KJs,raise,0.0081
KJs,jam,0.0237
KTs,fold,0.0009
KTs,call,0.987
KTs,raise,0.0003
KTs,jam,0.0118
K9s,fold,0.0002
K9s,call,0.9994
K9s,jam,0.0004
K8s,fold,0.0001
K8s,call,0.4956
K8s,raise,0.0024
K8s,jam,0.5019
K7s,fold,0.0004
K7s,call,0.6615
K7s,raise,0.0164
K7s,jam,0.3217
K6s,call,0.8201
K6s,raise,0.1765
K6s,jam,0.0033
K5s,fold,0.0004
K5s,call,0.9827
K5s,raise,0.0001
K5s,jam,0.0168
K4s,fold,0.0017
K4s,call,0.8609
K4s,raise,0.0006
K4s,jam,0.1368
K3s,fold,0.0004
K3s,call,0.831
K3s,raise,0.0167
K3s,jam,0.1518
K2s,fold,0.0006
K2s,call,0.9951
K2s,raise,0.0001
K2s,jam,0.0041
AQo,call,0.3258
AQo,raise,0.054
AQo,jam,0.6202
KQo,call,0.549
KQo,raise,0.1252
KQo,jam,0.3258
QQ,raise,0.0394
QQ,jam,0.9606
QJs,fold,0.0002
QJs,call,0.1917
QJs,jam,0.8081
QTs,fold,0.0004
QTs,call,0.9959
QTs,raise,0.0037
Q9s,fold,0.0005
Q9s,call,0.9761
Q9s,raise,0.0002
Q9s,jam,0.0232
Q8s,fold,0.0002
Q8s,call,0.9917
Q8s,jam,0.0081
Q7s,fold,0.0001
Q7s,call,0.973
Q7s,jam,0.0269
Q6s,fold,0.0015
Q6s,call,0.9978
Q6s,raise,0.0004
Q6s,jam,0.0004
Q5s,fold,0.0004
Q5s,call,0.9995
Q5s,jam,0.0001
Q4s,fold,0.0002
Q4s,call,0.9997
Q4s,jam,0.0001
Q3s,fold,0.0018
Q3s,call,0.9498
Q3s,jam,0.0484
Q2s,fold,0.0001
Q2s,call,0.9668
Q2s,jam,0.033
AJo,call,0.6365
AJo,raise,0.3605
AJo,jam,0.003
KJo,fold,0.0001
KJo,call,0.8633
