# Generated by hrc_import.py --multi-opener-8max from hrc_8max_chipev_040bb.zip
# HRC tree: 8-handed, effective 40.0bb
# Equity model: chipev, ante: BB_ANTE_ANTE_FIRST
# App slot (deferred integration): bb vsopen vs hj open @ 40bb
# HRC node: id=275, seat=7, sequence=FFFRFFF
# Actions: ['fold', 'call', 'raise', 'jam']
# VPIP estimate: 99.95%
notation,action,freq
AA,raise,0.585
AA,jam,0.415
AKs,raise,0.4209
AKs,jam,0.5791
AQs,fold,0.0003
AQs,call,0.6022
AQs,raise,0.2342
AQs,jam,0.1633
AJs,fold,0.0005
AJs,call,0.757
AJs,raise,0.0014
AJs,jam,0.241
ATs,fold,0.0005
ATs,call,0.3677
ATs,raise,0.0311
ATs,jam,0.6007
A9s,fold,0.0003
A9s,call,0.9995
A9s,jam,0.0002
A8s,fold,0.0002
A8s,call,0.9465
A8s,jam,0.0533
A7s,fold,0.0002
A7s,call,0.6174
A7s,raise,0.3533
A7s,jam,0.0291
A6s,fold,0.0022
A6s,call,0.4381
A6s,raise,0.0241
A6s,jam,0.5356
A5s,fold,0.0003
A5s,call,0.7009
A5s,jam,0.2988
A4s,fold,0.0012
A4s,call,0.9662
A4s,raise,0.0004
A4s,jam,0.0321
A3s,fold,0.0014
A3s,call,0.9664
A3s,raise,0.0005
A3s,jam,0.0317
A2s,fold,0.0002
A2s,call,0.7143
A2s,jam,0.2855
AKo,raise,0.047
AKo,jam,0.953
KK,raise,0.0211
KK,jam,0.9789
KQs,fold,0.0003
KQs,call,0.5686
KQs,raise,0.0074
KQs,jam,0.4237
KJs,fold,0.001
KJs,call,0.9965
KJs,raise,0.0003
KJs,jam,0.0022
KTs,fold,0.0003
KTs,call,0.9996
KTs,jam,0.0001
K9s,fold,0.0005
K9s,call,0.7347
K9s,raise,0.0009
K9s,jam,0.2639
K8s,fold,0.0029
K8s,call,0.9962
K8s,raise,0.0003
K8s,jam,0.0007
K7s,fold,0.0004
K7s,call,0.6873
K7s,jam,0.3123
K6s,fold,0.0007
K6s,call,0.9992
K6s,jam,0.0001
K5s,fold,0.0007
K5s,call,0.9215
K5s,jam,0.0779
K4s,fold,0.0006
K4s,call,0.9992
K4s,jam,0.0002
K3s,fold,0.0001
K3s,call,0.9999
K2s,fold,0.0005
K2s,call,0.8358
K2s,raise,0.0001
K2s,jam,0.1636
AQo,call,0.6159
AQo,raise,0.3782
AQo,jam,0.0059
KQo,fold,0.0001
KQo,call,0.9998
KQo,jam,0.0001
QQ,raise,0.0558
QQ,jam,0.9441
QJs,fold,0.0012
QJs,call,0.6619
QJs,raise,0.0002
QJs,jam,0.3367
QTs,fold,0.003
QTs,call,0.4448
QTs,raise,0.0005
QTs,jam,0.5517
Q9s,fold,0.0001
Q9s,call,0.9457
Q9s,jam,0.0542
Q8s,fold,0.0002
Q8s,call,0.3613
Q8s,raise,0.0094
Q8s,jam,0.6291
Q7s,fold,0.0013
Q7s,call,0.9223
Q7s,jam,0.0763
Q6s,fold,0.0019
Q6s,call,0.9632
Q6s,raise,0.0003
Q6s,jam,0.0345
Q5s,fold,0.0001
Q5s,call,0.9999
Q4s,fold,0.0001
Q4s,call,0.9999
Q3s,fold,0.0009
Q3s,call,0.9989
Q3s,jam,0.0001
Q2s,fold,0.0001
Q2s,call,0.9999
AJo,call,0.9974
AJo,raise,0.001
AJo,jam,0.0016
KJo,fold,0.0001
KJo,call,0.9997
KJo,raise,0.0001
QJo,fold,0.0001
QJo,call,0.9999
JJ,call,0.1576
JJ,raise,0.0742
JJ,jam,0.7681
JTs,fold,0.0004
JTs,call,0.9994
JTs,jam,0.0002
J9s,fold,0.0022
J9s,call,0.9963
J9s,jam,0.0014
J8s,fold,0.0004
J8s,call,0.9996
J7s,fold,0.0001
J7s,call,0.9999
J6s,fold,0.0001
J6s,call,0.9999
J5s,fold,0.0002
J5s,call,0.9997
J4s,fold,0.0007
J4s,call,0.9784
J4s,raise,0.0209
J3s,fold,0.0017
J3s,call,0.998
J3s,jam,0.0003
J2s,fold,0.0026
J2s,call,0.9973
J2s,jam,0.0001
ATo,fold,0.0001
ATo,call,0.9995
ATo,jam,0.0004
KTo,fold,0.0001
KTo,call,0.9999
QTo,call,1.0
JTo,fold,0.0001
JTo,call,0.9998
JTo,jam,0.0001
TT,fold,0.0003
TT,call,0.2995
TT,raise,0.4244
TT,jam,0.2758
T9s,fold,0.0034
T9s,call,0.9402
T9s,raise,0.0005
T9s,jam,0.0559
T8s,fold,0.0003
T8s,call,0.9374
T8s,jam,0.0622
T7s,fold,0.0004
T7s,call,0.9995
T7s,raise,0.0001
T6s,fold,0.0007
T6s,call,0.8298
T6s,jam,0.1695
T5s,fold,0.0002
T5s,call,0.9997
T5s,raise,0.0001
T4s,fold,0.0003
T4s,call,0.9996
T4s,raise,0.0001
T3s,fold,0.0001
T3s,call,0.8915
T3s,jam,0.1084
T2s,fold,0.0001
T2s,call,0.9998
A9o,fold,0.0001
A9o,call,0.9998
A9o,jam,0.0001
K9o,call,0.9999
K9o,raise,0.0001
Q9o,call,0.9999
J9o,fold,0.0001
J9o,call,0.9999
T9o,call,0.9999
99,fold,0.0001
99,call,0.8588
99,raise,0.0779
99,jam,0.0633
98s,fold,0.0002
98s,call,0.9998
97s,fold,0.003
97s,call,0.9646
97s,raise,0.0001
97s,jam,0.0323
96s,fold,0.0011
96s,call,0.8155
96s,jam,0.1834
95s,fold,0.004
95s,call,0.9947
95s,raise,0.0006
95s,jam,0.0007
94s,fold,0.0001
94s,call,0.9999
93s,fold,0.0008
93s,call,0.9991
93s,jam,0.0001
92s,fold,0.0029
92s,call,0.9965
92s,jam,0.0006
A8o,call,1.0
K8o,fold,0.0007
K8o,call,0.9989
K8o,jam,0.0003
Q8o,fold,0.0001
Q8o,call,0.9999
J8o,call,0.9999
T8o,call,1.0
98o,fold,0.0003
98o,call,0.9997
88,call,0.9204
88,raise,0.0254
88,jam,0.0543
87s,fold,0.0002
87s,call,0.9958
87s,jam,0.004
86s,fold,0.0002
86s,call,0.9855
86s,raise,0.0135
86s,jam,0.0008
85s,fold,0.0004
85s,call,0.9994
85s,raise,0.0001
85s,jam,0.0001
84s,fold,0.0006
84s,call,0.9994
83s,fold,0.0004
83s,call,0.8943
83s,jam,0.1053
82s,fold,0.0002
82s,call,0.9998
A7o,fold,0.0001
A7o,call,0.9706
A7o,raise,0.0001
A7o,jam,0.0292
K7o,fold,0.0003
K7o,call,0.9995
K7o,jam,0.0001
Q7o,fold,0.0001
Q7o,call,0.9999
J7o,fold,0.0001
J7o,call,0.9999
T7o,call,1.0
97o,call,1.0
87o,fold,0.0004
87o,call,0.9995
87o,jam,0.0001
77,fold,0.0005
77,call,0.9987
77,jam,0.0007
76s,fold,0.0015
76s,call,0.9983
76s,jam,0.0002
75s,fold,0.0011
75s,call,0.9988
75s,jam,0.0001
74s,fold,0.0005
74s,call,0.9995
73s,fold,0.0001
73s,call,0.9999
72s,fold,0.0004
72s,call,0.999
72s,jam,0.0006
A6o,call,0.9998
A6o,jam,0.0002
K6o,fold,0.0001
K6o,call,0.9999
Q6o,fold,0.0001
Q6o,call,0.9999
J6o,fold,0.0002
J6o,call,0.9998
T6o,fold,0.0001
T6o,call,0.9999
96o,fold,0.0001
96o,call,0.9999
86o,call,1.0
76o,call,1.0
66,fold,0.0009
66,call,0.9565
66,raise,0.0003
66,jam,0.0424
65s,fold,0.0004
65s,call,0.9849
65s,jam,0.0147
64s,call,1.0
63s,fold,0.0031
63s,call,0.9565
63s,jam,0.0404
62s,fold,0.0012
62s,call,0.9986
62s,jam,0.0002
A5o,call,0.9999
K5o,call,1.0
Q5o,call,1.0
J5o,fold,0.0001
J5o,call,0.9999
T5o,fold,0.0001
T5o,call,0.9999
95o,fold,0.0003
95o,call,0.9997
85o,fold,0.0002
85o,call,0.9998
75o,fold,0.0003
75o,call,0.9997
65o,call,1.0
55,fold,0.0008
55,call,0.9603
55,raise,0.0007
55,jam,0.0382
54s,fold,0.001
54s,call,0.9988
54s,jam,0.0001
53s,fold,0.0015
53s,call,0.9906
53s,jam,0.0079
52s,fold,0.0007
52s,call,0.991
52s,jam,0.0083
A4o,call,1.0
K4o,call,1.0
Q4o,call,1.0
J4o,call,0.9999
T4o,fold,0.0003
T4o,call,0.9997
94o,fold,0.0001
94o,call,0.9999
84o,fold,0.0001
84o,call,0.9998
74o,fold,0.0001
74o,call,0.9999
64o,call,1.0
54o,fold,0.0001
54o,call,0.9999
44,fold,0.0007
44,call,0.7922
44,raise,0.0247
44,jam,0.1824
43s,fold,0.0026
43s,call,0.9973
43s,raise,0.0001
42s,fold,0.0045
42s,call,0.9955
