# Generated by hrc_import.py --multi-opener-8max from hrc_8max_chipev_040bb.zip
# HRC tree: 8-handed, effective 40.0bb
# Equity model: chipev, ante: BB_ANTE_ANTE_FIRST
# App slot (deferred integration): bb vsopen vs sb open @ 40bb
# HRC node: id=12, seat=7, sequence=FFFFFFR
# Actions: ['fold', 'call', 'raise', 'jam']
# VPIP estimate: 99.75%
notation,action,freq
AA,raise,0.6668
AA,jam,0.3332
AKs,raise,0.012
AKs,jam,0.988
AQs,raise,0.0004
AQs,jam,0.9995
AJs,call,0.1602
AJs,raise,0.0232
AJs,jam,0.8166
ATs,call,0.1973
ATs,raise,0.3581
ATs,jam,0.4446
A9s,call,0.951
A9s,raise,0.0143
A9s,jam,0.0348
A8s,fold,0.0001
A8s,call,0.2296
A8s,raise,0.0015
A8s,jam,0.7687
A7s,fold,0.0017
A7s,call,0.6752
A7s,raise,0.0228
A7s,jam,0.3003
A6s,fold,0.0003
A6s,call,0.3773
A6s,raise,0.0205
A6s,jam,0.6019
A5s,fold,0.0006
A5s,call,0.4985
A5s,raise,0.139
A5s,jam,0.362
A4s,fold,0.0001
A4s,call,0.1909
A4s,raise,0.0049
A4s,jam,0.804
A3s,fold,0.0011
A3s,call,0.9066
A3s,raise,0.0009
A3s,jam,0.0914
A2s,fold,0.0004
A2s,call,0.4005
A2s,raise,0.0002
A2s,jam,0.5988
AKo,raise,0.0001
AKo,jam,0.9999
KK,raise,0.0686
KK,jam,0.9314
KQs,call,0.8128
KQs,raise,0.0001
KQs,jam,0.1871
KJs,fold,0.0002
KJs,call,0.9401
KJs,raise,0.0074
KJs,jam,0.0523
KTs,fold,0.0004
KTs,call,0.9982
KTs,raise,0.0013
KTs,jam,0.0001
K9s,fold,0.0004
K9s,call,0.9982
K9s,raise,0.0006
K9s,jam,0.0008
K8s,fold,0.0007
K8s,call,0.9153
K8s,raise,0.0011
K8s,jam,0.0829
K7s,fold,0.0011
K7s,call,0.4924
K7s,raise,0.0002
K7s,jam,0.5063
K6s,fold,0.0016
K6s,call,0.7366
K6s,raise,0.003
K6s,jam,0.2588
K5s,fold,0.0007
K5s,call,0.9569
K5s,jam,0.0423
K4s,fold,0.0016
K4s,call,0.9103
K4s,raise,0.0021
K4s,jam,0.0859
K3s,fold,0.0009
K3s,call,0.726
K3s,raise,0.0013
K3s,jam,0.2717
K2s,fold,0.0081
K2s,call,0.9444
K2s,raise,0.0002
K2s,jam,0.0472
AQo,raise,0.0004
AQo,jam,0.9996
KQo,fold,0.0001
KQo,call,0.9994
KQo,jam,0.0005
QQ,raise,0.002
QQ,jam,0.998
QJs,fold,0.0007
QJs,call,0.8209
QJs,raise,0.0001
QJs,jam,0.1782
QTs,fold,0.0001
QTs,call,0.9921
QTs,jam,0.0078
Q9s,fold,0.0007
Q9s,call,0.999
Q9s,jam,0.0002
Q8s,fold,0.0013
Q8s,call,0.9981
Q8s,jam,0.0006
Q7s,fold,0.0011
Q7s,call,0.8541
Q7s,jam,0.1448
Q6s,fold,0.0053
Q6s,call,0.9898
Q6s,raise,0.0003
Q6s,jam,0.0045
Q5s,fold,0.0031
Q5s,call,0.6535
Q5s,raise,0.0021
Q5s,jam,0.3413
Q4s,fold,0.0024
Q4s,call,0.9165
Q4s,raise,0.0002
Q4s,jam,0.081
Q3s,fold,0.0026
Q3s,call,0.9969
Q3s,raise,0.0004
Q3s,jam,0.0001
Q2s,fold,0.0002
Q2s,call,0.9998
Q2s,raise,0.0001
AJo,call,0.2039
AJo,raise,0.2141
AJo,jam,0.582
KJo,fold,0.0001
KJo,call,0.9677
KJo,raise,0.0001
KJo,jam,0.0322
QJo,call,0.9857
QJo,raise,0.0001
QJo,jam,0.0142
JJ,raise,0.0003
JJ,jam,0.9997
JTs,fold,0.0011
JTs,call,0.8754
JTs,raise,0.0014
JTs,jam,0.1222
J9s,fold,0.0018
J9s,call,0.0358
J9s,raise,0.0016
J9s,jam,0.9608
J8s,fold,0.0018
J8s,call,0.9796
J8s,jam,0.0186
J7s,fold,0.0032
J7s,call,0.9954
J7s,jam,0.0014
J6s,fold,0.0008
J6s,call,0.9987
J6s,jam,0.0005
J5s,fold,0.0019
J5s,call,0.998
J4s,fold,0.0018
J4s,call,0.9969
J4s,jam,0.0012
J3s,fold,0.0025
J3s,call,0.5715
J3s,raise,0.0007
J3s,jam,0.4253
J2s,fold,0.0002
J2s,call,0.428
J2s,raise,0.0001
J2s,jam,0.5716
ATo,call,0.3896
ATo,raise,0.5474
ATo,jam,0.0629
KTo,fold,0.0001
KTo,call,0.9978
KTo,raise,0.0001
KTo,jam,0.002
QTo,call,0.9996
QTo,raise,0.0003
JTo,fold,0.0001
JTo,call,0.985
JTo,raise,0.0014
JTo,jam,0.0135
TT,call,0.0027
TT,raise,0.0065
TT,jam,0.9908
T9s,fold,0.0022
T9s,call,0.6854
T9s,jam,0.3123
T8s,fold,0.0048
T8s,call,0.9936
T8s,raise,0.0003
T8s,jam,0.0014
T7s,fold,0.0029
T7s,call,0.9332
T7s,raise,0.0001
T7s,jam,0.0638
T6s,fold,0.0027
T6s,call,0.9165
T6s,raise,0.0002
T6s,jam,0.0806
T5s,fold,0.0704
T5s,call,0.8605
T5s,raise,0.0002
T5s,jam,0.0688
T4s,fold,0.0015
T4s,call,0.7469
T4s,jam,0.2516
T3s,fold,0.0006
T3s,call,0.9987
T3s,raise,0.0007
T2s,fold,0.0009
T2s,call,0.9987
T2s,jam,0.0004
A9o,call,0.8168
A9o,raise,0.0606
A9o,jam,0.1227
K9o,fold,0.0002
K9o,call,0.9997
K9o,jam,0.0001
Q9o,fold,0.0001
Q9o,call,0.9996
Q9o,raise,0.0001
Q9o,jam,0.0002
J9o,fold,0.0003
J9o,call,0.9995
