# poker.academy CE-Symmetric — 40bb vsopen | hero BB vs BTN
# Scraped 2026-06-01 via scrape_all_ranges.py
# TreeParams: poker.academy CE-Symmetric Regular @ 40bb (GTO ChipEV, 1bb ante)
notation,action,freq
22,call,0.2099
22,jam,0.7901
33,jam,1.0
44,jam,0.685
44,threeBet,0.315
55,jam,0.55
55,threeBet,0.45
66,jam,0.455
66,threeBet,0.545
77,jam,1.0
88,jam,0.9352
88,threeBet,0.0648
99,threeBet,1.0
AA,threeBet,1.0
AKs,threeBet,1.0
AQs,threeBet,1.0
AJs,threeBet,1.0
ATs,threeBet,1.0
A9s,call,1.0
A8s,call,1.0
A7s,call,1.0
A6s,call,1.0
A5s,call,1.0
A4s,call,1.0
A3s,call,1.0
A2s,call,1.0
AKo,threeBet,1.0
KK,threeBet,1.0
KQs,threeBet,1.0
KJs,call,0.835
KJs,threeBet,0.165
KTs,call,1.0
K9s,call,1.0
K8s,call,1.0
K7s,call,0.2849
K7s,jam,0.7151
K6s,call,1.0
K5s,call,1.0
K4s,call,1.0
K3s,call,1.0
K2s,call,1.0
AQo,jam,0.68
AQo,threeBet,0.32
KQo,call,0.3801
KQo,jam,0.265
KQo,threeBet,0.3549
QQ,threeBet,1.0
QJs,call,1.0
QTs,call,1.0
Q9s,call,1.0
Q8s,call,1.0
Q7s,call,1.0
Q6s,call,1.0
Q5s,call,1.0
Q4s,call,1.0
Q3s,call,1.0
Q2s,call,1.0
AJo,jam,0.7501
AJo,threeBet,0.2499
KJo,call,0.6701
KJo,threeBet,0.3299
QJo,call,0.7702
QJo,jam,0.1249
QJo,threeBet,0.1049
JJ,threeBet,1.0
JTs,call,1.0
J9s,call,1.0
J8s,call,1.0
J7s,call,1.0
J6s,call,1.0
J5s,call,1.0
J4s,call,1.0
J3s,call,1.0
J2s,call,1.0
ATo,call,0.1799
ATo,threeBet,0.8201
KTo,call,0.9501
KTo,threeBet,0.0499
QTo,call,1.0
JTo,call,1.0
TT,threeBet,1.0
T9s,call,1.0
T8s,call,1.0
T7s,call,1.0
T6s,call,1.0
T5s,call,1.0
T4s,call,1.0
T3s,call,1.0
T2s,call,1.0
A9o,call,0.535
A9o,threeBet,0.465
K9o,call,1.0
Q9o,call,0.9701
Q9o,threeBet,0.0299
J9o,call,0.8951
J9o,threeBet,0.1049
T9o,call,0.9551
T9o,threeBet,0.0449
98s,call,1.0
97s,call,1.0
96s,call,1.0
95s,call,1.0
94s,call,1.0
93s,call,1.0
92s,call,1.0
A8o,call,0.91
A8o,threeBet,0.09
K8o,call,1.0
Q8o,call,0.8001
Q8o,threeBet,0.1999
J8o,call,0.84
J8o,threeBet,0.16
T8o,call,0.85
T8o,threeBet,0.15
98o,call,0.9001
98o,threeBet,0.0999
87s,call,1.0
86s,call,1.0
85s,call,1.0
84s,call,1.0
83s,call,1.0
82s,call,1.0
A7o,call,0.705
A7o,threeBet,0.295
K7o,call,0.7
K7o,threeBet,0.3
Q7o,call,0.9451
Q7o,threeBet,0.0549
J7o,call,0.62
J7o,threeBet,0.38
T7o,call,0.8151
T7o,threeBet,0.1849
97o,call,0.855
97o,threeBet,0.145
87o,call,1.0
76s,call,1.0
75s,call,1.0
74s,call,1.0
73s,call,1.0
72s,call,1.0
A6o,call,0.8901
A6o,threeBet,0.1099
K6o,call,0.5851
K6o,threeBet,0.4149
Q6o,call,0.8051
Q6o,threeBet,0.1949
J6o,call,1.0
T6o,call,0.755
T6o,threeBet,0.245
96o,call,0.925
96o,threeBet,0.075
86o,call,0.9352
86o,threeBet,0.0648
76o,call,1.0
65s,call,1.0
64s,call,1.0
63s,call,1.0
62s,call,1.0
A5o,call,0.55
A5o,threeBet,0.45
K5o,call,0.76
K5o,threeBet,0.24
Q5o,call,0.845
Q5o,threeBet,0.155
J5o,call,0.9501
J5o,threeBet,0.0499
75o,call,1.0
65o,call,1.0
54s,call,1.0
53s,call,1.0
52s,call,1.0
A4o,call,0.8652
A4o,threeBet,0.1348
K4o,call,0.845
K4o,threeBet,0.155
Q4o,call,0.925
Q4o,threeBet,0.075
J4o,call,0.45
J4o,fold,0.55
64o,call,1.0
54o,call,1.0
43s,call,1.0
42s,call,1.0
A3o,call,0.8251
A3o,threeBet,0.1749
K3o,call,0.8051
K3o,threeBet,0.1949
Q3o,call,0.77
Q3o,threeBet,0.23
53o,call,1.0
43o,call,0.605
43o,fold,0.395
32s,call,1.0
A2o,call,0.6551
A2o,jam,0.2649
A2o,threeBet,0.08
K2o,call,1.0
Q2o,call,0.7301
Q2o,threeBet,0.2699
