# Generated by hrc_import.py --multi-opener-8max from hrc_8max_chipev_040bb.zip
# HRC tree: 8-handed, effective 40.0bb
# Equity model: chipev, ante: BB_ANTE_ANTE_FIRST
# App slot (deferred integration): btn vsopen vs utg open @ 40bb
# HRC node: id=14548, seat=5, sequence=RFFFF
# Actions: ['fold', 'call', 'raise', 'jam']
# VPIP estimate: 11.72%
notation,action,freq
AA,raise,0.4206
AA,jam,0.5794
AKs,call,0.0147
AKs,raise,0.5996
AKs,jam,0.3856
AQs,call,0.2438
AQs,raise,0.6975
AQs,jam,0.0587
AJs,call,0.9087
AJs,raise,0.0596
AJs,jam,0.0316
ATs,fold,0.6295
ATs,call,0.3642
ATs,raise,0.0016
ATs,jam,0.0047
A9s,fold,0.8768
A9s,call,0.1196
A9s,raise,0.0021
A9s,jam,0.0015
A8s,fold,0.9333
A8s,call,0.0593
A8s,raise,0.0052
A8s,jam,0.0021
A7s,fold,0.436
A7s,call,0.5614
A7s,jam,0.0025
A6s,fold,0.8025
A6s,call,0.1161
A6s,jam,0.0814
A5s,fold,0.8141
A5s,call,0.0748
A5s,raise,0.0069
A5s,jam,0.1042
A4s,fold,0.2383
A4s,call,0.7541
A4s,raise,0.0008
A4s,jam,0.0068
A3s,fold,0.5722
A3s,call,0.2851
A3s,raise,0.0518
A3s,jam,0.0909
A2s,fold,0.9858
A2s,call,0.013
A2s,raise,0.0004
A2s,jam,0.0008
AKo,raise,0.4401
AKo,jam,0.5599
KK,raise,0.6402
KK,jam,0.3598
KQs,fold,0.4034
KQs,call,0.0871
KQs,raise,0.0454
KQs,jam,0.4641
KJs,fold,0.3969
KJs,call,0.1972
KJs,raise,0.1332
KJs,jam,0.2727
KTs,fold,0.9946
KTs,call,0.0049
KTs,raise,0.0005
K9s,fold,0.9937
K9s,call,0.0017
K9s,raise,0.0043
K9s,jam,0.0002
K8s,fold,0.9801
K8s,call,0.0182
K8s,raise,0.0002
K8s,jam,0.0015
K7s,fold,0.9809
K7s,call,0.0185
K7s,raise,0.0002
K7s,jam,0.0005
K6s,fold,0.9547
K6s,call,0.0427
K6s,raise,0.0017
K6s,jam,0.0009
K5s,fold,0.9677
K5s,call,0.0262
K5s,raise,0.0001
K5s,jam,0.006
K4s,fold,0.9989
K4s,call,0.0003
K4s,raise,0.0002
K4s,jam,0.0007
K3s,fold,0.9996
K3s,call,0.0001
K3s,raise,0.0003
K2s,fold,0.9999
AQo,call,0.1912
AQo,raise,0.7708
AQo,jam,0.0379
KQo,fold,0.984
KQo,call,0.0119
KQo,jam,0.0041
QQ,call,0.4388
QQ,raise,0.247
QQ,jam,0.3142
QJs,fold,0.6485
QJs,call,0.3465
QJs,raise,0.0048
QJs,jam,0.0003
QTs,fold,0.9937
QTs,call,0.0018
QTs,raise,0.0033
QTs,jam,0.0012
Q9s,fold,0.9279
Q9s,call,0.047
Q9s,raise,0.0021
Q9s,jam,0.023
Q8s,fold,0.9944
Q8s,call,0.0054
Q8s,raise,0.0002
Q7s,fold,0.9942
Q7s,call,0.0052
Q7s,jam,0.0006
Q6s,fold,0.7149
Q6s,call,0.2837
Q6s,raise,0.0012
Q6s,jam,0.0002
Q5s,fold,0.999
Q5s,call,0.001
Q5s,jam,0.0001
Q4s,fold,0.999
Q4s,call,0.0002
Q4s,jam,0.0007
Q3s,fold,0.9986
Q3s,call,0.001
Q3s,raise,0.0003
Q2s,fold,0.9994
Q2s,call,0.0004
Q2s,jam,0.0002
AJo,fold,0.007
AJo,call,0.9911
AJo,raise,0.0009
AJo,jam,0.001
KJo,fold,0.9949
KJo,call,0.0044
KJo,raise,0.0001
KJo,jam,0.0006
QJo,fold,0.9753
QJo,call,0.0226
QJo,raise,0.0017
QJo,jam,0.0004
JJ,call,0.7825
JJ,raise,0.0374
JJ,jam,0.18
JTs,fold,0.6327
JTs,call,0.3658
JTs,raise,0.0001
JTs,jam,0.0013
J9s,fold,0.8628
J9s,call,0.1363
J9s,raise,0.0001
J9s,jam,0.0008
J8s,fold,0.9337
J8s,call,0.0658
J8s,raise,0.0001
J8s,jam,0.0004
J7s,fold,0.9998
J7s,call,0.0002
J6s,fold,0.9688
J6s,call,0.0311
J6s,raise,0.0001
J5s,fold,0.9979
J5s,call,0.0004
J5s,raise,0.0007
J5s,jam,0.001
J4s,fold,0.9947
J4s,call,0.0049
J4s,jam,0.0004
J3s,fold,0.993
J3s,call,0.0067
J3s,jam,0.0003
J2s,fold,0.9984
J2s,call,0.0016
ATo,fold,0.8257
ATo,call,0.1719
ATo,raise,0.0018
ATo,jam,0.0006
KTo,fold,0.99
KTo,call,0.0059
KTo,raise,0.0033
KTo,jam,0.0008
QTo,fold,0.999
QTo,call,0.0002
QTo,jam,0.0008
JTo,fold,0.9985
JTo,call,0.0015
TT,call,0.5055
TT,raise,0.4401
TT,jam,0.0544
