# Generated by hrc_import.py --multi-opener-8max from hrc_8max_chipev_040bb.zip
# HRC tree: 8-handed, effective 40.0bb
# Equity model: chipev, ante: BB_ANTE_ANTE_FIRST
# App slot (deferred integration): co vsopen vs utg1 open @ 40bb
# HRC node: id=4490, seat=4, sequence=FRFF
# Actions: ['fold', 'call', 'raise', 'jam']
# VPIP estimate: 12.94%
notation,action,freq
AA,raise,0.5396
AA,jam,0.4604
AKs,call,0.0005
AKs,raise,0.0409
AKs,jam,0.9586
AQs,call,0.0073
AQs,raise,0.9856
AQs,jam,0.0071
AJs,call,0.9711
AJs,raise,0.0001
AJs,jam,0.0288
ATs,fold,0.1433
ATs,call,0.8044
ATs,raise,0.0328
ATs,jam,0.0196
A9s,fold,0.8049
A9s,call,0.0037
A9s,raise,0.0303
A9s,jam,0.1612
A8s,fold,0.9316
A8s,call,0.0647
A8s,raise,0.0003
A8s,jam,0.0033
A7s,fold,0.7598
A7s,call,0.2353
A7s,raise,0.0008
A7s,jam,0.004
A6s,fold,0.3648
A6s,call,0.0915
A6s,raise,0.0157
A6s,jam,0.5281
A5s,fold,0.628
A5s,call,0.2323
A5s,raise,0.0003
A5s,jam,0.1393
A4s,fold,0.5955
A4s,call,0.4012
A4s,raise,0.0031
A4s,jam,0.0002
A3s,fold,0.5415
A3s,call,0.4546
A3s,raise,0.0007
A3s,jam,0.0032
A2s,fold,0.966
A2s,call,0.0322
A2s,raise,0.0009
A2s,jam,0.0009
AKo,raise,0.2217
AKo,jam,0.7783
KK,call,0.3235
KK,raise,0.1184
KK,jam,0.5581
KQs,fold,0.0877
KQs,call,0.6588
KQs,raise,0.1681
KQs,jam,0.0855
KJs,fold,0.906
KJs,call,0.0297
KJs,raise,0.0099
KJs,jam,0.0544
KTs,fold,0.6135
KTs,call,0.383
KTs,raise,0.0027
KTs,jam,0.0008
K9s,fold,0.9832
K9s,call,0.0152
K9s,raise,0.0012
K9s,jam,0.0004
K8s,fold,0.8033
K8s,call,0.1967
K7s,fold,0.942
K7s,call,0.0015
K7s,raise,0.0124
K7s,jam,0.0441
K6s,fold,0.9977
K6s,call,0.0005
K6s,raise,0.0008
K6s,jam,0.001
K5s,fold,0.9978
K5s,call,0.0014
K5s,raise,0.0003
K5s,jam,0.0005
K4s,fold,0.9994
K4s,call,0.0006
K3s,fold,0.994
K3s,call,0.0057
K3s,raise,0.0002
K3s,jam,0.0002
K2s,fold,0.9886
K2s,call,0.0105
K2s,raise,0.0002
K2s,jam,0.0007
AQo,call,0.9146
AQo,raise,0.0825
AQo,jam,0.0029
KQo,fold,0.9384
KQo,call,0.005
KQo,raise,0.0558
KQo,jam,0.0007
QQ,call,0.1522
QQ,raise,0.6165
QQ,jam,0.2314
QJs,fold,0.9587
QJs,call,0.0273
QJs,jam,0.014
QTs,fold,0.012
QTs,call,0.9861
QTs,jam,0.0018
Q9s,fold,0.8598
Q9s,call,0.1347
Q9s,raise,0.0002
Q9s,jam,0.0053
Q8s,fold,0.997
Q8s,call,0.0026
Q8s,raise,0.0001
Q8s,jam,0.0003
Q7s,fold,0.9963
Q7s,call,0.0032
Q7s,raise,0.0002
Q7s,jam,0.0003
Q6s,fold,0.9993
Q6s,call,0.0003
Q6s,jam,0.0004
Q5s,fold,0.9986
Q5s,call,0.0013
Q4s,fold,0.9982
Q4s,call,0.0014
Q4s,raise,0.0004
Q3s,fold,0.9991
Q3s,call,0.0007
Q3s,raise,0.0001
Q3s,jam,0.0001
Q2s,fold,0.9974
Q2s,call,0.0022
Q2s,raise,0.0004
Q2s,jam,0.0001
AJo,fold,0.0038
AJo,call,0.3627
AJo,raise,0.6305
AJo,jam,0.003
KJo,fold,0.9805
KJo,call,0.0187
KJo,raise,0.0001
KJo,jam,0.0006
QJo,fold,0.9986
QJo,call,0.0003
QJo,raise,0.0009
QJo,jam,0.0001
JJ,call,0.146
JJ,raise,0.5708
JJ,jam,0.2833
JTs,fold,0.6485
JTs,call,0.0781
JTs,raise,0.002
JTs,jam,0.2714
J9s,fold,0.995
J9s,call,0.0021
J9s,raise,0.0001
J9s,jam,0.0028
J8s,fold,0.9837
J8s,call,0.0121
J8s,raise,0.0003
J8s,jam,0.004
J7s,fold,0.9903
J7s,call,0.009
J7s,raise,0.0001
J7s,jam,0.0006
J6s,fold,0.9971
J6s,call,0.0004
J6s,raise,0.0009
J6s,jam,0.0016
J5s,fold,0.9728
J5s,call,0.0267
J5s,jam,0.0004
J4s,fold,0.999
J4s,call,0.001
J4s,jam,0.0001
J3s,fold,0.9953
J3s,call,0.0032
J3s,raise,0.0001
J3s,jam,0.0014
J2s,fold,0.9978
J2s,call,0.0011
J2s,jam,0.0011
ATo,fold,0.889
ATo,call,0.0841
ATo,raise,0.0226
ATo,jam,0.0043
KTo,fold,0.999
KTo,call,0.0006
KTo,raise,0.0002
KTo,jam,0.0002
QTo,fold,0.986
QTo,call,0.0129
QTo,raise,0.0006
QTo,jam,0.0004
JTo,fold,0.9695
JTo,call,0.0227
JTo,raise,0.0074
JTo,jam,0.0003
TT,call,0.7043
TT,raise,0.2857
TT,jam,0.0099
T9s,fold,0.9984
T9s,call,0.0015
T9s,raise,0.0001
T9s,jam,0.0001
T8s,fold,0.9799
T8s,call,0.0199
T8s,raise,0.0002
T8s,jam,0.0001
T7s,fold,0.9635
T7s,call,0.034
T7s,raise,0.0004
T7s,jam,0.0021
T6s,fold,0.9706
T6s,call,0.0258
T6s,raise,0.0012
T6s,jam,0.0023
T5s,fold,0.996
T5s,call,0.0033
T5s,raise,0.0005
T5s,jam,0.0001
T4s,fold,0.9946
T4s,call,0.0045
T4s,raise,0.0001
T4s,jam,0.0009
T3s,fold,0.9991
T3s,call,0.0001
T3s,raise,0.0007
T2s,fold,0.9968
T2s,call,0.003
T2s,jam,0.0001
A9o,fold,0.9894
A9o,call,0.0042
A9o,raise,0.0009
A9o,jam,0.0055
K9o,fold,0.9974
K9o,call,0.0025
K9o,jam,0.0001
Q9o,fold,0.9991
Q9o,call,0.0007
Q9o,jam,0.0001
J9o,fold,0.9989
J9o,call,0.0009
J9o,jam,0.0002
T9o,fold,0.9999
T9o,jam,0.0001
99,call,0.8218
99,raise,0.0578
99,jam,0.1205
98s,fold,0.9016
98s,call,0.0974
98s,raise,0.0006
98s,jam,0.0003
97s,fold,0.9413
97s,call,0.0578
97s,jam,0.0008
96s,fold,0.9923
96s,call,0.0035
96s,raise,0.004
96s,jam,0.0001
95s,fold,0.9971
95s,call,0.0027
95s,raise,0.0002
94s,fold,0.9994
94s,call,0.0005
94s,jam,0.0001
93s,fold,0.999
93s,call,0.0008
93s,raise,0.0001
93s,jam,0.0001
92s,fold,0.9994
92s,call,0.0005
92s,jam,0.0002
A8o,fold,0.9937
A8o,call,0.0015
A8o,raise,0.0007
A8o,jam,0.004
K8o,fold,0.9999
K8o,call,0.0001
Q8o,fold,1.0
J8o,fold,0.9993
J8o,call,0.0005
J8o,raise,0.0001
J8o,jam,0.0001
T8o,fold,0.9996
T8o,call,0.0004
98o,fold,0.9995
98o,call,0.0005
88,call,0.9674
88,raise,0.0109
88,jam,0.0216
87s,fold,0.9797
87s,call,0.0184
87s,raise,0.0003
87s,jam,0.0017
86s,fold,0.9953
86s,call,0.0033
86s,jam,0.0014
85s,fold,0.9986
85s,call,0.0002
85s,raise,0.0006
85s,jam,0.0005
84s,fold,0.9994
84s,call,0.0003
84s,raise,0.0003
84s,jam,0.0001
83s,fold,0.9999
83s,jam,0.0001
82s,fold,0.9976
82s,call,0.0022
82s,raise,0.0002
A7o,fold,0.9961
A7o,call,0.0039
K7o,fold,0.9999
Q7o,fold,0.9992
Q7o,call,0.0008
J7o,fold,0.9999
J7o,call,0.0001
T7o,fold,1.0
97o,fold,0.9991
97o,call,0.0008
87o,fold,0.9992
87o,call,0.0007
87o,jam,0.0001
77,fold,0.0522
77,call,0.7742
77,jam,0.1736
76s,fold,0.955
76s,call,0.0443
76s,jam,0.0007
75s,fold,0.9996
75s,call,0.0003
75s,raise,0.0001
75s,jam,0.0001
74s,fold,0.9997
74s,call,0.0001
74s,raise,0.0001
74s,jam,0.0001
73s,fold,0.9997
73s,call,0.0003
72s,fold,0.9997
72s,raise,0.0003
A6o,fold,0.9986
A6o,call,0.0007
A6o,raise,0.0006
A6o,jam,0.0001
K6o,fold,0.9999
Q6o,fold,0.9996
Q6o,call,0.0004
J6o,fold,0.9999
J6o,call,0.0001
T6o,fold,1.0
96o,fold,0.9994
96o,call,0.0004
96o,raise,0.0001
86o,fold,0.9996
86o,call,0.0002
86o,raise,0.0001
76o,fold,0.9995
76o,call,0.0003
76o,raise,0.0003
66,fold,0.4183
66,call,0.5678
66,raise,0.0079
66,jam,0.006
65s,fold,0.9962
65s,call,0.0032
65s,raise,0.0005
65s,jam,0.0001
64s,fold,1.0
63s,fold,0.9929
63s,call,0.0064
63s,raise,0.0001
63s,jam,0.0005
62s,fold,0.9999
62s,raise,0.0001
A5o,fold,0.9984
A5o,call,0.0015
A5o,jam,0.0001
K5o,fold,0.9994
K5o,call,0.0006
Q5o,fold,1.0
J5o,fold,0.9999
J5o,raise,0.0001
T5o,fold,1.0
95o,fold,0.9999
95o,raise,0.0001
85o,fold,1.0
75o,fold,1.0
65o,fold,0.9998
65o,call,0.0001
55,fold,0.8847
55,call,0.1106
55,raise,0.0022
55,jam,0.0025
54s,fold,0.995
54s,call,0.0049
54s,raise,0.0001
53s,fold,0.9999
52s,fold,0.9979
52s,call,0.0001
52s,raise,0.002
A4o,fold,0.9999
A4o,call,0.0001
K4o,fold,0.9993
K4o,call,0.0007
Q4o,fold,0.9999
Q4o,call,0.0001
J4o,fold,0.9999
J4o,raise,0.0001
T4o,fold,1.0
94o,fold,1.0
84o,fold,0.9999
84o,call,0.0001
74o,fold,1.0
64o,fold,0.9999
54o,fold,1.0
44,fold,0.9943
44,call,0.0036
44,raise,0.0002
44,jam,0.0019
43s,fold,0.9966
43s,call,0.0027
43s,raise,0.0005
43s,jam,0.0002
42s,fold,0.9993
42s,call,0.0007
A3o,fold,0.9978
A3o,call,0.0014
A3o,raise,0.0001
A3o,jam,0.0007
K3o,fold,0.9999
K3o,call,0.0001
Q3o,fold,1.0
J3o,fold,1.0
T3o,fold,1.0
93o,fold,0.9999
83o,fold,1.0
73o,fold,1.0
63o,fold,1.0
53o,fold,0.9998
53o,call,0.0001
53o,raise,0.0001
53o,jam,0.0001
43o,fold,1.0
33,fold,0.9856
33,call,0.0105
33,raise,0.0001
33,jam,0.0039
32s,fold,0.9968
32s,call,0.0031
A2o,fold,0.9999
K2o,fold,0.9997
K2o,call,0.0003
Q2o,fold,0.9997
Q2o,call,0.0001
Q2o,jam,0.0002
J2o,fold,1.0
T2o,fold,1.0
92o,fold,1.0
82o,fold,0.9999
82o,call,0.0001
72o,fold,1.0
62o,fold,1.0
52o,fold,1.0
42o,fold,1.0
32o,fold,1.0
22,fold,0.9915
22,call,0.0068
22,raise,0.0001
22,jam,0.0016
