# Generated by hrc_import.py --multi-opener-8max from hrc_8max_chipev_040bb.zip
# HRC tree: 8-handed, effective 40.0bb
# Equity model: chipev, ante: BB_ANTE_ANTE_FIRST
# App slot (deferred integration): hj vsopen vs utg open @ 40bb
# HRC node: id=14546, seat=3, sequence=RFF
# Actions: ['fold', 'call', 'raise', 'jam']
# VPIP estimate: 11.93%
notation,action,freq
AA,raise,0.992
AA,jam,0.008
AKs,raise,0.0045
AKs,jam,0.9955
AQs,fold,0.0001
AQs,call,0.8268
AQs,raise,0.0966
AQs,jam,0.0765
AJs,call,0.9164
AJs,raise,0.0233
AJs,jam,0.0603
ATs,fold,0.2518
ATs,call,0.4699
ATs,raise,0.0899
ATs,jam,0.1885
A9s,fold,0.7663
A9s,call,0.1518
A9s,raise,0.0053
A9s,jam,0.0766
A8s,fold,0.9057
A8s,call,0.0727
A8s,raise,0.0038
A8s,jam,0.0178
A7s,fold,0.8645
A7s,call,0.0465
A7s,raise,0.0141
A7s,jam,0.0749
A6s,fold,0.9802
A6s,call,0.0104
A6s,raise,0.0049
A6s,jam,0.0045
A5s,fold,0.9251
A5s,call,0.0741
A5s,jam,0.0008
A4s,fold,0.9934
A4s,call,0.0008
A4s,raise,0.0005
A4s,jam,0.0053
A3s,fold,0.9968
A3s,call,0.0022
A3s,raise,0.0008
A3s,jam,0.0001
A2s,fold,0.996
A2s,call,0.0025
A2s,raise,0.0009
A2s,jam,0.0006
AKo,call,0.519
AKo,raise,0.2289
AKo,jam,0.2521
KK,call,0.1187
KK,raise,0.404
KK,jam,0.4773
KQs,fold,0.1039
KQs,call,0.2321
KQs,raise,0.245
KQs,jam,0.4189
KJs,fold,0.6643
KJs,call,0.0762
KJs,raise,0.2531
KJs,jam,0.0063
KTs,fold,0.8664
KTs,call,0.037
KTs,raise,0.0526
KTs,jam,0.0441
K9s,fold,0.9217
K9s,call,0.019
K9s,raise,0.0469
K9s,jam,0.0123
K8s,fold,0.9954
K8s,call,0.004
K8s,raise,0.0001
K8s,jam,0.0005
K7s,fold,0.8503
K7s,call,0.1355
K7s,raise,0.0064
K7s,jam,0.0078
K6s,fold,0.9266
K6s,call,0.0713
K6s,raise,0.0019
K6s,jam,0.0002
K5s,fold,0.9617
K5s,call,0.0362
K5s,raise,0.0014
K5s,jam,0.0007
K4s,fold,0.9954
K4s,call,0.0017
K4s,raise,0.0012
K4s,jam,0.0017
K3s,fold,0.9755
K3s,call,0.0222
K3s,raise,0.002
K3s,jam,0.0003
K2s,fold,0.9714
K2s,call,0.0262
K2s,raise,0.0001
K2s,jam,0.0022
AQo,call,0.7187
AQo,raise,0.2675
AQo,jam,0.0139
KQo,fold,0.7564
KQo,call,0.2366
KQo,raise,0.0009
KQo,jam,0.0061
QQ,call,0.3949
QQ,raise,0.4142
QQ,jam,0.1909
QJs,fold,0.8327
QJs,call,0.1135
QJs,raise,0.0526
QJs,jam,0.0011
