# poker.academy CE-Symmetric — 40bb vsopen | hero HJ vs MP
# Scraped 2026-06-01 via scrape_all_ranges.py
# TreeParams: poker.academy CE-Symmetric Regular @ 40bb (GTO ChipEV, 1bb ante)
notation,action,freq
22,call,0.05
22,fold,0.95
33,call,0.075
33,fold,0.925
44,call,0.245
44,fold,0.755
55,call,0.3349
55,fold,0.6651
66,call,0.6701
66,fold,0.3299
77,call,0.7251
77,threeBet,0.2749
88,call,0.6349
88,threeBet,0.3651
99,call,0.6349
99,threeBet,0.3651
AA,threeBet,1.0
AKs,threeBet,1.0
AQs,call,1.0
AJs,call,1.0
ATs,call,1.0
A9s,call,0.45
A9s,threeBet,0.55
A8s,call,0.325
A8s,threeBet,0.675
A6s,fold,0.535
A6s,threeBet,0.465
A5s,call,0.63
A5s,threeBet,0.37
A4s,call,0.0399
A4s,fold,0.9601
AKo,call,0.17
AKo,threeBet,0.83
KK,threeBet,1.0
KQs,call,1.0
KJs,call,0.5901
KJs,threeBet,0.4099
KTs,call,0.375
KTs,threeBet,0.625
K9s,fold,0.1608
K9s,threeBet,0.8392
AQo,call,0.3349
AQo,threeBet,0.6651
KQo,call,0.2749
KQo,fold,0.265
KQo,threeBet,0.4601
QQ,call,0.1099
QQ,threeBet,0.8901
QJs,call,0.525
QJs,threeBet,0.475
QTs,call,0.8101
QTs,threeBet,0.1899
AJo,call,0.1949
AJo,fold,0.1149
AJo,threeBet,0.6902
JJ,call,0.1299
JJ,threeBet,0.8701
JTs,call,0.45
JTs,threeBet,0.55
ATo,fold,0.675
ATo,threeBet,0.325
TT,call,0.4401
TT,threeBet,0.5599
T9s,call,0.5751
T9s,threeBet,0.4249
98s,call,0.0249
98s,fold,0.9751
76s,call,0.0999
76s,fold,0.9001
54s,call,0.0199
54s,fold,0.9801
