# poker.academy CE-Symmetric — 40bb vs3bet | hero LJ vs BB
# Scraped 2026-06-01 via scrape_all_ranges.py
# TreeParams: poker.academy CE-Symmetric Regular @ 40bb (GTO ChipEV, 1bb ante)
notation,action,freq
55,call,0.23
55,fold,0.77
66,call,0.8751
66,fold,0.1249
77,call,1.0
88,call,1.0
99,call,1.0
AA,call,1.0
AKs,jam,1.0
AQs,call,1.0
AJs,call,1.0
ATs,call,1.0
A9s,call,1.0
A8s,call,1.0
A7s,call,0.145
A7s,fold,0.855
A5s,call,1.0
A4s,call,0.8701
A4s,fold,0.1299
AKo,jam,1.0
KK,call,0.775
KK,jam,0.225
KQs,call,0.245
KQs,jam,0.755
KJs,call,1.0
KTs,call,1.0
K9s,call,1.0
AQo,call,0.8701
AQo,jam,0.1299
KQo,call,0.9001
KQo,fold,0.0999
QQ,call,0.1849
QQ,jam,0.8151
QJs,call,0.22
QJs,jam,0.78
QTs,call,1.0
AJo,call,0.7401
AJo,fold,0.2599
KJo,call,0.375
KJo,fold,0.625
JJ,call,0.31
JJ,jam,0.69
JTs,call,1.0
ATo,call,0.095
ATo,fold,0.905
TT,call,1.0
T9s,call,0.4249
T9s,fold,0.5751
76s,call,0.3651
76s,fold,0.6349
65s,call,0.2556
65s,fold,0.7444
