# Generated by hrc_import.py --multi-opener-8max from hrc_8max_chipev_040bb.zip
# HRC tree: 8-handed, effective 40.0bb
# Equity model: chipev, ante: BB_ANTE_ANTE_FIRST
# App slot (deferred integration): lj vsopen vs utg1 open @ 40bb
# HRC node: id=4488, seat=2, sequence=FR
# Actions: ['fold', 'call', 'raise', 'jam']
# VPIP estimate: 13.80%
notation,action,freq
AA,call,0.003
AA,raise,0.5382
AA,jam,0.4588
AKs,call,0.0216
AKs,jam,0.9784
AQs,fold,0.0001
AQs,call,0.1512
AQs,raise,0.8251
AQs,jam,0.0235
AJs,call,0.0262
AJs,raise,0.1923
AJs,jam,0.7815
ATs,fold,0.0004
ATs,call,0.5347
ATs,raise,0.1964
ATs,jam,0.2685
A9s,fold,0.0003
A9s,call,0.9806
A9s,raise,0.0012
A9s,jam,0.0179
A8s,fold,0.2805
A8s,call,0.6617
A8s,raise,0.0266
A8s,jam,0.0312
A7s,fold,0.7951
A7s,call,0.2041
A7s,raise,0.0001
A7s,jam,0.0007
A6s,fold,0.9437
A6s,call,0.0105
A6s,raise,0.0367
A6s,jam,0.0091
A5s,fold,0.4211
A5s,call,0.5671
A5s,raise,0.0091
A5s,jam,0.0026
A4s,fold,0.9547
A4s,call,0.0083
A4s,raise,0.0265
A4s,jam,0.0105
A3s,fold,0.996
A3s,call,0.0006
A3s,raise,0.0026
A3s,jam,0.0008
A2s,fold,0.9648
A2s,call,0.0171
A2s,raise,0.0181
A2s,jam,0.0001
AKo,call,0.4021
AKo,raise,0.2895
AKo,jam,0.3084
KK,call,0.1292
KK,raise,0.3339
KK,jam,0.5369
KQs,call,0.9638
KQs,raise,0.0152
KQs,jam,0.021
KJs,fold,0.2611
KJs,call,0.6428
KJs,raise,0.0959
KJs,jam,0.0002
KTs,fold,0.0022
KTs,call,0.9579
KTs,raise,0.0133
KTs,jam,0.0266
K9s,fold,0.9629
K9s,call,0.033
K9s,raise,0.0035
K9s,jam,0.0006
K8s,fold,0.9025
K8s,call,0.0473
K8s,raise,0.0479
K8s,jam,0.0023
K7s,fold,0.9447
K7s,call,0.0522
K7s,raise,0.0003
K7s,jam,0.0028
K6s,fold,0.98
K6s,call,0.0125
K6s,raise,0.0001
K6s,jam,0.0074
K5s,fold,0.9768
K5s,call,0.0149
K5s,raise,0.0043
K5s,jam,0.004
K4s,fold,0.9959
K4s,call,0.0024
K4s,raise,0.0004
K4s,jam,0.0012
K3s,fold,0.9995
K3s,call,0.0001
K3s,raise,0.0004
K2s,fold,0.999
K2s,call,0.0005
K2s,raise,0.0003
K2s,jam,0.0002
AQo,call,0.9081
AQo,raise,0.0763
AQo,jam,0.0156
KQo,fold,0.5868
KQo,call,0.3041
KQo,raise,0.109
KQo,jam,0.0001
QQ,call,0.9449
QQ,raise,0.0262
QQ,jam,0.0289
QJs,fold,0.0651
QJs,call,0.3697
QJs,raise,0.0339
QJs,jam,0.5313
QTs,fold,0.9337
QTs,call,0.0581
QTs,raise,0.0073
QTs,jam,0.0009
Q9s,fold,0.9732
Q9s,call,0.0154
Q9s,raise,0.0103
Q9s,jam,0.0011
Q8s,fold,0.8282
Q8s,call,0.1684
Q8s,raise,0.0013
Q8s,jam,0.0021
Q7s,fold,0.9819
Q7s,call,0.0009
Q7s,raise,0.0156
Q7s,jam,0.0016
Q6s,fold,0.9945
Q6s,call,0.003
Q6s,raise,0.0025
Q6s,jam,0.0001
Q5s,fold,0.9987
Q5s,call,0.0011
Q5s,raise,0.0003
Q4s,fold,0.9988
Q4s,call,0.0008
Q4s,raise,0.0003
Q4s,jam,0.0001
Q3s,fold,0.9941
Q3s,call,0.0005
Q3s,raise,0.0023
Q3s,jam,0.0031
Q2s,fold,0.9999
Q2s,jam,0.0001
AJo,fold,0.1944
AJo,call,0.5413
AJo,raise,0.2639
AJo,jam,0.0004
KJo,fold,0.8895
KJo,call,0.1061
KJo,raise,0.0022
KJo,jam,0.0022
QJo,fold,0.9137
QJo,call,0.0858
QJo,raise,0.0001
QJo,jam,0.0004
JJ,call,0.5393
JJ,raise,0.2889
JJ,jam,0.1718
JTs,fold,0.9677
JTs,call,0.0117
JTs,raise,0.0161
JTs,jam,0.0045
J9s,fold,0.9969
J9s,call,0.0024
J9s,raise,0.0005
J9s,jam,0.0003
J8s,fold,0.9736
J8s,call,0.0151
J8s,raise,0.0079
J8s,jam,0.0034
J7s,fold,0.9976
J7s,call,0.0009
J7s,raise,0.0008
J7s,jam,0.0007
J6s,fold,0.9889
J6s,call,0.0103
J6s,raise,0.0006
J6s,jam,0.0001
J5s,fold,0.9984
J5s,call,0.0014
J5s,jam,0.0001
J4s,fold,0.9924
J4s,call,0.0058
J4s,raise,0.0017
J4s,jam,0.0001
J3s,fold,0.9969
J3s,call,0.0009
J3s,raise,0.002
