# Generated by hrc_import.py --multi-opener-8max from hrc_8max_chipev_040bb.zip
# HRC tree: 8-handed, effective 40.0bb
# Equity model: chipev, ante: BB_ANTE_ANTE_FIRST
# App slot (deferred integration): sb vsopen vs co open @ 40bb
# HRC node: id=53, seat=6, sequence=FFFFRF
# Actions: ['fold', 'call', 'raise', 'jam']
# VPIP estimate: 42.19%
notation,action,freq
AA,raise,0.8091
AA,jam,0.1909
AKs,fold,0.0001
AKs,call,0.0001
AKs,jam,0.9998
AQs,call,0.0011
AQs,raise,0.4195
AQs,jam,0.5794
AJs,call,0.5041
AJs,raise,0.4894
AJs,jam,0.0065
ATs,fold,0.0005
ATs,call,0.6996
ATs,raise,0.1826
ATs,jam,0.1173
A9s,fold,0.0002
A9s,call,0.3382
A9s,raise,0.4501
A9s,jam,0.2114
A8s,fold,0.006
A8s,call,0.989
A8s,raise,0.0017
A8s,jam,0.0033
A7s,fold,0.0527
A7s,call,0.8994
A7s,raise,0.0277
A7s,jam,0.0203
A6s,fold,0.1302
A6s,call,0.6143
A6s,raise,0.2283
A6s,jam,0.0272
A5s,fold,0.2519
A5s,call,0.335
A5s,raise,0.1234
A5s,jam,0.2897
A4s,fold,0.2147
A4s,call,0.2591
A4s,raise,0.1097
A4s,jam,0.4165
A3s,fold,0.1318
A3s,call,0.7298
A3s,raise,0.0026
A3s,jam,0.1358
A2s,fold,0.1785
A2s,call,0.8149
A2s,raise,0.0001
A2s,jam,0.0065
AKo,raise,0.0634
AKo,jam,0.9366
KK,raise,0.5899
KK,jam,0.4101
KQs,fold,0.0168
KQs,call,0.5714
KQs,raise,0.0575
KQs,jam,0.3542
KJs,fold,0.0137
KJs,call,0.4524
KJs,raise,0.3158
KJs,jam,0.218
KTs,fold,0.0021
KTs,call,0.5715
KTs,raise,0.0084
KTs,jam,0.418
K9s,fold,0.1426
K9s,call,0.4662
K9s,jam,0.3912
K8s,fold,0.078
K8s,call,0.9115
K8s,raise,0.0083
K8s,jam,0.0022
K7s,fold,0.1169
K7s,call,0.8831
K6s,fold,0.3953
K6s,call,0.412
K6s,jam,0.1927
K5s,fold,0.9794
K5s,call,0.0206
K4s,fold,0.384
K4s,call,0.3123
K4s,raise,0.0005
K4s,jam,0.3032
K3s,fold,0.2856
K3s,call,0.674
K3s,raise,0.0003
K3s,jam,0.04
K2s,fold,0.3638
K2s,call,0.6359
K2s,jam,0.0002
AQo,call,0.0107
AQo,raise,0.3862
AQo,jam,0.6032
KQo,fold,0.0062
KQo,call,0.9854
KQo,raise,0.0075
KQo,jam,0.0009
QQ,raise,0.306
QQ,jam,0.694
QJs,fold,0.0026
QJs,call,0.3157
QJs,jam,0.6816
QTs,fold,0.1508
QTs,call,0.7773
QTs,raise,0.0327
QTs,jam,0.0392
Q9s,fold,0.1842
Q9s,call,0.5867
Q9s,raise,0.0001
Q9s,jam,0.229
Q8s,fold,0.1889
Q8s,call,0.8092
Q8s,raise,0.0002
Q8s,jam,0.0017
Q7s,fold,0.041
Q7s,call,0.9579
Q7s,raise,0.0002
Q7s,jam,0.001
Q6s,fold,0.2152
Q6s,call,0.7846
