# Generated by hrc_import.py --multi-opener-8max from hrc_8max_chipev_040bb.zip
# HRC tree: 8-handed, effective 40.0bb
# Equity model: chipev, ante: BB_ANTE_ANTE_FIRST
# App slot (deferred integration): sb vsopen vs hj open @ 40bb
# HRC node: id=274, seat=6, sequence=FFFRFF
# Actions: ['fold', 'call', 'raise', 'jam']
# VPIP estimate: 44.35%
notation,action,freq
AA,raise,0.9823
AA,jam,0.0177
AKs,call,0.0002
AKs,raise,0.0669
AKs,jam,0.9329
AQs,fold,0.0007
AQs,call,0.0357
AQs,raise,0.5159
AQs,jam,0.4477
AJs,fold,0.0023
AJs,call,0.3698
AJs,raise,0.6079
AJs,jam,0.02
ATs,call,0.9806
ATs,raise,0.0157
ATs,jam,0.0037
A9s,fold,0.046
A9s,call,0.7973
A9s,raise,0.0023
A9s,jam,0.1544
A8s,fold,0.0112
A8s,call,0.2904
A8s,raise,0.0052
A8s,jam,0.6932
A7s,fold,0.0887
A7s,call,0.64
A7s,raise,0.0982
A7s,jam,0.1731
A6s,fold,0.0065
A6s,call,0.9911
A6s,raise,0.0006
A6s,jam,0.0018
A5s,fold,0.0023
A5s,call,0.3124
A5s,raise,0.027
A5s,jam,0.6583
A4s,fold,0.0854
A4s,call,0.8075
A4s,raise,0.0012
A4s,jam,0.1058
A3s,fold,0.0578
A3s,call,0.9421
A3s,jam,0.0001
A2s,fold,0.035
A2s,call,0.2286
A2s,raise,0.0307
A2s,jam,0.7057
AKo,raise,0.0489
AKo,jam,0.9511
KK,raise,0.187
KK,jam,0.813
KQs,fold,0.0005
KQs,call,0.3916
KQs,raise,0.604
KQs,jam,0.0039
KJs,fold,0.0059
KJs,call,0.6219
KJs,raise,0.1646
KJs,jam,0.2076
KTs,fold,0.0188
KTs,call,0.9735
KTs,jam,0.0076
K9s,fold,0.3502
K9s,call,0.6455
K9s,raise,0.0001
K9s,jam,0.0042
K8s,fold,0.2754
K8s,call,0.7102
K8s,raise,0.0064
K8s,jam,0.0079
K7s,fold,0.0958
K7s,call,0.8822
K7s,raise,0.0025
K7s,jam,0.0194
K6s,fold,0.1845
K6s,call,0.8155
K5s,fold,0.628
K5s,call,0.372
K4s,fold,0.2561
K4s,call,0.5898
K4s,jam,0.1541
K3s,fold,0.2646
K3s,call,0.7253
K3s,raise,0.0003
K3s,jam,0.0097
K2s,fold,0.5951
K2s,call,0.3605
K2s,raise,0.0001
K2s,jam,0.0443
AQo,call,0.0214
AQo,raise,0.819
AQo,jam,0.1595
KQo,fold,0.0052
KQo,call,0.9886
KQo,raise,0.0058
KQo,jam,0.0004
QQ,raise,0.2349
QQ,jam,0.765
QJs,fold,0.0064
QJs,call,0.2386
QJs,raise,0.0017
QJs,jam,0.7532
QTs,fold,0.0064
QTs,call,0.9936
Q9s,fold,0.0086
Q9s,call,0.9914
