# Generated by hrc_import.py --multi-opener-8max from hrc_8max_chipev_040bb.zip
# HRC tree: 8-handed, effective 40.0bb
# Equity model: chipev, ante: BB_ANTE_ANTE_FIRST
# App slot (deferred integration): sb vsopen vs lj open @ 40bb
# HRC node: id=1211, seat=6, sequence=FFRFFF
# Actions: ['fold', 'call', 'raise', 'jam']
# VPIP estimate: 44.31%
notation,action,freq
AA,raise,0.877
AA,jam,0.123
AKs,raise,0.3709
AKs,jam,0.6291
AQs,fold,0.0008
AQs,call,0.0812
AQs,raise,0.8321
AQs,jam,0.0859
AJs,call,0.3147
AJs,raise,0.4663
AJs,jam,0.219
ATs,fold,0.0019
ATs,call,0.7572
ATs,raise,0.2402
ATs,jam,0.0007
A9s,fold,0.0851
A9s,call,0.4176
A9s,raise,0.0294
A9s,jam,0.4678
A8s,fold,0.1305
A8s,call,0.7837
A8s,raise,0.0107
A8s,jam,0.0751
A7s,fold,0.113
A7s,call,0.8868
A7s,raise,0.0001
A7s,jam,0.0001
A6s,fold,0.0192
A6s,call,0.8383
A6s,raise,0.0002
A6s,jam,0.1423
A5s,fold,0.0281
A5s,call,0.2099
A5s,raise,0.0122
A5s,jam,0.7498
A4s,fold,0.0532
A4s,call,0.5312
A4s,raise,0.0015
A4s,jam,0.4141
A3s,fold,0.0674
A3s,call,0.4375
A3s,raise,0.0001
A3s,jam,0.495
A2s,fold,0.1772
A2s,call,0.6227
A2s,raise,0.026
A2s,jam,0.1741
AKo,call,0.0001
AKo,raise,0.1478
AKo,jam,0.8521
KK,raise,0.0339
KK,jam,0.966
KQs,fold,0.0073
KQs,call,0.7922
KQs,raise,0.1981
KQs,jam,0.0025
KJs,fold,0.044
KJs,call,0.7876
KJs,raise,0.0099
KJs,jam,0.1586
KTs,fold,0.0213
KTs,call,0.978
KTs,raise,0.0005
KTs,jam,0.0002
K9s,fold,0.0534
K9s,call,0.9465
K9s,raise,0.0001
K8s,fold,0.1215
K8s,call,0.875
K8s,raise,0.0025
K8s,jam,0.001
K7s,fold,0.032
K7s,call,0.9679
K7s,raise,0.0001
K6s,fold,0.3389
K6s,call,0.6611
K5s,fold,0.103
K5s,call,0.8962
K5s,jam,0.0008
K4s,fold,0.7103
K4s,call,0.2705
K4s,raise,0.0001
K4s,jam,0.0192
K3s,fold,0.3351
K3s,call,0.6639
K3s,raise,0.0001
K3s,jam,0.0008
K2s,fold,0.1538
K2s,call,0.8431
K2s,raise,0.0009
K2s,jam,0.0022
AQo,call,0.3368
AQo,raise,0.6588
AQo,jam,0.0043
KQo,fold,0.0013
KQo,call,0.9174
KQo,raise,0.003
KQo,jam,0.0783
QQ,raise,0.0844
QQ,jam,0.9156
QJs,fold,0.0251
QJs,call,0.4151
QJs,raise,0.0026
QJs,jam,0.5572
QTs,fold,0.0436
QTs,call,0.9539
QTs,raise,0.0001
QTs,jam,0.0024
Q9s,fold,0.0872
Q9s,call,0.9091
Q9s,raise,0.0008
Q9s,jam,0.0029
Q8s,fold,0.6468
Q8s,call,0.3514
Q8s,raise,0.0018
Q8s,jam,0.0001
Q7s,fold,0.343
Q7s,call,0.657
Q6s,fold,0.3897
Q6s,call,0.6102
Q6s,jam,0.0001
Q5s,fold,0.7076
Q5s,call,0.2924
Q4s,fold,0.9817
Q4s,call,0.0179
Q4s,jam,0.0004
Q3s,fold,0.6713
Q3s,call,0.3256
Q3s,jam,0.0031
Q2s,fold,0.7876
Q2s,call,0.2123
Q2s,jam,0.0001
AJo,fold,0.0059
AJo,call,0.9833
AJo,raise,0.0082
AJo,jam,0.0025
KJo,fold,0.0749
KJo,call,0.9249
KJo,raise,0.0001
KJo,jam,0.0002
QJo,fold,0.0015
QJo,call,0.9985
JJ,raise,0.3258
JJ,jam,0.6742
JTs,fold,0.192
JTs,call,0.8077
JTs,raise,0.0003
J9s,fold,0.2215
J9s,call,0.7721
J9s,jam,0.0064
J8s,fold,0.1873
J8s,call,0.8126
J8s,jam,0.0001
J7s,fold,0.3455
J7s,call,0.6544
J7s,raise,0.0001
J6s,fold,0.8048
J6s,call,0.1948
J6s,raise,0.0003
J5s,fold,0.9989
J5s,call,0.0011
J4s,fold,0.4313
J4s,call,0.5678
J4s,raise,0.0008
J3s,fold,0.7761
J3s,call,0.2238
J3s,raise,0.0001
J2s,fold,0.878
J2s,call,0.1211
J2s,jam,0.0008
ATo,fold,0.0011
ATo,call,0.9986
ATo,raise,0.0003
ATo,jam,0.0001
KTo,fold,0.0271
KTo,call,0.9729
QTo,fold,0.0303
QTo,call,0.9687
QTo,raise,0.0001
QTo,jam,0.0009
JTo,fold,0.0005
JTo,call,0.9995
TT,fold,0.0001
TT,call,0.1837
TT,raise,0.6625
TT,jam,0.1537
T9s,fold,0.0405
T9s,call,0.9584
T9s,jam,0.001
T8s,fold,0.3848
T8s,call,0.6145
T8s,jam,0.0007
T7s,fold,0.1702
T7s,call,0.8294
T7s,jam,0.0004
T6s,fold,0.6182
T6s,call,0.3817
T5s,fold,0.1382
T5s,call,0.8614
T5s,jam,0.0003
T4s,fold,0.4968
T4s,call,0.5032
T3s,fold,0.9997
T3s,call,0.0002
T2s,fold,0.7712
T2s,call,0.2286
T2s,jam,0.0001
A9o,fold,0.0596
A9o,call,0.9396
A9o,raise,0.0007
A9o,jam,0.0001
K9o,fold,0.2055
K9o,call,0.7945
Q9o,fold,0.9747
Q9o,call,0.0252
J9o,fold,0.1541
J9o,call,0.8459
T9o,fold,0.3248
T9o,call,0.6752
99,fold,0.0006
99,call,0.4935
99,raise,0.3961
99,jam,0.1099
98s,fold,0.7106
98s,call,0.2894
97s,fold,0.6587
97s,call,0.3355
97s,raise,0.0036
97s,jam,0.0021
96s,fold,0.0342
96s,call,0.9658
95s,fold,0.9371
95s,call,0.0629
94s,fold,0.9785
94s,call,0.0214
93s,fold,0.9979
93s,call,0.002
93s,raise,0.0001
92s,fold,0.9777
92s,call,0.0221
92s,raise,0.0001
A8o,fold,0.1959
A8o,call,0.8033
A8o,jam,0.0007
K8o,fold,0.9535
K8o,call,0.0465
Q8o,fold,0.6746
Q8o,call,0.3254
J8o,fold,0.1774
J8o,call,0.8226
T8o,fold,0.6148
T8o,call,0.3852
98o,fold,0.3141
98o,call,0.6859
88,fold,0.006
88,call,0.9801
88,raise,0.0046
88,jam,0.0092
87s,fold,0.0371
87s,call,0.9625
87s,jam,0.0004
86s,fold,0.1899
86s,call,0.8101
85s,fold,0.9761
85s,call,0.0231
85s,jam,0.0008
84s,fold,0.9621
84s,call,0.0379
83s,fold,0.9351
83s,call,0.0647
83s,raise,0.0002
82s,fold,0.8776
82s,call,0.1224
A7o,fold,0.1323
A7o,call,0.8674
A7o,raise,0.0002
K7o,fold,0.6765
K7o,call,0.3235
Q7o,fold,0.9188
Q7o,call,0.0812
J7o,fold,0.9998
J7o,call,0.0002
T7o,fold,0.9985
T7o,call,0.0015
97o,fold,0.9995
97o,call,0.0005
87o,fold,0.9999
87o,call,0.0001
77,fold,0.0075
77,call,0.7177
77,raise,0.0564
77,jam,0.2184
76s,fold,0.9607
76s,call,0.0374
76s,raise,0.0004
76s,jam,0.0014
75s,fold,0.9431
75s,call,0.0568
75s,raise,0.0001
75s,jam,0.0001
74s,fold,0.9981
74s,call,0.0018
73s,fold,0.7149
73s,call,0.2851
72s,fold,0.9963
72s,call,0.0037
A6o,fold,0.0193
A6o,call,0.9804
A6o,raise,0.0001
A6o,jam,0.0003
K6o,fold,0.6289
K6o,call,0.3711
Q6o,fold,0.9999
J6o,fold,0.9998
J6o,call,0.0002
T6o,fold,0.9976
T6o,call,0.0024
96o,fold,0.9975
96o,call,0.0025
86o,fold,1.0
76o,fold,0.9999
76o,call,0.0001
66,fold,0.0314
66,call,0.9661
66,raise,0.0016
66,jam,0.0008
65s,fold,0.9139
65s,call,0.0747
65s,jam,0.0114
64s,fold,0.327
64s,call,0.6729
63s,fold,0.9927
63s,call,0.0057
63s,jam,0.0016
62s,fold,0.9989
62s,call,0.0011
A5o,fold,0.1959
A5o,call,0.8039
A5o,jam,0.0002
K5o,fold,0.6234
K5o,call,0.3765
K5o,raise,0.0001
Q5o,fold,0.9992
Q5o,call,0.0008
J5o,fold,1.0
T5o,fold,0.9996
T5o,call,0.0004
95o,fold,0.9999
95o,raise,0.0001
85o,fold,0.9988
85o,call,0.0011
75o,fold,0.9997
75o,call,0.0003
65o,fold,0.9997
65o,call,0.0003
55,fold,0.024
55,call,0.5415
55,raise,0.0018
55,jam,0.4327
54s,fold,0.2713
54s,call,0.5296
54s,raise,0.0003
54s,jam,0.1987
53s,fold,0.9997
53s,call,0.0003
52s,fold,0.9895
52s,call,0.0104
A4o,fold,0.1386
A4o,call,0.8614
K4o,fold,0.9982
K4o,call,0.0015
K4o,raise,0.0002
K4o,jam,0.0001
Q4o,fold,0.9998
Q4o,call,0.0001
Q4o,jam,0.0001
J4o,fold,0.9999
J4o,call,0.0001
T4o,fold,0.9989
T4o,call,0.001
94o,fold,1.0
84o,fold,0.9999
74o,fold,0.9997
74o,call,0.0003
64o,fold,0.9995
64o,call,0.0005
54o,fold,0.9944
54o,call,0.0056
44,fold,0.0113
44,call,0.9788
44,raise,0.0024
44,jam,0.0075
43s,fold,0.9997
43s,call,0.0001
43s,raise,0.0002
43s,jam,0.0001
42s,fold,1.0
A3o,fold,0.2237
A3o,call,0.7763
K3o,fold,0.9999
K3o,call,0.0001
Q3o,fold,1.0
J3o,fold,0.9997
J3o,call,0.0003
T3o,fold,0.9986
T3o,call,0.0013
93o,fold,1.0
83o,fold,1.0
73o,fold,1.0
63o,fold,1.0
53o,fold,0.9996
53o,call,0.0004
43o,fold,1.0
33,fold,0.0203
33,call,0.9796
32s,fold,0.9995
32s,call,0.0005
A2o,fold,0.0756
A2o,call,0.9244
K2o,fold,1.0
Q2o,fold,1.0
J2o,fold,1.0
T2o,fold,0.9998
T2o,call,0.0002
92o,fold,1.0
82o,fold,0.9999
82o,call,0.0001
72o,fold,0.9999
62o,fold,0.9999
52o,fold,0.9998
52o,call,0.0002
42o,fold,0.9999
32o,fold,1.0
22,fold,0.5039
22,call,0.4947
22,raise,0.0006
22,jam,0.0008
