# Generated by hrc_import.py --multi-opener-8max from hrc_8max_chipev_040bb.zip
# HRC tree: 8-handed, effective 40.0bb
# Equity model: chipev, ante: BB_ANTE_ANTE_FIRST
# App slot (deferred integration): sb vsopen vs utg1 open @ 40bb
# HRC node: id=4492, seat=6, sequence=FRFFFF
# Actions: ['fold', 'call', 'raise', 'jam']
# VPIP estimate: 42.14%
notation,action,freq
AA,raise,0.7388
AA,jam,0.2612
AKs,call,0.0001
AKs,raise,0.9698
AKs,jam,0.0301
AQs,call,0.0449
AQs,raise,0.8156
AQs,jam,0.1395
AJs,fold,0.0016
AJs,call,0.7852
AJs,raise,0.0116
AJs,jam,0.2016
ATs,fold,0.0107
ATs,call,0.7541
ATs,jam,0.2351
A9s,fold,0.021
A9s,call,0.9764
A9s,raise,0.002
A9s,jam,0.0005
A8s,fold,0.047
A8s,call,0.9508
A8s,raise,0.0005
A8s,jam,0.0016
A7s,fold,0.0018
A7s,call,0.9979
A7s,raise,0.0002
A7s,jam,0.0002
A6s,fold,0.0491
A6s,call,0.8128
A6s,raise,0.0003
A6s,jam,0.1379
A5s,fold,0.0144
A5s,call,0.8311
A5s,raise,0.0002
A5s,jam,0.1543
A4s,fold,0.0331
A4s,call,0.9666
A4s,raise,0.0002
A3s,fold,0.0157
A3s,call,0.8177
A3s,raise,0.0002
A3s,jam,0.1663
A2s,fold,0.0024
A2s,call,0.9976
AKo,call,0.0001
AKo,raise,0.3589
AKo,jam,0.641
KK,raise,0.3968
KK,jam,0.6032
KQs,fold,0.0044
KQs,call,0.9671
KQs,raise,0.0032
KQs,jam,0.0252
KJs,fold,0.0062
KJs,call,0.9937
KJs,raise,0.0001
KJs,jam,0.0001
KTs,fold,0.0822
KTs,call,0.696
KTs,raise,0.0026
KTs,jam,0.2192
K9s,fold,0.078
K9s,call,0.905
K9s,raise,0.0004
K9s,jam,0.0166
K8s,fold,0.507
K8s,call,0.4348
K8s,raise,0.0009
K8s,jam,0.0573
K7s,fold,0.0742
K7s,call,0.8141
K7s,jam,0.1117
K6s,fold,0.0984
K6s,call,0.8762
K6s,raise,0.0001
K6s,jam,0.0253
K5s,fold,0.0448
K5s,call,0.9551
K5s,jam,0.0001
K4s,fold,0.5801
K4s,call,0.234
K4s,raise,0.0003
K4s,jam,0.1857
K3s,fold,0.6385
K3s,call,0.3615
K2s,fold,0.7098
K2s,call,0.2897
K2s,jam,0.0005
AQo,fold,0.0001
AQo,call,0.1494
AQo,raise,0.8381
AQo,jam,0.0125
KQo,fold,0.0006
KQo,call,0.9986
KQo,raise,0.0002
KQo,jam,0.0007
QQ,raise,0.2688
QQ,jam,0.7312
QJs,fold,0.0805
