# poker.academy CE-Symmetric — 40bb vs3bet | hero MP vs CO
# Scraped 2026-06-01 via scrape_all_ranges.py
# TreeParams: poker.academy CE-Symmetric Regular @ 40bb (GTO ChipEV, 1bb ante)
notation,action,freq
55,call,0.7555
55,jam,0.2445
66,call,0.8251
66,jam,0.1749
77,call,0.8851
77,fold,0.1149
88,call,0.9701
88,jam,0.0299
99,call,0.9751
99,jam,0.0249
AA,call,0.5951
AA,jam,0.4049
AKs,jam,1.0
AQs,call,1.0
AJs,call,1.0
ATs,call,1.0
A9s,call,1.0
A8s,call,0.6651
A8s,fold,0.3349
A7s,call,0.2049
A7s,fold,0.7951
A5s,jam,1.0
A4s,jam,1.0
A3s,jam,1.0
AKo,jam,1.0
KK,jam,1.0
KQs,call,1.0
KJs,call,1.0
KTs,call,1.0
K9s,call,0.625
K9s,fold,0.375
K6s,call,0.5061
K6s,fold,0.4939
AQo,call,1.0
KQo,call,0.1849
KQo,fold,0.8151
QQ,jam,1.0
QJs,call,1.0
QTs,call,1.0
Q9s,call,0.1949
Q9s,fold,0.8051
AJo,call,0.09
AJo,fold,0.91
JJ,jam,1.0
JTs,call,1.0
J9s,call,0.0299
J9s,fold,0.9701
TT,jam,1.0
T9s,call,1.0
T8s,call,0.0648
T8s,fold,0.9352
98s,call,0.4149
98s,fold,0.5851
87s,call,1.0
76s,call,1.0
65s,call,1.0
54s,call,1.0
