# poker.academy CE-Symmetric — 40bb vs3bet | hero EP vs BTN
# Scraped 2026-06-01 via scrape_all_ranges.py
# TreeParams: poker.academy CE-Symmetric Regular @ 40bb (GTO ChipEV, 1bb ante)
notation,action,freq
55,call,1.0
66,call,1.0
77,call,0.6751
77,fold,0.305
77,jam,0.0199
88,call,0.85
88,fold,0.15
99,call,1.0
AA,call,0.615
AA,jam,0.385
AKs,jam,1.0
AQs,call,1.0
AJs,call,1.0
ATs,call,1.0
A9s,call,0.7951
A9s,fold,0.2049
A8s,call,0.3449
A8s,fold,0.6551
A7s,call,0.2486
A7s,fold,0.6569
A7s,jam,0.0945
A6s,call,0.2549
A6s,fold,0.7451
A5s,call,0.0549
A5s,jam,0.9451
A4s,call,0.0399
A4s,jam,0.9601
A3s,jam,1.0
AKo,jam,1.0
KK,jam,1.0
KQs,call,1.0
KJs,call,1.0
KTs,call,1.0
AQo,call,1.0
QQ,jam,1.0
QJs,call,1.0
QTs,call,1.0
JJ,call,0.375
JJ,jam,0.625
JTs,call,0.5699
JTs,fold,0.4301
TT,call,0.845
TT,jam,0.155
T9s,call,1.0
T8s,call,0.3389
T8s,fold,0.6611
98s,call,1.0
87s,call,1.0
76s,call,1.0
65s,call,1.0
54s,call,1.0
