# Generated by hrc_import.py --multi-opener-8max from hrc_8max_chipev_050bb.zip
# HRC tree: 8-handed, effective 50.0bb
# Equity model: chipev, ante: BB_ANTE_ANTE_FIRST
# App slot (deferred integration): bb vsopen vs btn open @ 50bb
# HRC node: id=17, seat=7, sequence=FFFFFRF
# Actions: ['fold', 'call', 'raise']
# VPIP estimate: 99.99%
notation,action,freq
AA,raise,1.0
AKs,call,0.0001
AKs,raise,0.9998
AQs,raise,1.0
AJs,call,0.019
AJs,raise,0.981
ATs,call,0.2036
ATs,raise,0.7964
A9s,call,0.0061
A9s,raise,0.9939
A8s,call,0.4757
A8s,raise,0.5243
A7s,call,0.9594
A7s,raise,0.0406
A6s,fold,0.0001
A6s,call,0.7694
A6s,raise,0.2305
A5s,call,0.2941
A5s,raise,0.7059
A4s,call,1.0
A3s,fold,0.0001
A3s,call,0.5095
A3s,raise,0.4904
A2s,fold,0.0001
A2s,call,0.9971
A2s,raise,0.0029
AKo,raise,1.0
KK,raise,1.0
KQs,call,0.3132
KQs,raise,0.6868
KJs,call,0.9813
KJs,raise,0.0187
KTs,call,0.9631
KTs,raise,0.0368
K9s,fold,0.0001
K9s,call,0.9999
K9s,raise,0.0001
K8s,call,0.9999
K7s,fold,0.0001
K7s,call,0.997
K7s,raise,0.0029
K6s,fold,0.0001
K6s,call,0.999
K6s,raise,0.0009
K5s,call,1.0
K4s,fold,0.0001
K4s,call,0.9998
K4s,raise,0.0001
K3s,fold,0.0001
K3s,call,0.9998
K3s,raise,0.0001
K2s,fold,0.0001
K2s,call,0.9999
AQo,call,0.0065
AQo,raise,0.9935
KQo,call,0.5856
KQo,raise,0.4144
QQ,raise,1.0
QJs,call,0.9995
QJs,raise,0.0005
QTs,fold,0.0001
QTs,call,0.9939
QTs,raise,0.006
Q9s,fold,0.0004
Q9s,call,0.9994
Q9s,raise,0.0002
Q8s,call,1.0
Q7s,fold,0.0001
Q7s,call,0.9999
Q6s,call,1.0
Q5s,fold,0.0001
Q5s,call,0.9992
Q5s,raise,0.0007
Q4s,fold,0.0002
Q4s,call,0.9997
Q3s,fold,0.0001
Q3s,call,0.9758
Q3s,raise,0.0241
Q2s,fold,0.0002
Q2s,call,0.9997
AJo,call,0.015
AJo,raise,0.985
KJo,call,0.9496
KJo,raise,0.0504
QJo,call,1.0
JJ,raise,1.0
JTs,call,0.9972
JTs,raise,0.0028
J9s,call,0.9969
J9s,raise,0.0031
J8s,call,1.0
J7s,call,1.0
J6s,call,1.0
J5s,fold,0.0001
J5s,call,0.9999
J5s,raise,0.0001
J4s,call,1.0
J3s,fold,0.0001
J3s,call,0.9999
J2s,call,1.0
ATo,call,0.0087
ATo,raise,0.9913
KTo,call,0.9998
KTo,raise,0.0002
QTo,call,0.9999
QTo,raise,0.0001
JTo,call,0.9999
JTo,raise,0.0001
TT,call,0.0191
TT,raise,0.9808
T9s,fold,0.0001
T9s,call,0.9999
T8s,call,1.0
T7s,fold,0.0001
T7s,call,0.9999
T7s,raise,0.0001
T6s,fold,0.0001
T6s,call,0.9999
T5s,call,1.0
T4s,fold,0.0001
T4s,call,0.9999
T3s,call,1.0
T2s,call,1.0
A9o,call,0.4246
A9o,raise,0.5754
K9o,call,0.9999
K9o,raise,0.0001
Q9o,call,1.0
J9o,call,1.0
T9o,call,1.0
99,call,0.3594
99,raise,0.6406
98s,fold,0.0004
98s,call,0.9915
98s,raise,0.0081
97s,fold,0.0002
97s,call,0.9996
97s,raise,0.0001
96s,call,1.0
95s,fold,0.0003
95s,call,0.9997
94s,call,1.0
93s,call,1.0
92s,fold,0.0001
92s,call,0.9999
A8o,call,0.9061
A8o,raise,0.0939
K8o,call,1.0
Q8o,call,1.0
J8o,call,1.0
T8o,call,0.9999
98o,call,1.0
88,fold,0.0001
88,call,0.5224
88,raise,0.4776
87s,call,1.0
86s,call,0.9999
85s,fold,0.0001
85s,call,0.9979
85s,raise,0.002
84s,fold,0.0007
84s,call,0.9993
83s,fold,0.0003
83s,call,0.9997
82s,fold,0.0001
82s,call,0.9999
A7o,call,0.9999
A7o,raise,0.0001
K7o,call,1.0
Q7o,call,1.0
J7o,call,1.0
