# Generated by hrc_import.py --multi-opener-8max from hrc_8max_chipev_050bb.zip
# HRC tree: 8-handed, effective 50.0bb
# Equity model: chipev, ante: BB_ANTE_ANTE_FIRST
# App slot (deferred integration): bb vsopen vs utg1 open @ 50bb
# HRC node: id=4865, seat=7, sequence=FRFFFFF
# Actions: ['fold', 'call', 'raise']
# VPIP estimate: 99.98%
notation,action,freq
AA,raise,1.0
AKs,raise,1.0
AQs,fold,0.0001
AQs,call,0.1736
AQs,raise,0.8263
AJs,call,0.9656
AJs,raise,0.0344
ATs,call,1.0
A9s,fold,0.0008
A9s,call,0.9979
A9s,raise,0.0013
A8s,call,0.9973
A8s,raise,0.0026
A7s,call,0.9969
A7s,raise,0.0031
A6s,fold,0.0003
A6s,call,0.9997
A5s,fold,0.0003
A5s,call,0.9994
A5s,raise,0.0002
A4s,fold,0.0001
A4s,call,0.9999
A3s,fold,0.0004
A3s,call,0.9996
A3s,raise,0.0001
A2s,fold,0.0001
A2s,call,0.9999
AKo,call,0.1123
AKo,raise,0.8877
KK,raise,1.0
KQs,fold,0.0001
KQs,call,0.9923
KQs,raise,0.0076
KJs,fold,0.0007
KJs,call,0.999
KJs,raise,0.0003
KTs,call,0.9754
KTs,raise,0.0246
K9s,call,1.0
K8s,call,1.0
K7s,fold,0.0001
K7s,call,0.9995
K7s,raise,0.0003
K6s,fold,0.0005
K6s,call,0.9995
K6s,raise,0.0001
K5s,fold,0.0001
K5s,call,0.9998
K5s,raise,0.0001
K4s,fold,0.0003
K4s,call,0.9996
K4s,raise,0.0001
K3s,fold,0.0001
K3s,call,0.9999
K2s,call,1.0
AQo,call,0.7846
AQo,raise,0.2153
KQo,call,1.0
QQ,call,0.135
QQ,raise,0.865
QJs,call,1.0
QTs,call,1.0
Q9s,fold,0.0002
Q9s,call,0.9998
Q8s,fold,0.0004
Q8s,call,0.9995
Q8s,raise,0.0001
Q7s,fold,0.0006
Q7s,call,0.9991
Q7s,raise,0.0003
Q6s,fold,0.0001
Q6s,call,0.9999
Q5s,fold,0.0022
Q5s,call,0.9966
Q5s,raise,0.0012
Q4s,fold,0.0004
Q4s,call,0.9765
Q4s,raise,0.0231
Q3s,fold,0.0006
Q3s,call,0.9994
Q2s,fold,0.0001
Q2s,call,0.9998
Q2s,raise,0.0001
AJo,call,0.9831
AJo,raise,0.0169
KJo,call,0.9999
QJo,call,1.0
JJ,call,0.1361
JJ,raise,0.8639
JTs,fold,0.0002
JTs,call,0.9998
J9s,fold,0.0009
J9s,call,0.9991
J9s,raise,0.0001
J8s,fold,0.0002
J8s,call,0.9998
J7s,call,1.0
J6s,fold,0.0004
J6s,call,0.9996
J5s,fold,0.0019
J5s,call,0.9959
J5s,raise,0.0022
J4s,fold,0.0007
J4s,call,0.9993
J3s,fold,0.0002
J3s,call,0.9997
J2s,fold,0.0003
J2s,call,0.9996
J2s,raise,0.0001
ATo,call,0.9981
ATo,raise,0.0019
KTo,call,1.0
QTo,fold,0.0002
QTo,call,0.9998
QTo,raise,0.0001
JTo,call,1.0
TT,fold,0.0001
TT,call,0.3754
TT,raise,0.6245
T9s,fold,0.0002
T9s,call,0.9998
T8s,fold,0.0005
T8s,call,0.9994
T7s,fold,0.0002
T7s,call,0.9998
T6s,fold,0.0018
T6s,call,0.9976
T6s,raise,0.0006
T5s,fold,0.0004
T5s,call,0.9996
T4s,fold,0.0001
T4s,call,0.9998
T4s,raise,0.0001
T3s,fold,0.0003
T3s,call,0.9997
T2s,fold,0.0001
T2s,call,0.9999
A9o,call,0.9995
A9o,raise,0.0005
K9o,call,1.0
Q9o,call,1.0
J9o,call,1.0
T9o,call,1.0
99,fold,0.0003
99,call,0.6344
99,raise,0.3653
98s,fold,0.0001
98s,call,0.9926
98s,raise,0.0073
97s,fold,0.0004
97s,call,0.9996
96s,call,1.0
95s,fold,0.0004
95s,call,0.9995
95s,raise,0.0001
94s,fold,0.0005
94s,call,0.9995
93s,fold,0.0009
93s,call,0.9991
93s,raise,0.0001
92s,call,1.0
A8o,call,1.0
K8o,fold,0.0001
K8o,call,0.9999
Q8o,call,1.0
J8o,call,1.0
T8o,call,1.0
98o,call,1.0
88,call,0.878
88,raise,0.1219
87s,fold,0.0001
87s,call,0.9999
86s,fold,0.0008
86s,call,0.9991
85s,fold,0.0003
85s,call,0.9997
84s,fold,0.0002
84s,call,0.9998
83s,fold,0.0003
83s,call,0.9997
82s,fold,0.0005
82s,call,0.9994
82s,raise,0.0001
A7o,call,1.0
K7o,fold,0.0001
K7o,call,0.9999
Q7o,fold,0.0001
Q7o,call,0.9998
Q7o,raise,0.0001
J7o,call,1.0
T7o,call,1.0
97o,call,1.0
87o,call,1.0
77,fold,0.0001
77,call,0.9928
77,raise,0.0071
76s,fold,0.0003
76s,call,0.9997
75s,fold,0.0003
75s,call,0.9997
