# Generated by hrc_import.py --multi-opener-8max from hrc_8max_chipev_050bb.zip
# HRC tree: 8-handed, effective 50.0bb
# Equity model: chipev, ante: BB_ANTE_ANTE_FIRST
# App slot (deferred integration): btn vsopen vs co open @ 50bb
# HRC node: id=48, seat=5, sequence=FFFFR
# Actions: ['fold', 'call', 'raise', 'jam']
# VPIP estimate: 17.81%
notation,action,freq
AA,call,0.0056
AA,raise,0.7913
AA,jam,0.2031
AKs,call,0.0001
AKs,raise,0.0794
AKs,jam,0.9205
AQs,call,0.5232
AQs,raise,0.0664
AQs,jam,0.4105
AJs,fold,0.0004
AJs,call,0.5706
AJs,raise,0.2533
AJs,jam,0.1756
ATs,fold,0.0025
ATs,call,0.5051
ATs,raise,0.4639
ATs,jam,0.0285
A9s,fold,0.0407
A9s,call,0.005
A9s,raise,0.9331
A9s,jam,0.0212
A8s,fold,0.1407
A8s,call,0.8422
A8s,raise,0.0005
A8s,jam,0.0167
A7s,fold,0.5264
A7s,call,0.4587
A7s,raise,0.0039
A7s,jam,0.011
A6s,fold,0.5041
A6s,call,0.4857
A6s,raise,0.0001
A6s,jam,0.0102
A5s,fold,0.5962
A5s,call,0.0354
A5s,raise,0.0003
A5s,jam,0.3681
A4s,fold,0.6909
A4s,call,0.2365
A4s,raise,0.0022
A4s,jam,0.0703
A3s,fold,0.7598
A3s,call,0.2245
A3s,raise,0.0087
A3s,jam,0.007
A2s,fold,0.9807
A2s,call,0.0038
A2s,raise,0.0123
A2s,jam,0.0032
AKo,call,0.0001
AKo,raise,0.3529
AKo,jam,0.647
KK,call,0.0799
KK,raise,0.7645
KK,jam,0.1555
KQs,fold,0.0056
KQs,call,0.7931
KQs,raise,0.0027
KQs,jam,0.1986
KJs,fold,0.0024
KJs,call,0.1292
KJs,raise,0.0012
KJs,jam,0.8672
KTs,fold,0.3805
KTs,call,0.4564
KTs,raise,0.0336
KTs,jam,0.1295
K9s,fold,0.0163
K9s,call,0.9767
K9s,raise,0.007
K8s,fold,0.9993
K8s,call,0.0006
K8s,jam,0.0001
K7s,fold,0.999
K7s,call,0.0007
K7s,raise,0.0002
K7s,jam,0.0001
K6s,fold,0.9027
K6s,call,0.0135
K6s,raise,0.0013
K6s,jam,0.0825
K5s,fold,0.9484
K5s,call,0.0514
K5s,raise,0.0002
K4s,fold,0.9949
K4s,call,0.0048
K4s,raise,0.0001
K4s,jam,0.0002
K3s,fold,0.8462
K3s,call,0.046
K3s,raise,0.0001
K3s,jam,0.1076
K2s,fold,0.9755
K2s,call,0.0002
K2s,jam,0.0243
AQo,call,0.5476
AQo,raise,0.4348
AQo,jam,0.0176
KQo,fold,0.185
KQo,call,0.6255
KQo,raise,0.056
KQo,jam,0.1335
QQ,call,0.0317
QQ,raise,0.1015
QQ,jam,0.8668
QJs,fold,0.4054
QJs,call,0.5892
QJs,raise,0.0001
QJs,jam,0.0053
QTs,fold,0.5391
QTs,call,0.354
QTs,raise,0.0058
QTs,jam,0.1011
Q9s,fold,0.994
Q9s,call,0.0056
Q9s,raise,0.0001
Q9s,jam,0.0002
Q8s,fold,0.8862
Q8s,call,0.0214
Q8s,jam,0.0924
Q7s,fold,0.9981
Q7s,call,0.0002
Q7s,raise,0.0017
Q6s,fold,0.9984
Q6s,call,0.0016
Q5s,fold,0.9932
Q5s,call,0.005
Q5s,raise,0.0017
Q5s,jam,0.0001
Q4s,fold,0.9974
Q4s,call,0.0007
Q4s,raise,0.0013
Q4s,jam,0.0005
Q3s,fold,1.0
Q2s,fold,0.9991
Q2s,call,0.0005
Q2s,raise,0.0003
Q2s,jam,0.0001
AJo,call,0.2889
AJo,raise,0.7032
AJo,jam,0.0079
KJo,fold,0.5804
KJo,call,0.4191
KJo,raise,0.0002
KJo,jam,0.0003
QJo,fold,0.9922
QJo,call,0.0046
QJo,raise,0.003
