# Generated by hrc_import.py --multi-opener-8max from hrc_8max_chipev_050bb.zip
# HRC tree: 8-handed, effective 50.0bb
# Equity model: chipev, ante: BB_ANTE_ANTE_FIRST
# App slot (deferred integration): btn vsopen vs utg1 open @ 50bb
# HRC node: id=4863, seat=5, sequence=FRFFF
# Actions: ['fold', 'call', 'raise', 'jam']
# VPIP estimate: 12.28%
notation,action,freq
AA,raise,0.8463
AA,jam,0.1537
AKs,call,0.1414
AKs,raise,0.0024
AKs,jam,0.8562
AQs,fold,0.0126
AQs,call,0.3064
AQs,raise,0.6302
AQs,jam,0.0508
AJs,fold,0.2189
AJs,call,0.291
AJs,raise,0.3917
AJs,jam,0.0983
ATs,fold,0.4673
ATs,call,0.1066
ATs,raise,0.2878
ATs,jam,0.1383
A9s,fold,0.7882
A9s,call,0.2076
A9s,raise,0.0038
A9s,jam,0.0004
A8s,fold,0.8665
A8s,call,0.133
A8s,raise,0.0001
A8s,jam,0.0004
A7s,fold,0.5772
A7s,call,0.4213
A7s,raise,0.0012
A7s,jam,0.0004
A6s,fold,0.4901
A6s,call,0.5098
A6s,jam,0.0002
A5s,fold,0.9824
A5s,call,0.0054
A5s,raise,0.01
A5s,jam,0.0022
A4s,fold,0.6742
A4s,call,0.3056
A4s,jam,0.0202
A3s,fold,0.962
A3s,call,0.0161
A3s,raise,0.0185
A3s,jam,0.0033
A2s,fold,0.945
A2s,call,0.0549
A2s,raise,0.0001
AKo,call,0.0386
AKo,raise,0.233
AKo,jam,0.7284
KK,call,0.1993
KK,raise,0.024
KK,jam,0.7768
KQs,fold,0.0255
KQs,call,0.3857
KQs,raise,0.0463
KQs,jam,0.5425
KJs,fold,0.2272
KJs,call,0.7715
KJs,raise,0.0001
KJs,jam,0.0012
KTs,fold,0.9231
KTs,call,0.0674
KTs,raise,0.0009
KTs,jam,0.0086
K9s,fold,0.9399
K9s,call,0.0523
K9s,raise,0.0006
K9s,jam,0.0072
K8s,fold,0.7954
K8s,call,0.2043
K8s,raise,0.0002
K8s,jam,0.0002
K7s,fold,0.9993
K7s,call,0.0006
K7s,jam,0.0001
K6s,fold,0.998
K6s,call,0.0014
K6s,raise,0.0005
K6s,jam,0.0001
K5s,fold,0.9994
K5s,call,0.0002
K5s,raise,0.0003
K5s,jam,0.0001
K4s,fold,0.9985
K4s,call,0.0012
K4s,raise,0.0003
K3s,fold,0.9995
K3s,call,0.0002
K3s,raise,0.0001
K3s,jam,0.0002
K2s,fold,0.9982
