# poker.academy CE-Symmetric — 50bb vsopen | hero BTN vs CO
# Scraped 2026-06-01 via scrape_all_ranges.py
# TreeParams: poker.academy CE-Symmetric Regular @ 50bb (GTO ChipEV, 1bb ante)
notation,action,freq
22,call,1.0
33,call,1.0
44,call,1.0
55,call,1.0
66,call,1.0
77,call,0.764
77,threeBet,0.236
88,call,0.7241
88,threeBet,0.2759
99,call,0.9181
99,threeBet,0.0819
AA,threeBet,1.0
AKs,threeBet,1.0
AQs,threeBet,1.0
AJs,call,1.0
ATs,call,1.0
A9s,call,1.0
A8s,call,1.0
A7s,call,1.0
A6s,call,0.4781
A6s,threeBet,0.5219
A5s,call,0.8602
A5s,threeBet,0.1398
A4s,call,0.6381
A4s,threeBet,0.3619
A3s,call,0.5961
A3s,threeBet,0.4039
A2s,call,0.3499
A2s,threeBet,0.6501
AKo,threeBet,1.0
KK,threeBet,1.0
KQs,call,1.0
KJs,call,1.0
KTs,call,1.0
K9s,call,1.0
K8s,call,1.0
K7s,call,0.406
K7s,threeBet,0.594
K6s,call,0.52
K6s,threeBet,0.48
K5s,call,0.0659
K5s,threeBet,0.9341
K4s,call,0.3019
K4s,threeBet,0.6981
AQo,call,0.9641
AQo,threeBet,0.0359
KQo,call,0.3879
KQo,threeBet,0.6121
QQ,threeBet,1.0
QJs,call,1.0
QTs,call,1.0
Q9s,call,0.5261
Q9s,threeBet,0.4739
Q8s,call,0.422
Q8s,threeBet,0.578
Q6s,fold,0.828
Q6s,threeBet,0.172
AJo,call,0.352
AJo,threeBet,0.648
KJo,call,0.7902
KJo,threeBet,0.2098
QJo,call,0.568
QJo,threeBet,0.432
JJ,threeBet,1.0
JTs,call,1.0
J9s,call,0.862
J9s,threeBet,0.138
J8s,call,0.348
J8s,threeBet,0.652
ATo,call,0.62
ATo,threeBet,0.38
KTo,call,0.594
KTo,threeBet,0.406
QTo,call,0.482
QTo,threeBet,0.518
JTo,call,0.4899
JTo,threeBet,0.5101
TT,call,0.0879
TT,threeBet,0.9121
T9s,call,0.798
T9s,threeBet,0.202
T8s,call,0.818
T8s,threeBet,0.182
T7s,fold,0.8161
T7s,threeBet,0.1839
A9o,call,0.754
A9o,threeBet,0.246
98s,call,0.8442
98s,threeBet,0.1558
97s,call,0.2799
97s,fold,0.08
97s,threeBet,0.6401
A8o,fold,0.122
A8o,threeBet,0.878
87s,call,1.0
76s,call,0.9281
76s,threeBet,0.0719
65s,call,0.403
65s,fold,0.5571
65s,threeBet,0.0399
54s,call,0.2959
54s,fold,0.5302
54s,threeBet,0.1739
