# poker.academy CE-Symmetric — 50bb vsopen | hero BTN vs LJ
# Scraped 2026-06-01 via scrape_all_ranges.py
# TreeParams: poker.academy CE-Symmetric Regular @ 50bb (GTO ChipEV, 1bb ante)
notation,action,freq
22,call,1.0
33,call,1.0
44,call,1.0
55,call,1.0
66,call,1.0
77,call,0.91
77,threeBet,0.09
88,call,0.6661
88,threeBet,0.3339
99,call,0.668
99,threeBet,0.332
AA,threeBet,1.0
AKs,threeBet,1.0
AQs,call,1.0
AJs,call,1.0
ATs,call,1.0
A9s,call,0.3779
A9s,threeBet,0.6221
A8s,call,0.338
A8s,threeBet,0.662
A7s,call,0.694
A7s,threeBet,0.306
A6s,call,0.524
A6s,threeBet,0.476
A5s,call,0.562
A5s,threeBet,0.438
A4s,call,1.0
A3s,call,0.8541
A3s,threeBet,0.1459
A2s,call,0.546
A2s,threeBet,0.454
AKo,threeBet,1.0
KK,threeBet,1.0
KQs,call,1.0
KJs,call,1.0
KTs,call,1.0
K9s,threeBet,1.0
K8s,call,0.7881
K8s,threeBet,0.2119
K7s,call,0.4839
K7s,threeBet,0.5161
K6s,call,0.4368
K6s,fold,0.1162
K6s,threeBet,0.447
AQo,call,0.552
AQo,threeBet,0.448
KQo,call,0.776
KQo,threeBet,0.224
QQ,threeBet,1.0
QJs,call,1.0
QTs,call,0.9942
QTs,threeBet,0.0058
Q9s,call,1.0
Q8s,call,0.0079
Q8s,fold,0.9921
AJo,call,0.5219
AJo,threeBet,0.4781
KJo,call,0.7582
KJo,threeBet,0.2418
QJo,call,0.2059
QJo,fold,0.5421
QJo,threeBet,0.252
JJ,call,0.188
JJ,threeBet,0.812
JTs,call,0.6021
JTs,threeBet,0.3979
J9s,call,0.652
J9s,threeBet,0.348
J8s,call,0.102
J8s,threeBet,0.898
ATo,call,0.572
ATo,threeBet,0.428
KTo,call,0.2665
KTo,fold,0.056
KTo,threeBet,0.6775
TT,call,0.6381
TT,threeBet,0.3619
T9s,call,0.76
T9s,threeBet,0.24
T8s,call,0.61
T8s,threeBet,0.39
A9o,fold,0.9882
A9o,threeBet,0.0118
98s,call,1.0
97s,call,0.306
97s,fold,0.694
87s,call,0.882
87s,threeBet,0.118
76s,call,0.728
76s,fold,0.272
65s,call,0.6301
65s,fold,0.0378
65s,threeBet,0.3321
54s,call,0.6701
54s,threeBet,0.3299
