# poker.academy CE-Symmetric — 50bb vsopen | hero BTN vs EP
# Scraped 2026-06-01 via scrape_all_ranges.py
# TreeParams: poker.academy CE-Symmetric Regular @ 50bb (GTO ChipEV, 1bb ante)
notation,action,freq
22,call,1.0
33,call,1.0
44,call,1.0
55,call,1.0
66,call,1.0
77,call,1.0
88,call,0.9281
88,threeBet,0.0719
99,call,0.776
99,threeBet,0.224
AA,threeBet,1.0
AKs,threeBet,1.0
AQs,call,1.0
AJs,call,1.0
ATs,call,1.0
A9s,call,0.694
A9s,threeBet,0.306
A8s,call,0.4881
A8s,threeBet,0.5119
A7s,call,0.764
A7s,threeBet,0.236
A6s,call,0.8641
A6s,threeBet,0.1359
A5s,call,0.696
A5s,threeBet,0.304
A4s,call,0.846
A4s,threeBet,0.154
A3s,call,1.0
A2s,call,0.408
A2s,fold,0.592
AKo,call,0.482
AKo,threeBet,0.518
KK,threeBet,1.0
KQs,call,1.0
KJs,call,0.4081
KJs,threeBet,0.5919
KTs,call,0.7582
KTs,threeBet,0.2418
K9s,call,0.3559
K9s,threeBet,0.6441
K8s,call,0.7
K8s,threeBet,0.3
K7s,call,0.4669
K7s,fold,0.5331
K6s,call,0.5712
K6s,fold,0.3828
K6s,threeBet,0.046
K5s,call,0.0679
K5s,fold,0.8301
K5s,threeBet,0.102
AQo,call,0.598
AQo,threeBet,0.402
KQo,call,0.7301
KQo,threeBet,0.2699
QQ,call,0.2119
QQ,threeBet,0.7881
QJs,call,1.0
QTs,call,1.0
Q9s,call,1.0
AJo,call,0.7201
AJo,threeBet,0.2799
KJo,call,0.46
KJo,fold,0.134
KJo,threeBet,0.406
JJ,call,0.7401
JJ,threeBet,0.2599
JTs,call,1.0
J9s,call,0.9001
J9s,threeBet,0.0999
ATo,call,0.0939
ATo,fold,0.1479
ATo,threeBet,0.7582
TT,call,0.6061
TT,threeBet,0.3939
T9s,call,1.0
T8s,call,1.0
98s,call,0.76
98s,threeBet,0.24
87s,call,0.744
87s,threeBet,0.256
86s,call,0.0659
86s,fold,0.9341
76s,call,1.0
65s,call,0.8361
65s,threeBet,0.1639
54s,call,0.7181
54s,threeBet,0.2819
