# poker.academy CE-Symmetric — 50bb vsopen | hero BTN vs MP
# Scraped 2026-06-01 via scrape_all_ranges.py
# TreeParams: poker.academy CE-Symmetric Regular @ 50bb (GTO ChipEV, 1bb ante)
notation,action,freq
22,call,1.0
33,call,1.0
44,call,1.0
55,call,1.0
66,call,1.0
77,call,1.0
88,call,0.7781
88,threeBet,0.2219
99,call,0.642
99,threeBet,0.358
AA,threeBet,1.0
AKs,threeBet,1.0
AQs,call,1.0
AJs,call,1.0
ATs,call,1.0
A9s,call,0.316
A9s,threeBet,0.684
A8s,call,0.5
A8s,threeBet,0.5
A7s,call,0.6281
A7s,threeBet,0.3719
A6s,call,0.71
A6s,threeBet,0.29
A5s,call,0.7419
A5s,threeBet,0.2581
A4s,call,0.812
A4s,threeBet,0.188
A3s,call,1.0
A2s,call,0.9041
A2s,threeBet,0.0959
AKo,call,0.0779
AKo,threeBet,0.9221
KK,threeBet,1.0
KQs,call,1.0
KJs,call,1.0
KTs,call,0.69
KTs,threeBet,0.31
K9s,call,0.2339
K9s,threeBet,0.7661
K8s,call,0.5961
K8s,threeBet,0.4039
K7s,call,0.3741
K7s,fold,0.522
K7s,threeBet,0.1039
K6s,call,0.2799
K6s,fold,0.4942
K6s,threeBet,0.2259
AQo,call,0.4139
AQo,threeBet,0.5861
KQo,call,0.834
KQo,threeBet,0.166
QQ,threeBet,1.0
QJs,call,1.0
QTs,call,1.0
Q9s,call,1.0
AJo,call,0.658
AJo,threeBet,0.342
KJo,call,0.514
KJo,threeBet,0.486
QJo,call,0.016
QJo,fold,0.7746
QJo,threeBet,0.2094
JJ,call,0.4941
JJ,threeBet,0.5059
JTs,call,0.824
JTs,threeBet,0.176
J9s,call,0.568
J9s,threeBet,0.432
J8s,call,0.0499
J8s,fold,0.7321
J8s,threeBet,0.218
ATo,call,0.354
ATo,threeBet,0.646
KTo,call,0.0698
KTo,fold,0.7222
KTo,threeBet,0.208
TT,call,0.402
TT,threeBet,0.598
T9s,call,1.0
T8s,call,0.824
T8s,threeBet,0.176
98s,call,0.8602
98s,threeBet,0.1398
97s,call,0.2919
97s,fold,0.7081
87s,call,0.7201
87s,threeBet,0.2799
76s,call,0.8221
76s,threeBet,0.1779
65s,call,0.8581
65s,threeBet,0.1419
54s,call,0.648
54s,threeBet,0.352
