# poker.academy CE-Symmetric — 50bb vs3bet | hero CO vs SB
# Scraped 2026-06-01 via scrape_all_ranges.py
# TreeParams: poker.academy CE-Symmetric Regular @ 50bb (GTO ChipEV, 1bb ante)
notation,action,freq
33,call,0.298
33,fold,0.292
33,jam,0.41
44,call,0.9161
44,jam,0.0839
55,call,0.952
55,jam,0.048
66,call,1.0
77,call,1.0
88,call,1.0
99,call,0.578
99,jam,0.422
AA,call,1.0
AKs,jam,1.0
AQs,call,1.0
AJs,call,1.0
ATs,call,1.0
A9s,call,1.0
A8s,call,1.0
A7s,call,0.9782
A7s,jam,0.0218
A6s,call,1.0
A5s,call,0.3939
A5s,jam,0.6061
A4s,call,0.1839
A4s,jam,0.8161
A3s,call,1.0
A2s,call,1.0
AKo,jam,1.0
KK,call,1.0
KQs,call,1.0
KJs,call,0.3239
KJs,jam,0.6761
KTs,call,1.0
K9s,call,1.0
K8s,call,1.0
K7s,call,0.7881
K7s,fold,0.2119
K6s,call,0.968
K6s,fold,0.032
K5s,call,0.2639
K5s,fold,0.7361
AQo,call,0.674
AQo,jam,0.326
KQo,call,1.0
QQ,call,0.368
QQ,jam,0.632
QJs,call,1.0
QTs,call,1.0
Q9s,call,1.0
Q8s,call,0.182
Q8s,fold,0.818
AJo,call,1.0
KJo,call,1.0
QJo,call,0.1359
QJo,fold,0.8641
JJ,jam,1.0
JTs,call,1.0
J9s,call,1.0
ATo,call,0.9601
ATo,fold,0.0399
KTo,call,0.1319
KTo,fold,0.8681
TT,jam,1.0
T9s,call,1.0
T8s,call,1.0
98s,call,1.0
87s,call,0.8041
87s,fold,0.1959
76s,call,0.9061
76s,fold,0.0939
65s,call,0.166
65s,fold,0.834
54s,call,1.0
