# Generated by hrc_import.py --multi-opener-8max from hrc_8max_chipev_050bb.zip
# HRC tree: 8-handed, effective 50.0bb
# Equity model: chipev, ante: BB_ANTE_ANTE_FIRST
# App slot (deferred integration): co vsopen vs hj open @ 50bb
# HRC node: id=264, seat=4, sequence=FFFR
# Actions: ['fold', 'call', 'raise', 'jam']
# VPIP estimate: 13.46%
notation,action,freq
AA,raise,0.9676
AA,jam,0.0324
AKs,call,0.0089
AKs,raise,0.2583
AKs,jam,0.7328
AQs,call,0.9118
AQs,raise,0.0109
AQs,jam,0.0773
AJs,call,0.7284
AJs,raise,0.2613
AJs,jam,0.0103
ATs,fold,0.1325
ATs,call,0.0699
ATs,raise,0.758
ATs,jam,0.0396
A9s,fold,0.7337
A9s,call,0.0007
A9s,raise,0.2643
A9s,jam,0.0013
A8s,fold,0.5852
A8s,call,0.2738
A8s,raise,0.0011
A8s,jam,0.1399
A7s,fold,0.9708
A7s,call,0.0195
A7s,raise,0.0097
A6s,fold,0.5833
A6s,call,0.2915
A6s,raise,0.002
A6s,jam,0.1232
A5s,fold,0.7986
A5s,call,0.1821
A5s,raise,0.0191
A5s,jam,0.0002
A4s,fold,0.8343
A4s,call,0.0574
A4s,raise,0.0037
A4s,jam,0.1047
A3s,fold,0.7944
A3s,call,0.1942
A3s,raise,0.0028
A3s,jam,0.0086
A2s,fold,0.906
A2s,call,0.0933
A2s,raise,0.0003
A2s,jam,0.0004
AKo,call,0.0429
AKo,raise,0.4902
AKo,jam,0.467
KK,call,0.4161
KK,raise,0.4384
KK,jam,0.1455
KQs,fold,0.1264
KQs,call,0.1022
KQs,raise,0.0262
KQs,jam,0.7452
KJs,fold,0.0265
KJs,call,0.9346
KJs,raise,0.0038
KJs,jam,0.0352
KTs,fold,0.6827
KTs,call,0.0449
KTs,raise,0.0202
KTs,jam,0.2522
K9s,fold,0.9652
K9s,call,0.0262
K9s,raise,0.0045
K9s,jam,0.0041
K8s,fold,0.9952
K8s,call,0.0046
K8s,raise,0.0001
K8s,jam,0.0001
K7s,fold,0.9887
K7s,call,0.0066
K7s,raise,0.0031
K7s,jam,0.0016
K6s,fold,0.9961
K6s,call,0.0034
K6s,raise,0.0002
K6s,jam,0.0003
K5s,fold,0.992
K5s,call,0.0062
K5s,raise,0.0017
K5s,jam,0.0001
K4s,fold,0.9983
K4s,call,0.0013
K4s,raise,0.0001
K4s,jam,0.0003
K3s,fold,0.9989
K3s,call,0.0002
K3s,raise,0.0002
K3s,jam,0.0006
K2s,fold,0.9937
K2s,call,0.0061
K2s,raise,0.0001
K2s,jam,0.0001
AQo,call,0.8464
AQo,raise,0.1501
AQo,jam,0.0035
KQo,fold,0.2108
KQo,call,0.6306
KQo,raise,0.1576
KQo,jam,0.0011
QQ,call,0.919
QQ,raise,0.0607
QQ,jam,0.0203
QJs,fold,0.3987
QJs,call,0.445
QJs,raise,0.0158
QJs,jam,0.1404
QTs,fold,0.832
QTs,call,0.0155
QTs,raise,0.0404
QTs,jam,0.1121
Q9s,fold,0.9253
Q9s,call,0.0716
Q9s,raise,0.0024
Q9s,jam,0.0007
Q8s,fold,0.9928
Q8s,call,0.007
Q8s,jam,0.0002
Q7s,fold,0.9935
Q7s,call,0.0023
Q7s,raise,0.0041
Q7s,jam,0.0001
Q6s,fold,0.9968
Q6s,call,0.0026
Q6s,raise,0.0006
Q5s,fold,0.9838
