# Generated by hrc_import.py --multi-opener-8max from hrc_8max_chipev_050bb.zip
# HRC tree: 8-handed, effective 50.0bb
# Equity model: chipev, ante: BB_ANTE_ANTE_FIRST
# App slot (deferred integration): hj vsopen vs utg1 open @ 50bb
# HRC node: id=4861, seat=3, sequence=FRF
# Actions: ['fold', 'call', 'raise', 'jam']
# VPIP estimate: 13.01%
notation,action,freq
AA,call,0.0841
AA,raise,0.6661
AA,jam,0.2498
AKs,call,0.0783
AKs,raise,0.289
AKs,jam,0.6327
AQs,call,0.9288
AQs,raise,0.0327
AQs,jam,0.0385
AJs,fold,0.0003
AJs,call,0.366
AJs,raise,0.1504
AJs,jam,0.4833
ATs,fold,0.0012
ATs,call,0.5302
ATs,raise,0.0382
ATs,jam,0.4304
A9s,fold,0.2288
A9s,call,0.7628
A9s,raise,0.0014
A9s,jam,0.007
A8s,fold,0.7733
A8s,call,0.1694
A8s,raise,0.0459
A8s,jam,0.0114
A7s,fold,0.9302
A7s,call,0.0042
A7s,raise,0.0256
A7s,jam,0.0399
A6s,fold,0.9404
A6s,call,0.0532
A6s,raise,0.0003
A6s,jam,0.0061
A5s,fold,0.9673
A5s,call,0.0261
A5s,raise,0.0064
A5s,jam,0.0002
A4s,fold,0.9375
A4s,call,0.0606
A4s,raise,0.0009
A4s,jam,0.001
A3s,fold,0.8951
A3s,call,0.0861
A3s,raise,0.0146
A3s,jam,0.0042
A2s,fold,0.9862
A2s,call,0.0012
A2s,raise,0.0072
A2s,jam,0.0054
AKo,call,0.0299
AKo,raise,0.6323
AKo,jam,0.3379
KK,call,0.3029
KK,raise,0.1041
KK,jam,0.593
KQs,fold,0.0024
KQs,call,0.8885
KQs,raise,0.067
KQs,jam,0.042
KJs,fold,0.237
KJs,call,0.6021
KJs,raise,0.1519
KJs,jam,0.009
KTs,fold,0.9205
KTs,call,0.0274
KTs,raise,0.0489
KTs,jam,0.0032
K9s,fold,0.9646
K9s,call,0.0086
K9s,raise,0.0255
K9s,jam,0.0012
K8s,fold,0.8654
K8s,call,0.1224
K8s,raise,0.0002
K8s,jam,0.0121
K7s,fold,0.9948
K7s,call,0.0041
K7s,raise,0.0003
K7s,jam,0.0008
K6s,fold,0.8638
K6s,call,0.1353
K6s,raise,0.0005
K6s,jam,0.0004
K5s,fold,0.9945
K5s,call,0.0014
K5s,raise,0.004
K5s,jam,0.0002
K4s,fold,0.9848
K4s,call,0.012
K4s,raise,0.0005
K4s,jam,0.0027
K3s,fold,0.992
K3s,call,0.0079
K3s,raise,0.0001
K2s,fold,0.9715
K2s,call,0.0145
K2s,raise,0.011
K2s,jam,0.003
AQo,call,0.683
AQo,raise,0.3098
AQo,jam,0.0072
KQo,fold,0.6523
KQo,call,0.3421
KQo,raise,0.0042
KQo,jam,0.0015
QQ,call,0.5561
QQ,raise,0.4356
QQ,jam,0.0083
QJs,fold,0.3755
QJs,call,0.5931
QJs,raise,0.0161
QJs,jam,0.0154
QTs,fold,0.7943
QTs,call,0.1225
QTs,raise,0.0826
QTs,jam,0.0006
Q9s,fold,0.9559
Q9s,call,0.0429
Q9s,raise,0.0008
Q9s,jam,0.0004
Q8s,fold,0.9839
Q8s,call,0.0123
Q8s,raise,0.0007
Q8s,jam,0.0031
Q7s,fold,0.9881
Q7s,call,0.0109
Q7s,raise,0.0009
Q7s,jam,0.0002
Q6s,fold,0.9994
Q6s,call,0.0002
Q6s,raise,0.0002
Q6s,jam,0.0002
Q5s,fold,0.974
Q5s,call,0.0195
Q5s,raise,0.0001
Q5s,jam,0.0064
Q4s,fold,0.9991
Q4s,call,0.0005
Q4s,raise,0.0002
Q4s,jam,0.0002
Q3s,fold,0.9981
Q3s,call,0.0015
Q3s,raise,0.0003
Q2s,fold,0.9937
Q2s,call,0.0059
Q2s,raise,0.0001
Q2s,jam,0.0002
AJo,call,0.5153
AJo,raise,0.4825
AJo,jam,0.0021
KJo,fold,0.9284
KJo,call,0.0702
KJo,jam,0.0013
QJo,fold,0.9726
QJo,call,0.0261
QJo,raise,0.0006
QJo,jam,0.0007
JJ,call,0.6582
JJ,raise,0.02
JJ,jam,0.3218
JTs,fold,0.6998
JTs,call,0.2984
JTs,jam,0.0018
J9s,fold,0.8834
J9s,call,0.1043
J9s,raise,0.0062
J9s,jam,0.006
J8s,fold,0.968
J8s,call,0.0046
J8s,raise,0.0264
J8s,jam,0.001
J7s,fold,0.9889
J7s,call,0.0096
J7s,raise,0.0014
J7s,jam,0.0001
J6s,fold,0.9947
J6s,call,0.0016
J6s,raise,0.0036
J6s,jam,0.0001
J5s,fold,0.9923
J5s,call,0.0002
J5s,raise,0.0061
J5s,jam,0.0014
J4s,fold,0.9993
J4s,call,0.0006
J4s,raise,0.0001
J4s,jam,0.0001
J3s,fold,0.9849
J3s,call,0.015
J3s,jam,0.0001
J2s,fold,0.9999
J2s,call,0.0001
ATo,fold,0.2183
ATo,call,0.7338
ATo,raise,0.0463
ATo,jam,0.0017
KTo,fold,0.972
KTo,call,0.0157
KTo,raise,0.0113
KTo,jam,0.001
QTo,fold,0.9988
QTo,call,0.0009
QTo,raise,0.0003
QTo,jam,0.0001
JTo,fold,0.958
JTo,call,0.0411
JTo,raise,0.0004
JTo,jam,0.0005
TT,call,0.3367
TT,raise,0.6566
TT,jam,0.0066
T9s,fold,0.9816
T9s,call,0.017
T9s,raise,0.0012
T9s,jam,0.0002
T8s,fold,0.923
T8s,call,0.076
T8s,raise,0.0001
T8s,jam,0.001
T7s,fold,0.9811
T7s,call,0.0172
T7s,raise,0.0017
T6s,fold,0.9862
T6s,call,0.0045
T6s,raise,0.0075
T6s,jam,0.0017
T5s,fold,0.9987
T5s,call,0.0004
T5s,jam,0.0009
T4s,fold,0.9996
T4s,call,0.0002
T4s,jam,0.0002
T3s,fold,0.9998
T3s,jam,0.0001
T2s,fold,0.9794
T2s,call,0.019
T2s,raise,0.0012
T2s,jam,0.0003
A9o,fold,0.9899
A9o,call,0.0021
A9o,raise,0.0057
A9o,jam,0.0023
K9o,fold,0.9848
K9o,call,0.014
K9o,raise,0.0006
K9o,jam,0.0006
Q9o,fold,0.9979
Q9o,call,0.0004
Q9o,raise,0.0003
Q9o,jam,0.0015
J9o,fold,0.9997
J9o,call,0.0003
T9o,fold,0.9997
T9o,raise,0.0001
T9o,jam,0.0002
99,call,0.8694
99,raise,0.1144
99,jam,0.0161
98s,fold,0.9942
98s,call,0.0001
98s,raise,0.0002
98s,jam,0.0055
97s,fold,0.9984
97s,call,0.0008
97s,raise,0.0005
97s,jam,0.0004
96s,fold,0.9826
96s,call,0.0157
96s,raise,0.0016
96s,jam,0.0001
95s,fold,0.9953
95s,call,0.0043
95s,raise,0.0002
95s,jam,0.0003
94s,fold,0.9996
94s,raise,0.0003
93s,fold,0.993
93s,call,0.0013
93s,raise,0.0057
93s,jam,0.0001
92s,fold,0.9997
92s,call,0.0002
A8o,fold,0.9944
A8o,call,0.0038
A8o,raise,0.0016
A8o,jam,0.0001
K8o,fold,0.9984
K8o,call,0.0003
K8o,raise,0.0013
Q8o,fold,0.9996
Q8o,raise,0.0004
J8o,fold,0.9994
J8o,call,0.0003
J8o,raise,0.0002
J8o,jam,0.0001
T8o,fold,0.9998
T8o,jam,0.0001
98o,fold,0.9999
98o,call,0.0001
88,fold,0.0152
88,call,0.9565
88,raise,0.0256
88,jam,0.0028
87s,fold,0.9851
87s,call,0.0107
87s,raise,0.0005
87s,jam,0.0037
86s,fold,0.9494
86s,call,0.0478
86s,raise,0.0009
86s,jam,0.0019
85s,fold,0.9989
85s,call,0.0004
85s,raise,0.0001
85s,jam,0.0006
84s,fold,1.0
83s,fold,0.9996
83s,raise,0.0003
82s,fold,0.9999
82s,call,0.0001
A7o,fold,0.9988
A7o,call,0.001
A7o,raise,0.0001
A7o,jam,0.0001
K7o,fold,0.9989
K7o,call,0.0008
K7o,raise,0.0002
Q7o,fold,0.9993
Q7o,call,0.0006
J7o,fold,0.9992
J7o,raise,0.0007
J7o,jam,0.0001
T7o,fold,0.9999
T7o,jam,0.0001
97o,fold,0.9994
97o,call,0.0006
87o,fold,1.0
77,fold,0.0021
77,call,0.9917
77,raise,0.0052
77,jam,0.0011
76s,fold,0.9978
76s,call,0.0021
75s,fold,0.9958
75s,call,0.0042
75s,raise,0.0001
74s,fold,0.999
74s,call,0.0002
74s,raise,0.0006
74s,jam,0.0002
73s,fold,0.9985
73s,call,0.0004
73s,raise,0.0001
73s,jam,0.0009
72s,fold,0.9999
72s,jam,0.0001
A6o,fold,0.9915
A6o,call,0.0015
A6o,raise,0.0063
A6o,jam,0.0006
K6o,fold,0.9993
K6o,call,0.0005
K6o,raise,0.0001
K6o,jam,0.0001
Q6o,fold,1.0
J6o,fold,0.9999
J6o,call,0.0001
J6o,raise,0.0001
T6o,fold,0.9995
T6o,call,0.0005
96o,fold,0.9999
86o,fold,1.0
76o,fold,0.9998
76o,call,0.0001
76o,jam,0.0001
66,fold,0.8256
66,call,0.1038
66,raise,0.0614
66,jam,0.0091
65s,fold,0.9586
65s,call,0.0381
65s,raise,0.0031
65s,jam,0.0002
64s,fold,0.999
64s,raise,0.0006
64s,jam,0.0005
63s,fold,0.9999
63s,jam,0.0001
62s,fold,1.0
A5o,fold,0.9941
A5o,call,0.0058
K5o,fold,0.9999
K5o,call,0.0001
K5o,jam,0.0001
Q5o,fold,1.0
J5o,fold,0.9991
J5o,raise,0.0009
T5o,fold,0.9998
T5o,call,0.0002
95o,fold,1.0
85o,fold,0.9999
85o,raise,0.0001
75o,fold,0.9999
75o,raise,0.0001
65o,fold,0.9997
65o,call,0.0003
55,fold,0.9601
55,call,0.0358
55,raise,0.0032
55,jam,0.0009
54s,fold,0.9997
54s,call,0.0001
54s,raise,0.0001
54s,jam,0.0001
53s,fold,0.9989
53s,call,0.0011
52s,fold,0.9964
52s,call,0.0015
52s,raise,0.0006
52s,jam,0.0014
A4o,fold,0.9898
A4o,call,0.0066
A4o,raise,0.0034
A4o,jam,0.0002
K4o,fold,0.9994
K4o,call,0.0005
K4o,raise,0.0001
Q4o,fold,1.0
J4o,fold,1.0
T4o,fold,1.0
94o,fold,0.9999
94o,call,0.0001
84o,fold,1.0
74o,fold,1.0
64o,fold,0.9994
64o,call,0.0006
54o,fold,1.0
44,fold,0.8917
44,call,0.1073
44,raise,0.0009
44,jam,0.0001
43s,fold,1.0
42s,fold,1.0
A3o,fold,0.9971
A3o,call,0.0026
A3o,raise,0.0003
K3o,fold,0.9999
K3o,call,0.0001
Q3o,fold,0.9999
Q3o,call,0.0001
J3o,fold,1.0
T3o,fold,1.0
93o,fold,0.9999
83o,fold,1.0
73o,fold,1.0
63o,fold,1.0
53o,fold,1.0
43o,fold,0.9999
33,fold,0.9996
33,call,0.0003
33,jam,0.0001
32s,fold,0.9995
32s,raise,0.0002
32s,jam,0.0003
A2o,fold,0.9993
A2o,call,0.0004
A2o,raise,0.0003
K2o,fold,0.9996
K2o,call,0.0003
Q2o,fold,0.9999
Q2o,raise,0.0001
J2o,fold,1.0
T2o,fold,0.9998
T2o,call,0.0001
T2o,raise,0.0001
92o,fold,0.9996
92o,call,0.0003
82o,fold,1.0
72o,fold,1.0
62o,fold,1.0
52o,fold,0.9999
52o,raise,0.0001
42o,fold,1.0
32o,fold,1.0
22,fold,0.9859
22,call,0.0135
22,jam,0.0006
