# poker.academy CE-Symmetric — 50bb vs3bet | hero LJ vs CO
# Scraped 2026-06-01 via scrape_all_ranges.py
# TreeParams: poker.academy CE-Symmetric Regular @ 50bb (GTO ChipEV, 1bb ante)
notation,action,freq
44,call,1.0
55,call,1.0
66,call,1.0
77,call,1.0
88,call,1.0
99,call,1.0
AA,call,0.39
AA,jam,0.61
AKs,jam,1.0
AQs,call,1.0
AJs,call,1.0
ATs,call,1.0
A9s,call,1.0
A8s,call,1.0
A7s,call,0.8201
A7s,jam,0.1799
A6s,call,1.0
A5s,jam,1.0
A4s,jam,1.0
A3s,jam,1.0
A2s,jam,1.0
AKo,jam,1.0
KK,jam,1.0
KQs,call,1.0
KJs,call,1.0
KTs,call,1.0
K9s,call,1.0
K6s,call,1.0
AQo,call,1.0
KQo,call,0.9441
KQo,fold,0.0559
QQ,jam,1.0
QJs,call,0.7881
QJs,jam,0.2119
QTs,call,1.0
Q9s,call,1.0
AJo,call,0.7341
AJo,fold,0.2659
JJ,call,0.0598
JJ,jam,0.9402
JTs,call,1.0
J9s,call,0.744
J9s,fold,0.256
TT,call,0.728
TT,jam,0.272
T9s,call,1.0
T8s,call,1.0
98s,call,1.0
87s,call,1.0
76s,call,1.0
