# poker.academy CE-Symmetric — 50bb vsopen | hero SB vs EP
# Scraped 2026-06-01 via scrape_all_ranges.py
# TreeParams: poker.academy CE-Symmetric Regular @ 50bb (GTO ChipEV, 1bb ante)
notation,action,freq
22,call,1.0
33,call,1.0
44,call,1.0
55,call,1.0
66,call,1.0
77,call,1.0
88,call,1.0
99,call,1.0
AA,threeBet,1.0
AKs,threeBet,1.0
AQs,call,0.604
AQs,threeBet,0.396
AJs,call,0.2599
AJs,threeBet,0.7401
ATs,call,0.3921
ATs,threeBet,0.6079
A9s,call,1.0
A8s,call,0.7781
A8s,threeBet,0.2219
A7s,call,1.0
A6s,call,0.71
A6s,threeBet,0.29
A5s,call,0.3441
A5s,threeBet,0.6559
A4s,call,0.8001
A4s,threeBet,0.1999
A3s,call,1.0
A2s,call,0.716
A2s,fold,0.284
AKo,call,0.0399
AKo,threeBet,0.9601
KK,threeBet,1.0
KQs,threeBet,1.0
KJs,threeBet,1.0
KTs,call,0.5279
KTs,threeBet,0.4721
K9s,call,0.9082
K9s,threeBet,0.0918
K8s,call,0.9722
K8s,threeBet,0.0278
K7s,call,0.3659
K7s,fold,0.6341
K6s,call,0.878
K6s,threeBet,0.122
K5s,call,0.4081
K5s,fold,0.5919
AQo,call,0.536
AQo,threeBet,0.464
KQo,call,0.952
KQo,threeBet,0.048
QQ,threeBet,1.0
QJs,call,0.678
QJs,threeBet,0.322
QTs,call,1.0
Q9s,call,1.0
AJo,call,1.0
KJo,call,0.4853
KJo,fold,0.4391
KJo,threeBet,0.0756
JJ,call,0.364
JJ,threeBet,0.636
JTs,call,0.8541
JTs,threeBet,0.1459
J9s,call,0.7941
J9s,threeBet,0.2059
ATo,call,0.326
ATo,fold,0.674
TT,call,0.796
TT,threeBet,0.204
T9s,call,0.5641
T9s,threeBet,0.4359
T8s,call,1.0
98s,call,0.8681
98s,fold,0.0359
98s,threeBet,0.096
87s,call,0.674
87s,threeBet,0.326
76s,call,0.7461
76s,fold,0.048
76s,threeBet,0.2059
65s,call,0.85
65s,threeBet,0.15
54s,call,0.792
54s,threeBet,0.208
