# poker.academy CE-Symmetric — 50bb vs3bet | hero EP vs CO
# Scraped 2026-06-01 via scrape_all_ranges.py
# TreeParams: poker.academy CE-Symmetric Regular @ 50bb (GTO ChipEV, 1bb ante)
notation,action,freq
55,call,1.0
66,call,1.0
77,call,1.0
88,call,0.926
88,fold,0.074
99,call,1.0
AA,call,0.3459
AA,jam,0.6541
AKs,jam,1.0
AQs,call,1.0
AJs,call,1.0
ATs,call,1.0
A9s,call,1.0
A8s,call,0.3819
A8s,fold,0.6181
A7s,call,0.2418
A7s,fold,0.7582
A6s,call,1.0
A5s,call,0.284
A5s,jam,0.716
A4s,call,0.2119
A4s,jam,0.7881
AKo,jam,1.0
KK,jam,1.0
KQs,call,1.0
KJs,call,1.0
KTs,call,1.0
K9s,call,0.2599
K9s,fold,0.7401
AQo,call,1.0
KQo,call,0.042
KQo,fold,0.958
QQ,call,0.2919
QQ,jam,0.7081
QJs,call,0.0058
QJs,fold,0.9942
QTs,call,1.0
JJ,call,0.9722
JJ,jam,0.0278
JTs,call,0.7
JTs,fold,0.3
TT,call,1.0
T9s,call,1.0
