# Generated by hrc_import.py --multi-opener-8max from hrc_8max_chipev_060bb.zip
# HRC tree: 8-handed, effective 60.0bb
# Equity model: chipev, ante: BB_ANTE_ANTE_FIRST
# App slot (deferred integration): bb vsopen vs co open @ 60bb
# HRC node: id=45, seat=7, sequence=FFFFRFF
# Actions: ['fold', 'call', 'raise']
# VPIP estimate: 99.97%
notation,action,freq
AA,raise,1.0
AKs,fold,0.0001
AKs,call,0.0375
AKs,raise,0.9624
AQs,call,0.0571
AQs,raise,0.9429
AJs,fold,0.0001
AJs,call,0.0837
AJs,raise,0.9162
ATs,call,0.0648
ATs,raise,0.9351
A9s,fold,0.0003
A9s,call,0.8231
A9s,raise,0.1766
A8s,fold,0.0003
A8s,call,0.9506
A8s,raise,0.0491
A7s,call,0.806
A7s,raise,0.194
A6s,fold,0.0001
A6s,call,0.9999
A5s,fold,0.0002
A5s,call,0.9989
A5s,raise,0.0009
A4s,call,0.9992
A4s,raise,0.0008
A3s,fold,0.0001
A3s,call,0.9999
A2s,fold,0.0006
A2s,call,0.9993
A2s,raise,0.0002
AKo,raise,1.0
KK,call,0.0001
KK,raise,0.9999
KQs,fold,0.0001
KQs,call,0.1854
KQs,raise,0.8145
KJs,fold,0.0001
KJs,call,0.9457
KJs,raise,0.0542
KTs,fold,0.0004
KTs,call,0.6723
KTs,raise,0.3273
K9s,call,0.9659
K9s,raise,0.034
K8s,fold,0.0007
K8s,call,0.9989
K8s,raise,0.0004
K7s,fold,0.0003
K7s,call,0.9997
K6s,fold,0.0013
K6s,call,0.9955
K6s,raise,0.0032
K5s,fold,0.0001
K5s,call,0.9999
K4s,call,1.0
K3s,fold,0.0004
K3s,call,0.9996
K3s,raise,0.0001
K2s,call,1.0
AQo,call,0.0005
AQo,raise,0.9995
KQo,fold,0.0001
KQo,call,0.9965
KQo,raise,0.0034
QQ,call,0.0002
QQ,raise,0.9998
QJs,call,0.8623
QJs,raise,0.1377
QTs,call,1.0
Q9s,fold,0.0006
Q9s,call,0.9984
Q9s,raise,0.0011
Q8s,fold,0.0004
Q8s,call,0.9993
Q8s,raise,0.0003
Q7s,fold,0.0003
Q7s,call,0.9996
Q7s,raise,0.0001
Q6s,call,0.9999
Q5s,fold,0.0001
Q5s,call,0.9999
Q4s,fold,0.0009
Q4s,call,0.999
Q4s,raise,0.0001
Q3s,fold,0.0001
Q3s,call,0.9999
Q2s,fold,0.0004
Q2s,call,0.9996
AJo,call,0.1204
AJo,raise,0.8796
KJo,call,0.6077
KJo,raise,0.3923
QJo,fold,0.0001
QJo,call,0.9999
JJ,call,0.0096
JJ,raise,0.9904
JTs,fold,0.0001
JTs,call,0.8587
JTs,raise,0.1412
J9s,fold,0.0001
J9s,call,0.8612
J9s,raise,0.1387
J8s,call,1.0
J7s,fold,0.0002
J7s,call,0.9998
J6s,fold,0.0001
J6s,call,0.9634
J6s,raise,0.0365
J5s,fold,0.0001
J5s,call,0.9999
J4s,fold,0.0001
J4s,call,0.9999
J3s,call,1.0
J2s,fold,0.0007
J2s,call,0.9993
ATo,fold,0.0001
ATo,call,0.0884
ATo,raise,0.9115
KTo,call,0.9999
QTo,call,1.0
JTo,fold,0.0001
JTo,call,0.9998
JTo,raise,0.0001
TT,call,0.0038
TT,raise,0.9962
T9s,call,1.0
T8s,fold,0.0001
T8s,call,0.9637
T8s,raise,0.0362
T7s,call,1.0
T6s,fold,0.0012
T6s,call,0.9986
T6s,raise,0.0003
T5s,fold,0.0021
T5s,call,0.9979
T4s,fold,0.0003
T4s,call,0.9997
T3s,fold,0.0008
T3s,call,0.9991
T2s,call,0.9999
A9o,fold,0.0001
A9o,call,0.7634
A9o,raise,0.2365
K9o,call,1.0
Q9o,fold,0.0001
Q9o,call,0.9998
J9o,call,1.0
T9o,call,1.0
99,call,0.0325
99,raise,0.9675
98s,fold,0.0009
