# Generated by hrc_import.py --multi-opener-8max from hrc_8max_chipev_060bb.zip
# HRC tree: 8-handed, effective 60.0bb
# Equity model: chipev, ante: BB_ANTE_ANTE_FIRST
# App slot (deferred integration): bb vsopen vs utg open @ 60bb
# HRC node: id=5379, seat=7, sequence=RFFFFFF
# Actions: ['fold', 'call', 'raise']
# VPIP estimate: 99.93%
notation,action,freq
AA,raise,1.0
AKs,call,0.0292
AKs,raise,0.9708
AQs,fold,0.0007
AQs,call,0.0668
AQs,raise,0.9325
AJs,fold,0.0004
AJs,call,0.9965
AJs,raise,0.0032
ATs,fold,0.0001
ATs,call,0.9953
ATs,raise,0.0046
A9s,fold,0.0001
A9s,call,0.9999
A8s,fold,0.0005
A8s,call,0.9995
A7s,fold,0.0013
A7s,call,0.9979
A7s,raise,0.0008
A6s,fold,0.0007
A6s,call,0.9939
A6s,raise,0.0054
A5s,fold,0.0004
A5s,call,0.9987
A5s,raise,0.0009
A4s,fold,0.0005
A4s,call,0.9994
A4s,raise,0.0001
A3s,fold,0.0001
A3s,call,0.9999
A2s,call,1.0
AKo,call,0.0705
AKo,raise,0.9295
KK,fold,0.0001
KK,call,0.0004
KK,raise,0.9995
KQs,fold,0.0001
KQs,call,0.9992
KQs,raise,0.0007
KJs,fold,0.0027
KJs,call,0.6795
KJs,raise,0.3178
KTs,fold,0.0003
KTs,call,0.9997
KTs,raise,0.0001
K9s,fold,0.0007
K9s,call,0.9943
K9s,raise,0.005
K8s,fold,0.0004
K8s,call,0.9995
K8s,raise,0.0001
K7s,fold,0.001
K7s,call,0.974
K7s,raise,0.025
K6s,fold,0.0031
K6s,call,0.9969
K5s,fold,0.0001
K5s,call,0.9998
K4s,fold,0.0036
K4s,call,0.9919
K4s,raise,0.0045
K3s,fold,0.0009
K3s,call,0.9985
K3s,raise,0.0006
K2s,fold,0.0011
K2s,call,0.9949
K2s,raise,0.004
AQo,call,0.9373
AQo,raise,0.0627
KQo,call,1.0
QQ,fold,0.0001
QQ,call,0.0015
QQ,raise,0.9985
QJs,fold,0.0006
QJs,call,0.9989
QJs,raise,0.0005
QTs,fold,0.0003
QTs,call,0.9996
Q9s,fold,0.0002
Q9s,call,0.9998
Q8s,fold,0.0004
Q8s,call,0.9995
Q7s,fold,0.0002
Q7s,call,0.9998
Q6s,fold,0.0018
Q6s,call,0.9979
Q6s,raise,0.0002
Q5s,fold,0.0009
Q5s,call,0.9989
Q5s,raise,0.0001
Q4s,fold,0.0012
Q4s,call,0.9988
Q3s,fold,0.0108
Q3s,call,0.9892
Q3s,raise,0.0001
Q2s,fold,0.0019
Q2s,call,0.9981
AJo,fold,0.0001
AJo,call,0.9994
AJo,raise,0.0005
KJo,fold,0.0002
KJo,call,0.9996
KJo,raise,0.0002
QJo,call,1.0
JJ,fold,0.0003
JJ,call,0.0907
JJ,raise,0.909
JTs,call,1.0
J9s,fold,0.0006
J9s,call,0.9994
J8s,fold,0.0011
J8s,call,0.9989
J7s,fold,0.0003
J7s,call,0.9997
J6s,fold,0.0002
