# Generated by hrc_import.py --multi-opener-8max from hrc_8max_chipev_060bb.zip
# HRC tree: 8-handed, effective 60.0bb
# Equity model: chipev, ante: BB_ANTE_ANTE_FIRST
# App slot (deferred integration): btn vsopen vs hj open @ 60bb
# HRC node: id=198, seat=5, sequence=FFFRF
# Actions: ['fold', 'call', 'raise']
# VPIP estimate: 15.57%
notation,action,freq
AA,raise,1.0
AKs,fold,0.0001
AKs,call,0.1559
AKs,raise,0.844
AQs,call,0.3335
AQs,raise,0.6665
AJs,fold,0.0003
AJs,call,0.0424
AJs,raise,0.9573
ATs,call,0.9998
ATs,raise,0.0002
A9s,fold,0.2492
A9s,call,0.1993
A9s,raise,0.5515
A8s,fold,0.3755
A8s,call,0.2243
A8s,raise,0.4002
A7s,fold,0.8429
A7s,call,0.1319
A7s,raise,0.0252
A6s,fold,0.7168
A6s,call,0.1452
A6s,raise,0.138
A5s,fold,0.9526
A5s,call,0.0472
A5s,raise,0.0002
A4s,fold,0.1698
A4s,call,0.8296
A4s,raise,0.0006
A3s,fold,0.9622
A3s,call,0.0377
A3s,raise,0.0001
A2s,fold,0.83
A2s,call,0.17
AKo,call,0.166
AKo,raise,0.834
KK,call,0.4069
KK,raise,0.5931
KQs,fold,0.0158
KQs,call,0.8732
KQs,raise,0.111
KJs,fold,0.2011
KJs,call,0.7932
KJs,raise,0.0057
KTs,fold,0.6395
KTs,call,0.3594
KTs,raise,0.0011
K9s,fold,0.5063
K9s,call,0.4848
K9s,raise,0.009
K8s,fold,0.9966
K8s,call,0.0032
K8s,raise,0.0003
K7s,fold,1.0
K6s,fold,0.9848
K6s,call,0.0143
K6s,raise,0.0008
K5s,fold,0.9973
K5s,call,0.0027
K4s,fold,0.9996
K4s,call,0.0004
K3s,fold,0.9978
K3s,call,0.0017
K3s,raise,0.0005
K2s,fold,0.9992
K2s,call,0.0008
K2s,raise,0.0001
AQo,call,0.595
AQo,raise,0.405
KQo,call,0.9996
KQo,raise,0.0004
QQ,call,0.4498
QQ,raise,0.5502
QJs,fold,0.1027
QJs,call,0.896
QJs,raise,0.0013
QTs,fold,0.998
QTs,call,0.002
Q9s,fold,0.5059
Q9s,call,0.4934
Q9s,raise,0.0006
Q8s,fold,0.9987
Q8s,call,0.0013
Q7s,fold,0.9891
Q7s,call,0.0109
Q7s,raise,0.0001
Q6s,fold,0.9993
Q6s,call,0.0007
Q5s,fold,0.999
Q5s,call,0.001
Q5s,raise,0.0001
Q4s,fold,0.9999
Q4s,raise,0.0001
Q3s,fold,0.9929
Q3s,call,0.0069
Q3s,raise,0.0001
Q2s,fold,0.9995
Q2s,call,0.0005
AJo,fold,0.0001
AJo,call,0.1252
AJo,raise,0.8747
KJo,fold,0.7651
KJo,call,0.2292
KJo,raise,0.0058
QJo,fold,0.983
QJo,call,0.017
JJ,call,0.4952
JJ,raise,0.5048
JTs,fold,0.3335
JTs,call,0.6585
JTs,raise,0.0081
J9s,fold,0.9304
J9s,call,0.0696
J8s,fold,0.9984
J8s,call,0.0016
J7s,fold,0.996
J7s,call,0.004
J6s,fold,0.998
J6s,call,0.002
J5s,fold,0.9916
J5s,call,0.0083
J4s,fold,0.9987
J4s,call,0.0011
J4s,raise,0.0003
J3s,fold,0.9996
J3s,call,0.0004
J2s,fold,0.9972
J2s,call,0.0028
ATo,fold,0.0001
ATo,call,0.1055
ATo,raise,0.8945
KTo,fold,0.9989
KTo,call,0.0009
KTo,raise,0.0002
QTo,fold,0.9996
QTo,call,0.0003
QTo,raise,0.0001
JTo,fold,0.9999
JTo,raise,0.0001
TT,call,0.9285
TT,raise,0.0715
T9s,fold,0.8815
T9s,call,0.1181
T9s,raise,0.0004
T8s,fold,0.9992
T8s,call,0.0008
T7s,fold,0.9999
T7s,raise,0.0001
T6s,fold,0.9997
T6s,call,0.0002
T5s,fold,0.9971
