# Generated by hrc_import.py --multi-opener-8max from hrc_8max_chipev_060bb.zip
# HRC tree: 8-handed, effective 60.0bb
# Equity model: chipev, ante: BB_ANTE_ANTE_FIRST
# App slot (deferred integration): co vsopen vs hj open @ 60bb
# HRC node: id=197, seat=4, sequence=FFFR
# Actions: ['fold', 'call', 'raise']
# VPIP estimate: 13.02%
notation,action,freq
AA,call,0.0601
AA,raise,0.9399
AKs,call,0.9467
AKs,raise,0.0533
AQs,call,0.4941
AQs,raise,0.5059
AJs,fold,0.0001
AJs,call,0.9997
AJs,raise,0.0002
ATs,fold,0.0088
ATs,call,0.4192
ATs,raise,0.572
A9s,fold,0.1044
A9s,call,0.8788
A9s,raise,0.0168
A8s,fold,0.3286
A8s,call,0.6135
A8s,raise,0.0579
A7s,fold,0.968
A7s,call,0.032
A6s,fold,0.8517
A6s,call,0.1444
A6s,raise,0.004
A5s,fold,0.9961
A5s,call,0.0037
A5s,raise,0.0002
A4s,fold,0.9829
A4s,call,0.016
A4s,raise,0.0011
A3s,fold,0.9308
A3s,call,0.0678
A3s,raise,0.0013
A2s,fold,0.9827
A2s,call,0.013
A2s,raise,0.0043
AKo,call,0.0164
AKo,raise,0.9836
KK,call,0.6933
KK,raise,0.3067
KQs,fold,0.001
KQs,call,0.8832
KQs,raise,0.1158
KJs,fold,0.1464
KJs,call,0.1438
KJs,raise,0.7098
KTs,fold,0.794
KTs,call,0.1975
KTs,raise,0.0084
K9s,fold,0.9651
K9s,call,0.0349
K8s,fold,0.8899
K8s,call,0.1101
K7s,fold,0.9954
K7s,call,0.0045
K7s,raise,0.0001
K6s,fold,0.9911
K6s,call,0.0041
K6s,raise,0.0047
K5s,fold,0.9987
K5s,call,0.0013
K4s,fold,0.997
K4s,call,0.002
K4s,raise,0.001
K3s,fold,1.0
K2s,fold,0.9958
K2s,call,0.0042
AQo,call,0.8804
AQo,raise,0.1196
KQo,fold,0.4454
KQo,call,0.5508
KQo,raise,0.0038
QQ,call,0.9938
QQ,raise,0.0062
QJs,fold,0.8386
QJs,call,0.0997
QJs,raise,0.0617
QTs,fold,0.547
QTs,call,0.4396
QTs,raise,0.0133
Q9s,fold,0.4798
Q9s,call,0.52
Q9s,raise,0.0002
Q8s,fold,0.9724
Q8s,call,0.0268
Q8s,raise,0.0009
Q7s,fold,0.9995
Q7s,raise,0.0005
Q6s,fold,0.9964
Q6s,call,0.0028
Q6s,raise,0.0008
Q5s,fold,0.8784
Q5s,call,0.1216
Q4s,fold,0.9999
Q4s,call,0.0001
Q3s,fold,0.9998
Q3s,call,0.0002
Q2s,fold,0.9989
Q2s,call,0.0005
Q2s,raise,0.0006
AJo,call,0.9111
AJo,raise,0.0889
KJo,fold,0.973
KJo,call,0.0173
KJo,raise,0.0097
QJo,fold,0.9734
QJo,call,0.0262
QJo,raise,0.0005
JJ,call,0.8355
JJ,raise,0.1645
JTs,fold,0.9913
JTs,call,0.0086
JTs,raise,0.0001
J9s,fold,0.9923
J9s,call,0.0052
J9s,raise,0.0025
J8s,fold,0.9956
J8s,call,0.0043
J8s,raise,0.0001
J7s,fold,0.997
J7s,call,0.003
J6s,fold,0.9999
J6s,call,0.0001
J5s,fold,0.999
J5s,call,0.001
J4s,fold,1.0
J3s,fold,1.0
J2s,fold,0.9999
J2s,call,0.0001
ATo,fold,0.4608
ATo,call,0.1863
ATo,raise,0.3529
KTo,fold,0.9522
KTo,call,0.0464
KTo,raise,0.0014
QTo,fold,0.9711
QTo,call,0.0286
QTo,raise,0.0003
JTo,fold,0.9998
JTo,call,0.0002
TT,call,0.3013
TT,raise,0.6987
T9s,fold,0.8966
T9s,call,0.1034
T8s,fold,0.9997
T8s,call,0.0002
T7s,fold,0.9998
T7s,call,0.0001
T6s,fold,0.9995
T6s,raise,0.0005
T5s,fold,0.9952
T5s,call,0.0048
T4s,fold,0.9946
T4s,call,0.004
T4s,raise,0.0015
T3s,fold,0.9994
T3s,call,0.0006
T2s,fold,1.0
A9o,fold,0.8834
A9o,call,0.0525
A9o,raise,0.0641
K9o,fold,0.9998
K9o,call,0.0002
Q9o,fold,0.9995
Q9o,call,0.0002
Q9o,raise,0.0003
J9o,fold,0.9997
J9o,call,0.0003
T9o,fold,0.9991
T9o,call,0.0009
99,call,0.937
99,raise,0.063
98s,fold,0.9991
98s,call,0.0008
98s,raise,0.0001
97s,fold,0.997
97s,call,0.0029
96s,fold,0.9953
96s,call,0.0046
95s,fold,0.9999
95s,raise,0.0001
94s,fold,0.9999
93s,fold,0.9994
93s,call,0.0006
93s,raise,0.0001
92s,fold,0.9986
92s,call,0.0007
92s,raise,0.0007
A8o,fold,0.9963
A8o,call,0.0035
A8o,raise,0.0002
K8o,fold,0.9989
K8o,call,0.001
K8o,raise,0.0001
Q8o,fold,0.9999
Q8o,call,0.0001
J8o,fold,0.9982
J8o,call,0.0018
T8o,fold,0.9996
T8o,call,0.0001
T8o,raise,0.0002
98o,fold,0.9996
98o,call,0.0003
88,fold,0.0023
88,call,0.8589
88,raise,0.1388
87s,fold,0.9995
87s,raise,0.0005
86s,fold,1.0
85s,fold,0.9985
85s,call,0.0015
84s,fold,0.9998
84s,call,0.0001
84s,raise,0.0001
83s,fold,0.9987
83s,call,0.0013
82s,fold,0.9999
A7o,fold,0.9996
A7o,raise,0.0004
K7o,fold,0.9999
Q7o,fold,0.9999
Q7o,call,0.0001
J7o,fold,0.999
J7o,call,0.001
T7o,fold,1.0
97o,fold,0.9997
97o,call,0.0003
87o,fold,0.9999
87o,call,0.0001
77,fold,0.2603
77,call,0.3028
77,raise,0.4369
76s,fold,0.9999
76s,raise,0.0001
75s,fold,0.998
75s,call,0.0019
75s,raise,0.0001
74s,fold,0.9999
74s,call,0.0001
73s,fold,1.0
72s,fold,0.9989
72s,call,0.0011
A6o,fold,0.9991
A6o,call,0.0008
K6o,fold,0.9997
K6o,call,0.0003
Q6o,fold,0.9998
Q6o,call,0.0001
Q6o,raise,0.0001
J6o,fold,0.9994
J6o,call,0.0006
T6o,fold,1.0
96o,fold,0.9999
96o,call,0.0001
86o,fold,0.9999
86o,call,0.0001
76o,fold,1.0
66,fold,0.8512
66,call,0.1479
66,raise,0.0009
65s,fold,0.9996
65s,call,0.0001
65s,raise,0.0003
64s,fold,0.9999
64s,raise,0.0001
63s,fold,1.0
62s,fold,1.0
A5o,fold,0.999
A5o,call,0.001
K5o,fold,1.0
Q5o,fold,1.0
J5o,fold,0.9999
T5o,fold,1.0
95o,fold,1.0
85o,fold,1.0
75o,fold,1.0
65o,fold,0.9999
65o,raise,0.0001
55,fold,0.78
55,call,0.2192
55,raise,0.0008
