# Generated by hrc_import.py --multi-opener-8max from hrc_8max_chipev_060bb.zip
# HRC tree: 8-handed, effective 60.0bb
# Equity model: chipev, ante: BB_ANTE_ANTE_FIRST
# App slot (deferred integration): co vsopen vs utg open @ 60bb
# HRC node: id=5376, seat=4, sequence=RFFF
# Actions: ['fold', 'call', 'raise']
# VPIP estimate: 10.99%
notation,action,freq
AA,call,0.0272
AA,raise,0.9728
AKs,call,0.9821
AKs,raise,0.0179
AQs,call,0.9469
AQs,raise,0.0531
AJs,call,0.9978
AJs,raise,0.0022
ATs,fold,0.002
ATs,call,0.9974
ATs,raise,0.0007
A9s,fold,0.6295
A9s,call,0.1759
A9s,raise,0.1946
A8s,fold,0.846
A8s,call,0.1389
A8s,raise,0.0151
A7s,fold,0.9764
A7s,call,0.0236
A6s,fold,0.9905
A6s,call,0.0024
A6s,raise,0.0071
A5s,fold,0.9643
A5s,call,0.0326
A5s,raise,0.0031
A4s,fold,0.9946
A4s,call,0.0028
A4s,raise,0.0026
A3s,fold,0.9421
A3s,call,0.0579
A2s,fold,0.9241
A2s,call,0.0095
A2s,raise,0.0663
AKo,call,0.8094
AKo,raise,0.1906
KK,call,0.8861
KK,raise,0.1139
KQs,fold,0.2053
KQs,call,0.6924
KQs,raise,0.1023
KJs,fold,0.087
KJs,call,0.9128
KJs,raise,0.0001
KTs,fold,0.9441
KTs,call,0.035
KTs,raise,0.0209
K9s,fold,0.9974
K9s,call,0.0025
K9s,raise,0.0002
K8s,fold,0.995
K8s,call,0.0048
K8s,raise,0.0002
K7s,fold,0.9948
K7s,call,0.0051
K7s,raise,0.0001
K6s,fold,0.9137
K6s,call,0.0849
K6s,raise,0.0014
K5s,fold,0.9957
K5s,call,0.0036
K5s,raise,0.0008
K4s,fold,0.9961
K4s,call,0.0039
K3s,fold,0.9818
K3s,raise,0.0182
K2s,fold,0.9995
K2s,call,0.0005
AQo,call,0.8692
AQo,raise,0.1308
KQo,fold,0.9526
KQo,call,0.0474
QQ,call,0.9769
QQ,raise,0.0231
QJs,fold,0.6664
QJs,call,0.3142
QJs,raise,0.0194
QTs,fold,0.9432
QTs,call,0.0568
Q9s,fold,0.9863
Q9s,call,0.0113
Q9s,raise,0.0024
Q8s,fold,0.9757
Q8s,call,0.0243
Q7s,fold,0.9979
Q7s,call,0.002
Q7s,raise,0.0001
Q6s,fold,0.9821
Q6s,call,0.0178
Q6s,raise,0.0001
Q5s,fold,0.9994
Q5s,call,0.0005
Q5s,raise,0.0002
Q4s,fold,0.9981
Q4s,call,0.0019
Q3s,fold,0.9705
Q3s,call,0.0295
Q2s,fold,0.9966
Q2s,call,0.0034
AJo,fold,0.0008
AJo,call,0.9812
AJo,raise,0.018
KJo,fold,0.9121
KJo,call,0.0879
QJo,fold,0.9945
QJo,call,0.0052
QJo,raise,0.0002
JJ,call,0.2114
JJ,raise,0.7886
JTs,fold,0.9741
JTs,call,0.0182
JTs,raise,0.0077
J9s,fold,0.9907
J9s,call,0.0081
J9s,raise,0.0012
J8s,fold,0.9996
J8s,call,0.0003
J8s,raise,0.0001
J7s,fold,0.9999
J7s,call,0.0001
J7s,raise,0.0001
J6s,fold,0.9973
J6s,call,0.0001
J6s,raise,0.0026
J5s,fold,0.9998
J5s,call,0.0002
J4s,fold,0.9997
J4s,call,0.0002
J4s,raise,0.0001
J3s,fold,0.9998
J3s,call,0.0001
J2s,fold,0.9995
J2s,call,0.0001
J2s,raise,0.0004
ATo,fold,0.9614
ATo,call,0.0139
ATo,raise,0.0247
KTo,fold,0.9963
KTo,call,0.0036
QTo,fold,0.9954
QTo,call,0.0029
QTo,raise,0.0016
JTo,fold,0.9893
JTo,call,0.0105
JTo,raise,0.0003
TT,call,0.1208
TT,raise,0.8792
T9s,fold,0.9912
T9s,call,0.0085
T9s,raise,0.0003
T8s,fold,0.9913
T8s,call,0.0087
T7s,fold,0.9983
T7s,call,0.0017
T6s,fold,0.9978
T6s,call,0.0019
T6s,raise,0.0002
T5s,fold,0.9995
T5s,call,0.0004
T5s,raise,0.0001
